Country,Age,AgeCount
Afghanistan,18 - 24 years old,6.0
Afghanistan,25 - 34 years old,6.0
Afghanistan,35 - 44 years old,2.0
Afghanistan,45 - 54 years old,1.0
Afghanistan,Under 18 years old,1.0
Albania,18 - 24 years old,20.0
Albania,25 - 34 years old,21.0
Albania,35 - 44 years old,3.0
Albania,Under 18 years old,4.0
Algeria,18 - 24 years old,22.0
Algeria,25 - 34 years old,27.0
Algeria,35 - 44 years old,6.0
Algeria,45 - 54 years old,3.0
Algeria,Under 18 years old,2.0
Andorra,35 - 44 years old,2.0
Andorra,45 - 54 years old,1.0
Andorra,55 - 64 years old,1.0
Andorra,65 years or older,1.0
Angola,25 - 34 years old,1.0
Antigua and Barbuda,55 - 64 years old,1.0
Argentina,18 - 24 years old,69.0
Argentina,25 - 34 years old,229.0
Argentina,35 - 44 years old,89.0
Argentina,45 - 54 years old,17.0
Argentina,55 - 64 years old,5.0
Argentina,Under 18 years old,5.0
Armenia,18 - 24 years old,21.0
Armenia,25 - 34 years old,38.0
Armenia,35 - 44 years old,1.0
Armenia,45 - 54 years old,2.0
Australia,18 - 24 years old,244.0
Australia,25 - 34 years old,640.0
Australia,35 - 44 years old,392.0
Australia,45 - 54 years old,141.0
Australia,55 - 64 years old,40.0
Australia,65 years or older,5.0
Australia,Under 18 years old,51.0
Austria,18 - 24 years old,127.0
Austria,25 - 34 years old,275.0
Austria,35 - 44 years old,100.0
Austria,45 - 54 years old,25.0
Austria,55 - 64 years old,7.0
Austria,Under 18 years old,20.0
Azerbaijan,18 - 24 years old,13.0
Azerbaijan,25 - 34 years old,25.0
Azerbaijan,35 - 44 years old,6.0
Bahamas,25 - 34 years old,2.0
Bahrain,18 - 24 years old,1.0
Bahrain,25 - 34 years old,5.0
Bahrain,35 - 44 years old,2.0
Bahrain,Under 18 years old,1.0
Bangladesh,18 - 24 years old,102.0
Bangladesh,25 - 34 years old,258.0
Bangladesh,35 - 44 years old,15.0
