Country,LanguageDesireNextYear,LanguageDesireNextYearCount
Afghanistan,Assembly,5.0
Afghanistan,Bash/Shell/PowerShell,4.0
Afghanistan,C,7.0
Afghanistan,C#,10.0
Afghanistan,C++,11.0
Afghanistan,Dart,8.0
Afghanistan,Go,4.0
Afghanistan,HTML/CSS,13.0
Afghanistan,Haskell,2.0
Afghanistan,Java,15.0
Afghanistan,JavaScript,16.0
Afghanistan,Julia,2.0
Afghanistan,Kotlin,6.0
Afghanistan,Objective-C,1.0
Afghanistan,PHP,11.0
Afghanistan,Perl,1.0
Afghanistan,Python,22.0
Afghanistan,R,5.0
Afghanistan,Ruby,4.0
Afghanistan,Rust,3.0
Afghanistan,SQL,10.0
Afghanistan,Scala,1.0
Afghanistan,Swift,8.0
Afghanistan,TypeScript,7.0
Afghanistan,VBA,2.0
Albania,Assembly,3.0
Albania,Bash/Shell/PowerShell,7.0
Albania,C,2.0
Albania,C#,9.0
Albania,C++,4.0
Albania,Dart,6.0
Albania,Go,7.0
Albania,HTML/CSS,15.0
Albania,Haskell,2.0
Albania,Java,13.0
Albania,JavaScript,22.0
Albania,Julia,3.0
Albania,Kotlin,7.0
Albania,Objective-C,1.0
Albania,PHP,9.0
Albania,Perl,1.0
Albania,Python,19.0
Albania,R,1.0
Albania,Ruby,4.0
Albania,Rust,5.0
Albania,SQL,20.0
Albania,Scala,2.0
Albania,Swift,7.0
Albania,TypeScript,14.0
Albania,VBA,2.0
Algeria,Assembly,5.0
Algeria,Bash/Shell/PowerShell,11.0
Algeria,C,12.0
Algeria,C#,16.0
Algeria,C++,13.0
Algeria,Dart,16.0
Algeria,Go,14.0
Algeria,HTML/CSS,37.0
Algeria,Haskell,1.0
Algeria,Java,18.0
Algeria,JavaScript,39.0
Algeria,Julia,3.0
Algeria,Kotlin,11.0
Algeria,Objective-C,1.0
Algeria,PHP,17.0
Algeria,Perl,1.0
Algeria,Python,34.0
Algeria,R,6.0
Algeria,Ruby,5.0
Algeria,Rust,6.0
Algeria,SQL,33.0
Algeria,Scala,3.0
Algeria,Swift,7.0
Algeria,TypeScript,21.0
Algeria,VBA,2.0
Andorra,Bash/Shell/PowerShell,1.0
Andorra,C++,1.0
Andorra,HTML/CSS,1.0
Andorra,JavaScript,3.0
Andorra,Objective-C,1.0
Andorra,Perl,1.0
Andorra,Python,2.0
Andorra,R,1.0
Andorra,SQL,1.0
Andorra,Swift,1.0
Andorra,TypeScript,3.0
Angola,C#,1.0
Angola,Dart,2.0
Angola,Kotlin,1.0
Angola,Python,2.0
Angola,SQL,1.0
Angola,VBA,1.0
Argentina,Assembly,16.0
Argentina,Bash/Shell/PowerShell,57.0
Argentina,C,36.0
Argentina,C#,73.0
Argentina,C++,54.0
Argentina,Dart,35.0
Argentina,Go,88.0
Argentina,HTML/CSS,145.0
Argentina,Haskell,19.0
Argentina,Java,71.0
Argentina,JavaScript,210.0
Argentina,Julia,5.0
Argentina,Kotlin,50.0
Argentina,Objective-C,3.0
Argentina,PHP,41.0
Argentina,Perl,4.0
Argentina,Python,163.0
Argentina,R,18.0
Argentina,Ruby,36.0
Argentina,Rust,58.0
Argentina,SQL,126.0
Argentina,Scala,19.0
Argentina,Swift,18.0
Argentina,TypeScript,116.0
Argentina,VBA,6.0
Armenia,Bash/Shell/PowerShell,11.0
Armenia,C,4.0
Armenia,C#,10.0
Armenia,C++,9.0
Armenia,Dart,5.0
Armenia,Go,8.0
Armenia,HTML/CSS,20.0
Armenia,Haskell,2.0
Armenia,Java,14.0
Armenia,JavaScript,29.0
Armenia,Kotlin,7.0
Armenia,PHP,5.0
Armenia,Python,24.0
Armenia,R,4.0
Armenia,Ruby,3.0
Armenia,Rust,6.0
Armenia,SQL,17.0
Armenia,Scala,1.0
Armenia,Swift,5.0
Armenia,TypeScript,12.0
Armenia,VBA,1.0
Australia,Assembly,35.0
Australia,Bash/Shell/PowerShell,250.0
Australia,C,115.0
Australia,C#,302.0
Australia,C++,189.0
Australia,Dart,58.0
Australia,Go,240.0
Australia,HTML/CSS,433.0
Australia,Haskell,88.0
Australia,Java,173.0
Australia,JavaScript,487.0
Australia,Julia,25.0
Australia,Kotlin,156.0
Australia,Objective-C,33.0
Australia,PHP,95.0
Australia,Perl,17.0
Australia,Python,475.0
Australia,R,81.0
Australia,Ruby,81.0
Australia,Rust,250.0
Australia,SQL,376.0
Australia,Scala,46.0
Australia,Swift,125.0
Australia,TypeScript,370.0
Australia,VBA,23.0
Austria,Assembly,25.0
Austria,Bash/Shell/PowerShell,130.0
Austria,C,64.0
Austria,C#,140.0
Austria,C++,104.0
Austria,Dart,28.0
Austria,Go,89.0
Austria,HTML/CSS,198.0
Austria,Haskell,21.0
Austria,Java,134.0
Austria,JavaScript,202.0
Austria,Julia,20.0
Austria,Kotlin,85.0
Austria,Objective-C,8.0
Austria,PHP,58.0
Austria,Perl,12.0
Austria,Python,197.0
Austria,R,39.0
Austria,Ruby,26.0
Austria,Rust,102.0
Austria,SQL,171.0
Austria,Scala,19.0
Austria,Swift,29.0
Austria,TypeScript,167.0
Austria,VBA,7.0
Azerbaijan,Bash/Shell/PowerShell,2.0
Azerbaijan,C,8.0
Azerbaijan,C#,7.0
Azerbaijan,C++,9.0
Azerbaijan,Dart,6.0
Azerbaijan,Go,8.0
Azerbaijan,HTML/CSS,12.0
Azerbaijan,Haskell,4.0
Azerbaijan,Java,9.0
Azerbaijan,JavaScript,19.0
Azerbaijan,Kotlin,8.0
Azerbaijan,PHP,5.0
Azerbaijan,Perl,2.0
Azerbaijan,Python,15.0
Azerbaijan,R,1.0
Azerbaijan,Ruby,4.0
Azerbaijan,Rust,7.0
Azerbaijan,SQL,12.0
Azerbaijan,Scala,1.0
Azerbaijan,Swift,4.0
Azerbaijan,TypeScript,12.0
Bahamas,Go,1.0
Bahamas,Haskell,1.0
Bahamas,Swift,2.0
Bahrain,Bash/Shell/PowerShell,1.0
Bahrain,C#,4.0
Bahrain,C++,3.0
Bahrain,Go,1.0
Bahrain,HTML/CSS,5.0
Bahrain,Java,1.0
Bahrain,JavaScript,6.0
Bahrain,Kotlin,1.0
Bahrain,Objective-C,2.0
Bahrain,PHP,2.0
Bahrain,Python,3.0
Bahrain,R,1.0
Bahrain,SQL,5.0
Bahrain,Swift,2.0
Bahrain,TypeScript,2.0
Bangladesh,Assembly,23.0
Bangladesh,Bash/Shell/PowerShell,47.0
Bangladesh,C,45.0
Bangladesh,C#,115.0
Bangladesh,C++,90.0
Bangladesh,Dart,85.0
Bangladesh,Go,116.0
Bangladesh,HTML/CSS,204.0
Bangladesh,Haskell,11.0
Bangladesh,Java,136.0
Bangladesh,JavaScript,286.0
Bangladesh,Julia,9.0
Bangladesh,Kotlin,72.0
Bangladesh,Objective-C,24.0
Bangladesh,PHP,148.0
Bangladesh,Perl,11.0
Bangladesh,Python,271.0
Bangladesh,R,44.0
Bangladesh,Ruby,32.0
Bangladesh,Rust,39.0
