,Country,Monthly_Sal_EUR,YearsCodePro
2918,Afghanistan,5996.5,2
9806,Afghanistan,14991.25,6
15371,Afghanistan,149.9125,6
17985,Afghanistan,1233.779875,34
26443,Afghanistan,8994.75,3
26676,Afghanistan,99.94166666666666,1
26758,Afghanistan,1499.125,1
28270,Afghanistan,12992.416666666666,5
30405,Afghanistan,2998.25,3
30451,Afghanistan,3497.958333333333,3
33755,Afghanistan,1199.3,2
34842,Afghanistan,2798.366666666667,3
35168,Afghanistan,0.19988333333333333,27
35602,Afghanistan,499.7083333333333,1
43642,Afghanistan,11993.0,10
50469,Afghanistan,12992.416666666666,5
50812,Afghanistan,3232.1135,2
56146,Afghanistan,6995.916666666666,3
62520,Afghanistan,14991.25,5
