,Country,Monthly_Sal_EUR,YearsCodePro
1946,Albania,9994.166666666666,14
2324,Albania,19988.333333333332,2
3771,Albania,199.88333333333333,10
6688,Albania,499.7083333333333,4
9230,Albania,6496.208333333333,4
10257,Albania,99.94166666666666,2
11496,Albania,5996.5,1
12208,Albania,16990.083333333332,5
13322,Albania,9594.4,2
15295,Albania,6995.916666666666,2
15910,Albania,7995.333333333333,3
18193,Albania,12492.708333333332,21
18766,Albania,6995.916666666666,1
24955,Albania,8994.75,10
25440,Albania,3997.6666666666665,1
27476,Albania,8714.913333333334,2
28705,Albania,249.85416666666666,10
28995,Albania,99.94166666666666,3
33385,Albania,4997.083333333333,1
33999,Albania,39.97666666666667,1
35805,Albania,7995.333333333333,2
40574,Albania,6995.916666666666,2
43601,Albania,149.9125,5
50000,Albania,169.9008333333333,6
55041,Albania,39.97666666666667,1
55572,Albania,149.9125,12
55994,Albania,5996.5,1
58394,Albania,6496.208333333333,1
59980,Albania,3497.958333333333,1
62229,Albania,15990.666666666666,5
62511,Albania,99.94166666666666,3
64815,Albania,6496.208333333333,1
65859,Albania,299.825,6
69716,Albania,6995.916666666666,2
69857,Albania,5996.5,1
70280,Albania,1199.3,7
73036,Albania,6995.916666666666,4
76073,Albania,6995.916666666666,1
76755,Albania,3997.6666666666665,1
78326,Albania,4497.375,4
79906,Albania,149.9125,3
79936,Albania,171.8996666666667,5
80012,Albania,8495.041666666666,3
84729,Albania,11593.233333333334,5
85346,Albania,169.9008333333333,3
