,Country,Monthly_Sal_EUR,EdLevel
562,Albania,10194.05,Bachelor's degree
10613,Albania,199.88333333333333,college/university without bachelor's degree
21867,Albania,14991.25,Master's degree
22058,Albania,5496.791666666666,Secondary school
22942,Albania,1998.8333333333333,Master's degree
23253,Albania,1499.125,Master's degree
23409,Albania,12992.416666666666,Master's degree
26744,Albania,199.88333333333333,Master's degree
27611,Albania,9994.166666666666,Master's degree
28207,Albania,4097.608333333334,Bachelor's degree
28793,Albania,14991.25,Master's degree
37216,Albania,99.94166666666666,Master's degree
46385,Albania,0.09994166666666666,Primary/elementary school
50480,Albania,14991.25,Bachelor's degree
57300,Albania,19988.333333333332,Bachelor's degree
59859,Albania,129.92416666666668,Bachelor's degree
