,Country,Monthly_Sal_EUR,YearsCodePro
10065,Algeria,12992.416666666666,5
11245,Algeria,14491.541666666666,20
12065,Algeria,3497.958333333333,2
14899,Algeria,8994.75,3
15318,Algeria,19.988333333333333,3
25369,Algeria,299.825,5
29000,Algeria,11993.0,7
33567,Algeria,4997.083333333333,16
33914,Algeria,3497.958333333333,2
43138,Algeria,69.95916666666666,6
48275,Algeria,14991.25,3
54803,Algeria,9994.166666666666,2
57492,Algeria,7995.333333333333,2
58458,Algeria,5996.5,1
61431,Algeria,11993.0,3
62855,Algeria,3997.6666666666665,8
