,Country,Monthly_Sal_EUR,EdLevel
289,Argentina,7495.625,college/university without bachelor's degree
1201,Argentina,9994.166666666666,college/university without bachelor's degree
1326,Argentina,7195.8,Doctoral degree
2100,Argentina,359.79,Secondary school
3140,Argentina,499.7083333333333,Bachelor's degree
3887,Argentina,15990.666666666666,college/university without bachelor's degree
4363,Argentina,5196.966666666666,Bachelor's degree
5149,Argentina,429.7491666666666,college/university without bachelor's degree
5588,Argentina,219.87166666666667,Bachelor's degree
5629,Argentina,549.6791666666667,Bachelor's degree
5716,Argentina,9994.166666666666,Secondary school
5809,Argentina,15990.666666666666,Bachelor's degree
6103,Argentina,7195.8,college/university without bachelor's degree
6135,Argentina,149.9125,Bachelor's degree
7517,Argentina,999.4166666666666,college/university without bachelor's degree
7726,Argentina,5996.5,Secondary school
8334,Argentina,14991.25,Master's degree
8519,Argentina,67.96033333333332,college/university without bachelor's degree
8564,Argentina,1343.216,Bachelor's degree
8743,Argentina,299.825,college/university without bachelor's degree
10009,Argentina,5996.5,college/university without bachelor's degree
10420,Argentina,14991.25,college/university without bachelor's degree
10539,Argentina,2498.5416666666665,Bachelor's degree
10712,Argentina,3198.133333333333,college/university without bachelor's degree
10934,Argentina,12992.416666666666,college/university without bachelor's degree
12394,Argentina,119.93,college/university without bachelor's degree
16089,Argentina,9994.166666666666,college/university without bachelor's degree
16402,Argentina,44.97375,Bachelor's degree
16520,Argentina,499.7083333333333,Professional degree
17094,Argentina,3997.6666666666665,college/university without bachelor's degree
17926,Argentina,4197.549999999999,college/university without bachelor's degree
17975,Argentina,12992.416666666666,Associate degree
18013,Argentina,6895.974999999999,Something else
18483,Argentina,8195.216666666667,Associate degree
18780,Argentina,9994.166666666666,college/university without bachelor's degree
18786,Argentina,11993.0,college/university without bachelor's degree
18893,Argentina,3597.9,Master's degree
18977,Argentina,1349.2125,Bachelor's degree
19105,Argentina,11993.0,Bachelor's degree
19265,Argentina,499.7083333333333,Bachelor's degree
19453,Argentina,9994.166666666666,Secondary school
19477,Argentina,12492.708333333332,college/university without bachelor's degree
19607,Argentina,6995.916666666666,college/university without bachelor's degree
19742,Argentina,309.81916666666666,Bachelor's degree
19841,Argentina,319.81333333333333,college/university without bachelor's degree
20028,Argentina,8495.041666666666,Bachelor's degree
20073,Argentina,629.6324999999999,Bachelor's degree
20081,Argentina,7995.333333333333,Professional degree
20099,Argentina,14491.541666666666,college/university without bachelor's degree
20318,Argentina,2498.5416666666665,college/university without bachelor's degree
20567,Argentina,389.77250000000004,Bachelor's degree
