,Country,Monthly_Sal_EUR,EdLevel
399,Australia,6995.916666666666,Bachelor's degree
2614,Australia,9994.166666666666,Master's degree
3441,Australia,12992.416666666666,Bachelor's degree
3490,Australia,10993.583333333332,Master's degree
3780,Australia,9994.166666666666,Bachelor's degree
3825,Australia,14891.308333333334,Master's degree
3885,Australia,10993.583333333332,Bachelor's degree
3956,Australia,6496.208333333333,Bachelor's degree
3960,Australia,10493.875,Bachelor's degree
4021,Australia,12992.416666666666,Bachelor's degree
4084,Australia,10993.583333333332,Bachelor's degree
4137,Australia,9294.575,Bachelor's degree
4143,Australia,11393.35,Bachelor's degree
4149,Australia,11993.0,Master's degree
4190,Australia,8140.448633333333,Bachelor's degree
4277,Australia,12992.416666666666,Bachelor's degree
4278,Australia,409.7608333333333,Master's degree
4298,Australia,7995.333333333333,Bachelor's degree
4306,Australia,18489.208333333332,Bachelor's degree
4310,Australia,16490.375,Bachelor's degree
4323,Australia,7495.625,Doctoral degree
4364,Australia,8694.925,Bachelor's degree
4400,Australia,16690.25833333333,Doctoral degree
4420,Australia,13991.833333333332,Bachelor's degree
4436,Australia,16990.083333333332,Bachelor's degree
4438,Australia,467.727,Secondary school
4441,Australia,12692.591666666667,Bachelor's degree
4444,Australia,11493.291666666666,Bachelor's degree
4471,Australia,18289.324999999997,Bachelor's degree
4541,Australia,18489.208333333332,college/university without bachelor's degree
4543,Australia,10943.6125,college/university without bachelor's degree
4570,Australia,12992.416666666666,college/university without bachelor's degree
4588,Australia,4497.375,college/university without bachelor's degree
4594,Australia,9494.458333333332,Associate degree
4597,Australia,18988.916666666664,Bachelor's degree
4632,Australia,13991.833333333332,Master's degree
4642,Australia,7645.537499999999,Bachelor's degree
4683,Australia,8994.75,Bachelor's degree
4685,Australia,10993.583333333332,Doctoral degree
4704,Australia,7995.333333333333,Bachelor's degree
4705,Australia,14991.25,Secondary school
4711,Australia,31.481624999999998,Bachelor's degree
4739,Australia,12575.460033333333,Bachelor's degree
4755,Australia,10993.583333333332,Bachelor's degree
4811,Australia,499.7083333333333,Master's degree
4823,Australia,11993.0,Bachelor's degree
4830,Australia,9304.069458333333,Master's degree
4841,Australia,8195.216666666667,college/university without bachelor's degree
4873,Australia,6296.325000000001,Bachelor's degree
4897,Australia,13592.066666666668,Bachelor's degree
4911,Australia,9994.166666666666,Bachelor's degree
4930,Australia,10341.663841666666,Secondary school
4974,Australia,6496.208333333333,Bachelor's degree
4980,Australia,10793.7,Bachelor's degree
4994,Australia,14991.25,Bachelor's degree
5110,Australia,6796.033333333334,Bachelor's degree
5128,Australia,13492.125,Master's degree
5198,Australia,6496.208333333333,college/university without bachelor's degree
5229,Australia,11493.291666666666,Associate degree
5230,Australia,17989.5,Bachelor's degree
5236,Australia,6396.266666666666,Master's degree
5329,Australia,7995.333333333333,college/university without bachelor's degree
5340,Australia,12992.416666666666,Master's degree
5353,Australia,154.90958333333333,college/university without bachelor's degree
5376,Australia,13991.833333333332,Bachelor's degree
5385,Australia,14091.775000000001,Bachelor's degree
5387,Australia,15990.666666666666,Master's degree
5408,Australia,11493.291666666666,Bachelor's degree
5412,Australia,7995.333333333333,Bachelor's degree
5413,Australia,7795.450000000001,Master's degree
5415,Australia,7195.8,Bachelor's degree
5421,Australia,17889.558333333334,Bachelor's degree
5422,Australia,17989.5,Bachelor's degree
5426,Australia,10943.6125,Bachelor's degree
