,Country,Monthly_Sal_EUR,YearsCodePro
209,Australia,14491.541666666666,2
742,Australia,47.971999999999994,1
1593,Australia,5996.5,1
1778,Australia,749.5625,1
2171,Australia,11493.291666666666,7
4259,Australia,12992.416666666666,5
4830,Australia,5996.5,3
5347,Australia,15590.900000000001,31
7451,Australia,15990.666666666666,8
7653,Australia,11993.0,11
7807,Australia,499.7083333333333,5
7900,Australia,8495.041666666666,2
8338,Australia,17989.5,10
8363,Australia,11993.0,20
8463,Australia,3497.958333333333,20
8494,Australia,9494.458333333332,6
8547,Australia,14491.541666666666,9
8569,Australia,14991.25,7
8622,Australia,12992.416666666666,5
8662,Australia,13991.833333333332,31
8678,Australia,11993.0,20
8695,Australia,7795.450000000001,4
8736,Australia,17989.5,8
8775,Australia,15990.666666666666,6
8804,Australia,9094.691666666666,13
8809,Australia,10593.816666666666,6
8812,Australia,12492.708333333332,5
8848,Australia,14991.25,20
8889,Australia,8994.75,3
8895,Australia,7995.333333333333,12
8909,Australia,14991.25,32
8923,Australia,7495.625,4
8962,Australia,12492.708333333332,15
8965,Australia,18988.916666666664,15
8970,Australia,120.52965,9
9074,Australia,6995.916666666666,5
9119,Australia,159.90666666666667,1
9122,Australia,339.8016666666666,4
9131,Australia,6496.208333333333,2
9141,Australia,7995.333333333333,3
9170,Australia,14991.25,15
9172,Australia,16490.375,16
9173,Australia,592.4542,10
9195,Australia,9494.458333333332,10
9210,Australia,3997.6666666666665,4
9216,Australia,9994.166666666666,15
9233,Australia,10993.583333333332,5
9242,Australia,12992.416666666666,1
9283,Australia,8794.866666666667,4
9292,Australia,6196.383333333333,50
9299,Australia,8495.041666666666,6
9302,Australia,8994.75,7
9326,Australia,7695.508333333333,3
9331,Australia,10693.758333333333,3
9352,Australia,11193.466666666667,24
9356,Australia,17589.733333333334,6
9358,Australia,7595.566666666667,5
9362,Australia,15990.666666666666,25
9380,Australia,6496.208333333333,12
9393,Australia,9094.691666666666,5
9403,Australia,8994.75,9
9405,Australia,13092.358333333334,6
9412,Australia,8994.75,5
9441,Australia,10993.583333333332,2
9445,Australia,12092.941666666668,30
9463,Australia,12992.416666666666,18
9465,Australia,9294.575,5
9468,Australia,18988.916666666664,1
9524,Australia,17989.5,24
9529,Australia,17989.5,35
9535,Australia,13512.113333333335,13
9549,Australia,879.4866666666667,19
9574,Australia,479.72,20
9578,Australia,6496.208333333333,5
9600,Australia,64.96208333333334,4
9626,Australia,13991.833333333332,10
9634,Australia,9194.633333333333,8
9668,Australia,13991.833333333332,8
9677,Australia,6496.208333333333,2
9681,Australia,17989.5,7
9683,Australia,8195.216666666667,12
9705,Australia,19988.333333333332,2
9738,Australia,13991.833333333332,13
9752,Australia,5676.6866666666665,2
9759,Australia,13492.125,8
9760,Australia,9028.430341666666,3
9775,Australia,487.7153333333333,1
9776,Australia,449.7375,13
9778,Australia,8594.983333333334,5
9812,Australia,9994.166666666666,8
9819,Australia,9994.166666666666,4
9834,Australia,10993.583333333332,5
9844,Australia,349.79583333333335,3
9849,Australia,9294.575,6
9861,Australia,8574.994999999999,6
9904,Australia,969.4341666666667,8
9932,Australia,199.88333333333333,7
9943,Australia,10194.05,32
9959,Australia,999.4166666666666,2
9982,Australia,11993.0,12
9993,Australia,12592.650000000001,5
10098,Australia,11993.0,20
10115,Australia,18988.916666666664,20
10177,Australia,6995.916666666666,2
10204,Australia,14591.483333333334,16
10229,Australia,11819.101499999999,17
10238,Australia,9994.166666666666,7
10254,Australia,5796.616666666667,2
10349,Australia,9994.166666666666,20
10360,Australia,17989.5,22
10484,Australia,19988.333333333332,15
10489,Australia,7495.625,2
10546,Australia,15790.783333333333,22
10547,Australia,9994.166666666666,4
10570,Australia,11993.0,20
10578,Australia,59.965,2
10579,Australia,11993.0,3
10586,Australia,349.79583333333335,12
10596,Australia,17989.5,6
10656,Australia,7795.450000000001,5
10663,Australia,8994.75,2
10715,Australia,7695.0086249999995,5
10716,Australia,8994.75,5
10740,Australia,7475.636666666666,3
10777,Australia,16490.375,28
10793,Australia,12992.416666666666,13
10800,Australia,6995.916666666666,3
10818,Australia,19988.333333333332,20
10849,Australia,10493.875,8
10851,Australia,10393.933333333332,15
10902,Australia,13991.833333333332,12
10923,Australia,5996.5,4
10926,Australia,15990.666666666666,3
10935,Australia,5996.5,3
10938,Australia,7995.333333333333,3
10966,Australia,11993.0,10
10985,Australia,10793.7,5
10987,Australia,79.95333333333333,3
11004,Australia,11993.0,44
11047,Australia,11493.291666666666,5
11076,Australia,9494.458333333332,10
11118,Australia,699.5916666666667,3
11132,Australia,9494.458333333332,5
11190,Australia,18489.208333333332,5
11211,Australia,13991.833333333332,10
11223,Australia,10743.729166666666,2
11276,Australia,10993.583333333332,12
11285,Australia,10493.875,16
11295,Australia,13242.270833333332,14
11331,Australia,8619.96875,4
11333,Australia,11993.0,10
11342,Australia,4497.375,1
11364,Australia,9994.166666666666,10
11387,Australia,537.1864583333333,14
11414,Australia,14991.25,5
11457,Australia,11993.0,6
11528,Australia,9994.166666666666,8
11592,Australia,8994.75,1
11603,Australia,15990.666666666666,20
11604,Australia,8994.75,3
11642,Australia,11993.0,9
11717,Australia,10993.583333333332,5
11801,Australia,15990.666666666666,4
11904,Australia,17989.5,18
11960,Australia,11493.291666666666,4
11964,Australia,5196.966666666666,6
11979,Australia,8251.483825,3
12038,Australia,106.63775833333332,3
12092,Australia,119.93,4
12216,Australia,10593.816666666666,5
12235,Australia,12992.416666666666,5
12257,Australia,299.825,2
12301,Australia,17040.054166666665,8
12325,Australia,14991.25,21
12376,Australia,12492.708333333332,8
12409,Australia,14991.25,18
12495,Australia,14691.425,6
12654,Australia,13791.949999999999,23
12696,Australia,11993.0,31
12935,Australia,499.7083333333333,7
13033,Australia,15990.666666666666,10
13404,Australia,11993.0,3
13461,Australia,8994.75,5
13913,Australia,8495.041666666666,2
13940,Australia,9494.458333333332,1
14179,Australia,14991.25,20
14332,Australia,11993.0,15
14429,Australia,7995.333333333333,4
14464,Australia,5496.791666666666,31
14518,Australia,409.7608333333333,6
14565,Australia,7995.333333333333,3
14753,Australia,2198.7166666666667,10
14779,Australia,10993.583333333332,11
14788,Australia,6995.916666666666,2
15007,Australia,12992.416666666666,12
15205,Australia,9694.341666666667,18
15417,Australia,10993.583333333332,24
15512,Australia,8994.75,1
15600,Australia,11493.291666666666,23
15614,Australia,6995.916666666666,1
15780,Australia,8794.866666666667,21
15862,Australia,6496.208333333333,1
15887,Australia,12092.941666666668,16
16023,Australia,9085.596975,2
16125,Australia,199.88333333333333,5
16564,Australia,19988.333333333332,10
16979,Australia,6995.916666666666,14
17224,Australia,7995.333333333333,4
17363,Australia,10893.641666666666,35
17515,Australia,6995.916666666666,3
17517,Australia,15990.666666666666,14
17652,Australia,9494.458333333332,7
17682,Australia,9994.166666666666,14
17966,Australia,4897.141666666666,10
18071,Australia,9994.166666666666,15
18104,Australia,8994.75,9
18445,Australia,69.95916666666666,1
19186,Australia,11893.058333333334,5
19768,Australia,19788.449999999997,15
20338,Australia,19988.333333333332,28
20974,Australia,8195.216666666667,4
21221,Australia,10993.583333333332,13
21237,Australia,16990.083333333332,23
21520,Australia,9994.166666666666,9
21595,Australia,307.52050833333334,5
21623,Australia,14991.25,8
21627,Australia,439.74333333333334,9
21649,Australia,109.93583333333333,5
21676,Australia,11293.408333333333,6
21691,Australia,1199.3,11
21730,Australia,4197.549999999999,15
21737,Australia,499.7083333333333,14
21763,Australia,8954.773333333333,3
21780,Australia,8195.216666666667,2
21784,Australia,14491.541666666666,13
21803,Australia,18489.208333333332,23
