,Country,Monthly_Sal_EUR,YearsCodePro
444,Austria,5197.132616487458,10.0
876,Austria,3073.4767025089586,2.0
1961,Austria,4139.7849462365575,5.0
2193,Austria,8333.333333333332,4.0
3263,Austria,5645.161290322583,17.0
3441,Austria,2329.74910394265,3.0
3474,Austria,3236.55913978495,4.0
3476,Austria,3584.2293906809996,3.0
3755,Austria,3763.4408602150497,3.0
3756,Austria,5197.132616487458,8.0
3800,Austria,5376.344086021508,4.0
3809,Austria,4480.2867383512585,5.0
4737,Austria,3763.4408602150497,7.0
4913,Austria,3637.9928315412167,6.0
5423,Austria,5824.372759856633,8.0
5516,Austria,3763.4408602150497,3.0
7581,Austria,4453.40501792115,19.0
9502,Austria,3512.5448028673836,1.0
9818,Austria,3584.2293906809996,1.0
10063,Austria,3136.200716845875,5.0
10379,Austria,5376.344086021508,11.0
10709,Austria,4892.473118279566,15.0
12162,Austria,2688.17204301075,3.0
12583,Austria,4516.129032258066,8.0
12760,Austria,6541.218637992833,8.0
13024,Austria,2473.1182795698915,5.0
14060,Austria,3763.4408602150497,9.0
14077,Austria,2473.1182795698915,1.0
14181,Austria,896.0573476702499,2.0
14185,Austria,3046.59498207885,1.0
14468,Austria,2956.9892473118252,15.0
15232,Austria,7168.458781362007,10.0
15423,Austria,4928.315412186383,15.0
15507,Austria,322.58064516128997,6.0
15987,Austria,3136.200716845875,7.0
16025,Austria,3584.2293906809996,4.0
16227,Austria,98.56630824372749,1.0
16323,Austria,3498.7455197132585,5.0
16371,Austria,3584.2293906809996,8.0
16797,Austria,2885.3046594982084,2.0
17370,Austria,5376.344086021508,7.0
17381,Austria,4211.469534050175,8.0
17469,Austria,250.89605734767,2.0
17775,Austria,3763.4408602150497,6.0
18600,Austria,3584.2293906809996,4.0
18619,Austria,3584.2293906809996,8.0
18768,Austria,206.0931899641575,4.0
19410,Austria,4928.315412186383,17.0
19564,Austria,4767.025089605733,4.0
20264,Austria,4121.86379928315,5.0
20393,Austria,3405.01792114695,7.0
20586,Austria,4350.5376344086,11.0
21528,Austria,3763.4408602150497,8.0
22019,Austria,3853.0465949820746,2.0
22055,Austria,4390.681003584234,5.0
22063,Austria,4014.336917562725,5.0
22085,Austria,4516.129032258066,10.0
23525,Austria,2240.1433691756247,5.0
23668,Austria,5017.9211469534075,6.0
23721,Austria,4077.0609318996417,6.0
23757,Austria,5017.9211469534075,8.0
23921,Austria,3136.200716845875,6.0
24519,Austria,3584.2293906809996,10.0
24618,Austria,4498.207885304658,6.0
25367,Austria,4032.258064516125,4.0
25397,Austria,3010.7526881720414,1.0
25528,Austria,1164.874551971325,2.0
25627,Austria,4749.103942652333,3.0
25978,Austria,3763.4408602150497,6.0
26625,Austria,4480.2867383512585,10.0
26689,Austria,3870.9677419354834,10.0
26819,Austria,4480.2867383512585,5.0
26926,Austria,5913.978494623658,20.0
26972,Austria,3853.0465949820746,4.0
26995,Austria,3324.3727598566334,9.0
27132,Austria,5017.9211469534075,19.0
27189,Austria,4516.129032258066,9.0
27504,Austria,4032.258064516125,4.0
27747,Austria,4569.892473118274,8.0
27758,Austria,2795.698924731183,3.0
27926,Austria,3046.59498207885,5.0
28240,Austria,4271.505376344083,5.0
28401,Austria,4569.892473118274,9.0
28743,Austria,4767.025089605733,1.0
28880,Austria,3584.2293906809996,3.0
29189,Austria,313.6200716845875,3.0
29669,Austria,215.05376344086,3.0
29678,Austria,4749.103942652333,12.0
31913,Austria,8138.0303030302985,10.0
32041,Austria,179.21146953404997,3.0
32296,Austria,161.29032258064498,2.0
33419,Austria,4480.2867383512585,5.0
33531,Austria,6439.605734767025,7.0
33544,Austria,2867.3835125447995,2.0
34940,Austria,7168.458781362007,2.0
35097,Austria,4032.258064516125,2.0
35386,Austria,4032.258064516125,4.0
35390,Austria,5017.9211469534075,9.0
35666,Austria,1792.1146953404998,1.0
35997,Austria,228.49462365591415,4.0
37693,Austria,4480.2867383512585,1.0
38168,Austria,3763.4408602150497,1.0
38540,Austria,3324.3727598566334,4.0
38587,Austria,3136.200716845875,5.0
38999,Austria,4829.7491039426495,7.0
39189,Austria,5017.9211469534075,15.0
39473,Austria,3763.4408602150497,3.0
41026,Austria,3763.4408602150497,5.0
41083,Austria,5465.9498207885335,9.0
42279,Austria,3046.59498207885,1.0
44023,Austria,5569.892473118275,18.0
44095,Austria,2688.17204301075,3.0
44297,Austria,4883.512544802867,5.0
44330,Austria,3637.9928315412167,7.0
44997,Austria,3225.8064516128998,3.0
45143,Austria,4569.892473118274,5.0
45677,Austria,4480.2867383512585,9.0
46175,Austria,3718.637992831542,1.0
46724,Austria,3387.0967741935497,7.0
48204,Austria,2688.17204301075,2.0
48432,Austria,5107.526881720433,9.0
48564,Austria,1612.9032258064499,1.0
49786,Austria,3405.01792114695,5.0
50030,Austria,1612.9032258064499,2.0
50186,Austria,3763.4408602150497,4.0
50302,Austria,4516.129032258066,7.0
51210,Austria,5376.344086021508,5.0
51247,Austria,3971.4157706093165,3.0
