,Country,Monthly_Sal_EUR,EdLevel
585,Austria,4990.2873,Master's degree
1178,Austria,5137.301491666667,Master's degree
1187,Austria,6115.83035,Bachelor's degree
1257,Austria,6238.158949999999,Doctoral degree
1657,Austria,5137.301491666667,Bachelor's degree
1696,Austria,5736.651666666667,Master's degree
1929,Austria,6849.702008333334,college/university without bachelor's degree
1953,Austria,7339.016408333333,Master's degree
1974,Austria,2865.1277,Master's degree
2178,Austria,5651.001658333333,college/university without bachelor's degree
2201,Austria,4696.4588,college/university without bachelor's degree
2338,Austria,5137.8012,Master's degree
2415,Austria,3962.4872,Secondary school
2435,Austria,4256.3157,Bachelor's degree
2715,Austria,6115.83035,Master's degree
2962,Austria,1526.7088999999999,college/university without bachelor's degree
3107,Austria,7950.559466666667,Doctoral degree
3189,Austria,7192.2020999999995,Secondary school
3327,Austria,7950.559466666667,Bachelor's degree
3391,Austria,587.6569999999999,Secondary school
3493,Austria,3669.4582333333333,Secondary school
3881,Austria,630.8317999999999,college/university without bachelor's degree
3911,Austria,5504.287291666666,Master's degree
4425,Austria,1247.272,college/university without bachelor's degree
4445,Austria,5724.258900000001,college/university without bachelor's degree
4447,Austria,7339.016408333333,Master's degree
4498,Austria,3229.7149,Secondary school
4923,Austria,7339.016408333333,Bachelor's degree
5250,Austria,4843.9727,Master's degree
5257,Austria,4892.6442916666665,Master's degree
5342,Austria,4892.6442916666665,Secondary school
5708,Austria,5661.29565,Master's degree
5870,Austria,7950.559466666667,Secondary school
6020,Austria,3962.4872,college/university without bachelor's degree
6166,Austria,1526.7088999999999,college/university without bachelor's degree
6513,Austria,587.6569999999999,Secondary school
6868,Austria,3816.1726,Bachelor's degree
6952,Austria,5137.8012,Bachelor's degree
7169,Austria,2788.3725,Secondary school
7459,Austria,3823.3684,Bachelor's degree
7788,Austria,3376.0294999999996,college/university without bachelor's degree
8184,Austria,4256.3157,college/university without bachelor's degree
8241,Austria,5993.50175,Master's degree
8750,Austria,5137.8012,Bachelor's degree
8813,Austria,3082.201,college/university without bachelor's degree
8855,Austria,5871.7728,Master's degree
9147,Austria,3669.858,Secondary school
9466,Austria,8134.052366666667,Bachelor's degree
9522,Austria,1333.2218333333333,Bachelor's degree
9657,Austria,2935.8864,Bachelor's degree
9717,Austria,6849.702008333334,Master's degree
9821,Austria,3985.2739,Master's degree
10271,Austria,8562.102524999998,Master's degree
10559,Austria,7339.016408333333,Master's degree
10719,Austria,5430.430399999999,Bachelor's degree
11425,Austria,7339.016408333333,Master's degree
11642,Austria,1174.1147,Bachelor's degree
11666,Austria,5504.287291666666,Master's degree
11730,Austria,9785.288583333333,Master's degree
11796,Austria,1291.6461,college/university without bachelor's degree
12134,Austria,2554.509,Bachelor's degree
12290,Austria,9173.745524999998,Secondary school
12532,Austria,6458.2305,Secondary school
12660,Austria,5577.9443,Master's degree
12723,Austria,4696.4588,Master's degree
12736,Austria,3962.4872,Master's degree
12872,Austria,3816.1726,Bachelor's degree
13081,Austria,4770.8153999999995,Bachelor's degree
13141,Austria,5137.301491666667,Bachelor's degree
13708,Austria,4403.8296,No formal education
13739,Austria,4843.9727,college/university without bachelor's degree
13754,Austria,4403.8296,Bachelor's degree
14031,Austria,7339.016408333333,Master's degree
14039,Austria,4233.5289999999995,Bachelor's degree
14108,Austria,7339.016408333333,Doctoral degree
14161,Austria,6727.373408333333,Bachelor's degree
14371,Austria,4403.8296,college/university without bachelor's degree
14827,Austria,5871.7728,Bachelor's degree
15046,Austria,3229.7149,Master's degree
15773,Austria,6604.5451,Professional degree
15829,Austria,6115.83035,Bachelor's degree
16082,Austria,5137.301491666667,Master's degree
16102,Austria,2642.0579,college/university without bachelor's degree
16150,Austria,3669.858,Master's degree
16201,Austria,4403.8296,college/university without bachelor's degree
16692,Austria,6727.373408333333,college/university without bachelor's degree
17900,Austria,5651.1016,Master's degree
17901,Austria,2935.8864,college/university without bachelor's degree
18258,Austria,4647.987091666666,college/university without bachelor's degree
18347,Austria,6164.402,Associate degree
18761,Austria,3431.1973,Master's degree
18838,Austria,5577.9443,Bachelor's degree
18858,Austria,5871.7728,Bachelor's degree
19159,Austria,3376.0294999999996,Bachelor's degree
19897,Austria,6604.5451,Master's degree
19986,Austria,3302.572375,Master's degree
20024,Austria,4256.3157,Bachelor's degree
20177,Austria,1382.1932499999998,college/university without bachelor's degree
20321,Austria,7950.559466666667,Master's degree
20570,Austria,4403.8296,Bachelor's degree
20935,Austria,5577.9443,Master's degree
21552,Austria,5871.7728,Master's degree
21599,Austria,6115.83035,Master's degree
21777,Austria,3522.3441000000003,Bachelor's degree
22320,Austria,880.2862,Secondary school
22334,Austria,6849.702008333334,Master's degree
22375,Austria,9785.288583333333,Master's degree
23067,Austria,4403.8296,Bachelor's degree
23087,Austria,7045.887500000001,college/university without bachelor's degree
23223,Austria,1610.6598999999999,college/university without bachelor's degree
23381,Austria,4403.8296,Bachelor's degree
23704,Austria,6115.83035,Master's degree
23750,Austria,6115.83035,Bachelor's degree
24573,Austria,7828.230866666667,Bachelor's degree
24600,Austria,585.2583999999999,Bachelor's degree
24822,Austria,3962.4872,Secondary school
24942,Austria,7363.402175,Secondary school
24976,Austria,5157.789533333333,Bachelor's degree
25090,Austria,5504.287291666666,Bachelor's degree
25260,Austria,8562.102524999998,Bachelor's degree
25490,Austria,2979.0612,Bachelor's degree
25689,Austria,1174.1147,Bachelor's degree
25803,Austria,10641.488841666665,college/university without bachelor's degree
25818,Austria,2642.0579,Secondary school
25899,Austria,1981.2436,Bachelor's degree
25942,Austria,4145.9801,Master's degree
26354,Austria,17124.304991666664,Doctoral degree
26392,Austria,5565.3516500000005,college/university without bachelor's degree
26462,Austria,3669.858,college/university without bachelor's degree
26483,Austria,6115.83035,Master's degree
26682,Austria,5479.801583333334,college/university without bachelor's degree
26759,Austria,3082.201,college/university without bachelor's degree
26810,Austria,5871.7728,Master's degree
26927,Austria,5871.7728,Master's degree
27057,Austria,6164.701825,Master's degree
28202,Austria,6115.83035,Bachelor's degree
28209,Austria,536.0871,college/university without bachelor's degree
28342,Austria,6849.702008333334,Secondary school
28714,Austria,5871.17315,Primary/elementary school
28872,Austria,4770.315691666667,Master's degree
29965,Austria,7534.702191666667,Master's degree
30009,Austria,7339.016408333333,Bachelor's degree
30803,Austria,6654.016225,Bachelor's degree
30995,Austria,6115.83035,Bachelor's degree
31227,Austria,2054.4008999999996,Bachelor's degree
31532,Austria,9296.074125,Master's degree
31559,Austria,3816.1726,Secondary school
31614,Austria,8562.102524999998,Bachelor's degree
31728,Austria,5504.287291666666,Bachelor's degree
31766,Austria,7338.5167,Secondary school
31791,Austria,5284.1158,Master's degree
31990,Austria,5871.7728,Bachelor's degree
32017,Austria,5577.9443,Secondary school
32194,Austria,2871.1242,Secondary school
32357,Austria,3522.3441000000003,Master's degree
32410,Austria,3962.4872,Bachelor's degree
32533,Austria,1908.0863,Bachelor's degree
32681,Austria,3522.3441000000003,Master's degree
32803,Austria,4085.4154499999995,college/university without bachelor's degree
33034,Austria,6299.3232499999995,Master's degree
33214,Austria,3547.129633333333,Master's degree
34330,Austria,5430.430399999999,Master's degree
34593,Austria,7338.5167,Master's degree
34712,Austria,6752.058999999999,Master's degree
34801,Austria,4430.2142,Bachelor's degree
34903,Austria,5430.430399999999,Master's degree
35085,Austria,1394.7859,college/university without bachelor's degree
35120,Austria,2054.4008999999996,Master's degree
35264,Austria,2935.8864,Bachelor's degree
35315,Austria,8219.702375,Doctoral degree
35878,Austria,4469.7911,Master's degree
35885,Austria,7339.016408333333,college/university without bachelor's degree
36160,Austria,4476.787016666666,Bachelor's degree
36447,Austria,1467.9432,Bachelor's degree
36750,Austria,2935.8864,college/university without bachelor's degree
36838,Austria,5073.039,Bachelor's degree
37242,Austria,6115.83035,Master's degree
37834,Austria,4403.8296,Master's degree
37898,Austria,630.8317999999999,Secondary school
37908,Austria,8317.545266666666,Bachelor's degree
38102,Austria,7339.016408333333,Master's degree
38356,Austria,11130.803241666665,Master's degree
38829,Austria,4696.4588,Master's degree
38932,Austria,6018.0874,Master's degree
38954,Austria,5504.287291666666,Secondary school
39501,Austria,15100.686125,Master's degree
40072,Austria,2054.4008999999996,Secondary school
40469,Austria,7021.002025,Primary/elementary school
40667,Austria,9173.745524999998,Master's degree
40671,Austria,765.1533999999999,Secondary school
41085,Austria,6752.058999999999,Master's degree
41407,Austria,3229.7149,Secondary school
41488,Austria,2348.2294,Bachelor's degree
41826,Austria,2201.9148,college/university without bachelor's degree
42104,Austria,587.6569999999999,Bachelor's degree
42242,Austria,4158.772633333333,college/university without bachelor's degree
42287,Austria,6115.83035,Master's degree
42305,Austria,6115.83035,Bachelor's degree
42671,Austria,5137.8012,college/university without bachelor's degree
42781,Austria,5963.819075,Master's degree
42898,Austria,4770.315691666667,Secondary school
43126,Austria,7302.337816666667,Master's degree
43368,Austria,6115.83035,college/university without bachelor's degree
43579,Austria,9785.288583333333,Master's degree
43697,Austria,2201.9148,Bachelor's degree
44214,Austria,6849.702008333334,Associate degree
45266,Austria,12231.6607,Master's degree
45370,Austria,9173.745524999998,Master's degree
45935,Austria,6752.058999999999,Secondary school
46249,Austria,4843.9727,Bachelor's degree
46335,Austria,4110.0010999999995,Master's degree
46631,Austria,6115.83035,college/university without bachelor's degree
46649,Austria,5137.301491666667,Bachelor's degree
46842,Austria,6336.001841666666,Master's degree
46952,Austria,8562.102524999998,Doctoral degree
47754,Austria,4550.1442,Master's degree
47934,Austria,5724.258900000001,college/university without bachelor's degree
47980,Austria,5430.430399999999,Bachelor's degree
48562,Austria,1908.0863,college/university without bachelor's degree
48807,Austria,5137.301491666667,Master's degree
49140,Austria,5284.1158,Bachelor's degree
49712,Austria,4696.4588,Secondary school
49870,Austria,5993.50175,Bachelor's degree
50031,Austria,4647.987091666666,Bachelor's degree
50043,Austria,7338.5167,Doctoral degree
50208,Austria,5540.965883333332,Master's degree
50375,Austria,7339.016408333333,college/university without bachelor's degree
50495,Austria,4550.1442,Secondary school
50583,Austria,6164.402,Bachelor's degree
50610,Austria,3669.858,Secondary school
50624,Austria,4880.451408333333,Bachelor's degree
50763,Austria,6115.83035,Master's degree
50921,Austria,6115.83035,Bachelor's degree
50962,Austria,3938.6011416666665,college/university without bachelor's degree
51049,Austria,6972.030608333333,Bachelor's degree
51118,Austria,6482.81615,Master's degree
51557,Austria,5871.7728,Bachelor's degree
51564,Austria,7094.359208333333,Primary/elementary school
51680,Austria,6605.044808333333,Master's degree
52065,Austria,14677.932875,Doctoral degree
52090,Austria,8317.545266666666,Bachelor's degree
52396,Austria,5651.001658333333,Master's degree
52683,Austria,9173.745524999998,Doctoral degree
52765,Austria,3962.4872,college/university without bachelor's degree
52909,Austria,7632.3452,Master's degree
52940,Austria,6849.702008333334,Master's degree
52943,Austria,1761.7716999999998,college/university without bachelor's degree
53089,Austria,5137.8012,Master's degree
53140,Austria,5137.8012,college/university without bachelor's degree
53234,Austria,2935.8864,Bachelor's degree
53504,Austria,2201.9148,Bachelor's degree
53566,Austria,4452.3013083333335,Master's degree
53735,Austria,3601.4979000000003,Secondary school
53930,Austria,4403.8296,Professional degree
54023,Austria,623.636,Secondary school
54157,Austria,7926.1737,Master's degree
54688,Austria,3566.7182,college/university without bachelor's degree
54882,Austria,4403.8296,Bachelor's degree
55404,Austria,2348.2294,Bachelor's degree
55959,Austria,4452.3013083333335,college/university without bachelor's degree
56348,Austria,642.8248,Secondary school
56360,Austria,3669.858,Master's degree
56860,Austria,6311.9159,college/university without bachelor's degree
57174,Austria,6360.48755,Master's degree
57490,Austria,6482.81615,college/university without bachelor's degree
57641,Austria,4256.3157,Bachelor's degree
57979,Austria,4256.3157,Master's degree
58127,Austria,6115.83035,Associate degree
58589,Austria,5357.2731,Master's degree
58887,Austria,1908.0863,Secondary school
59075,Austria,3816.1726,Master's degree
59277,Austria,4892.6442916666665,Bachelor's degree
59317,Austria,4696.4588,college/university without bachelor's degree
59750,Austria,5137.8012,college/university without bachelor's degree
59780,Austria,2813.2579749999995,Master's degree
60224,Austria,14678.2327,Bachelor's degree
60230,Austria,3376.0294999999996,college/university without bachelor's degree
60305,Austria,7950.559466666667,Bachelor's degree
60347,Austria,1761.7716999999998,Bachelor's degree
60699,Austria,6360.48755,Associate degree
61079,Austria,1467.9432,Secondary school
61097,Austria,8390.90245,college/university without bachelor's degree
61270,Austria,7950.559466666667,Master's degree
61320,Austria,499.7083333333333,No formal education
61340,Austria,6115.83035,Master's degree
61417,Austria,1145.3315,Secondary school
61613,Austria,7045.887500000001,Bachelor's degree
61881,Austria,6115.83035,Master's degree
62024,Austria,3376.0294999999996,Secondary school
62045,Austria,5308.501566666667,college/university without bachelor's degree
62981,Austria,2642.0579,Primary/elementary school
63161,Austria,3962.4872,Master's degree
63805,Austria,6507.201916666666,Bachelor's degree
63822,Austria,8562.102524999998,Secondary school
63858,Austria,5137.8012,Doctoral degree
63929,Austria,3669.858,Bachelor's degree
64237,Austria,5577.9443,Bachelor's degree
64421,Austria,3522.3441000000003,Master's degree
64615,Austria,2935.8864,Master's degree
65216,Austria,8195.216666666667,Bachelor's degree
65961,Austria,5284.1158,college/university without bachelor's degree
66013,Austria,6972.030608333333,Master's degree
66492,Austria,4403.8296,Secondary school
66725,Austria,5504.287291666666,college/university without bachelor's degree
67059,Austria,8562.102524999998,Bachelor's degree
67259,Austria,5969.016041666667,Bachelor's degree
67520,Austria,6727.373408333333,Master's degree
67788,Austria,4990.2873,college/university without bachelor's degree
67911,Austria,5137.301491666667,Doctoral degree
68508,Austria,7950.559466666667,Master's degree
68819,Austria,5748.84455,Bachelor's degree
69209,Austria,5748.84455,Master's degree
69612,Austria,16438.805099999998,Secondary school
69724,Austria,4696.4588,Bachelor's degree
69731,Austria,4990.2873,college/university without bachelor's degree
70032,Austria,4110.0010999999995,Professional degree
70180,Austria,3376.0294999999996,Master's degree
70241,Austria,1100.9574,Bachelor's degree
