,Country,Monthly_Sal_EUR,EdLevel
5921,Azerbaijan,213.47539999999998,Bachelor's degree
10283,Azerbaijan,1467.9432,Bachelor's degree
11738,Azerbaijan,567.2689,Bachelor's degree
18909,Azerbaijan,1798.95,Bachelor's degree
24028,Azerbaijan,354.9928,Bachelor's degree
25047,Azerbaijan,567.2689,Bachelor's degree
31300,Azerbaijan,2483.7502999999997,Bachelor's degree
48020,Azerbaijan,106.73769999999999,college/university without bachelor's degree
48045,Azerbaijan,2638.46,college/university without bachelor's degree
48124,Azerbaijan,995.419,Bachelor's degree
49904,Azerbaijan,5996.5,Bachelor's degree
65614,Azerbaijan,1844.5234,Bachelor's degree
68977,Azerbaijan,4403.8296,Master's degree
71110,Azerbaijan,239.86,college/university without bachelor's degree
71541,Azerbaijan,14.3916,Bachelor's degree
75629,Azerbaijan,4797.2,Professional degree
78401,Azerbaijan,293.82849999999996,Bachelor's degree
83547,Azerbaijan,567.2689,Bachelor's degree
86701,Azerbaijan,719.58,Bachelor's degree
