,Country,Monthly_Sal_EUR,YearsCodePro
1951,Azerbaijan,499.7083333333333,13
9629,Azerbaijan,259.84833333333336,3
10961,Azerbaijan,69.95916666666666,2
15892,Azerbaijan,164.90375,4
19087,Azerbaijan,459.7316666666666,17
20599,Azerbaijan,99.94166666666666,50
24074,Azerbaijan,364.5872,13
26366,Azerbaijan,129.92416666666668,3
29207,Azerbaijan,249.85416666666666,5
30318,Azerbaijan,161.40579166666666,4
36806,Azerbaijan,84.95041666666665,3
48291,Azerbaijan,199.88333333333333,5
49662,Azerbaijan,79.95333333333333,2
58471,Azerbaijan,2198.7166666666667,7
62404,Azerbaijan,59.965,2
62968,Azerbaijan,249.85416666666666,9
63606,Azerbaijan,285.83316666666667,5
67195,Azerbaijan,2355.2253166666665,4
74738,Azerbaijan,139.91833333333332,7
75174,Azerbaijan,99.94166666666666,3
76960,Azerbaijan,132.42270833333333,1
79146,Azerbaijan,319.81333333333333,10
80274,Azerbaijan,251.25334999999998,5
86074,Azerbaijan,299.825,7
