,Country,Monthly_Sal_EUR,EdLevel
11598,Bahrain,249.85416666666666,Master's degree
15057,Bahrain,79.95333333333333,Bachelor's degree
17414,Bahrain,49.97083333333333,Master's degree
20818,Bahrain,74.95625,Bachelor's degree
39190,Bahrain,49.97083333333333,Bachelor's degree
40355,Bahrain,41.775616666666664,Bachelor's degree
43289,Bahrain,34.97958333333333,Bachelor's degree
61752,Bahrain,102.54015,Bachelor's degree
84168,Bahrain,27.483958333333334,Secondary school
87199,Bahrain,39.97666666666667,Bachelor's degree
