,Country,Monthly_Sal_EUR,EdLevel
912,Bangladesh,3997.6666666666665,Bachelor's degree
941,Bangladesh,6995.916666666666,Bachelor's degree
1406,Bangladesh,14991.25,Bachelor's degree
1536,Bangladesh,4997.083333333333,college/university without bachelor's degree
2114,Bangladesh,4497.375,Bachelor's degree
2123,Bangladesh,6995.916666666666,Bachelor's degree
2273,Bangladesh,11993.0,Bachelor's degree
5330,Bangladesh,3997.6666666666665,Bachelor's degree
5686,Bangladesh,4497.375,Master's degree
5698,Bangladesh,2498.5416666666665,Bachelor's degree
6118,Bangladesh,5097.025,Bachelor's degree
6181,Bangladesh,3717.83,Bachelor's degree
6220,Bangladesh,49.97083333333333,Master's degree
6337,Bangladesh,11593.233333333334,college/university without bachelor's degree
6380,Bangladesh,14491.541666666666,Bachelor's degree
6428,Bangladesh,9494.458333333332,Bachelor's degree
6484,Bangladesh,14991.25,Bachelor's degree
6603,Bangladesh,11993.0,Bachelor's degree
6664,Bangladesh,6096.441666666667,Bachelor's degree
6795,Bangladesh,14991.25,Master's degree
7123,Bangladesh,3997.6666666666665,Master's degree
7153,Bangladesh,1499.125,Bachelor's degree
7646,Bangladesh,4997.083333333333,Bachelor's degree
7649,Bangladesh,11993.0,Bachelor's degree
7979,Bangladesh,3797.7833333333333,Bachelor's degree
8352,Bangladesh,4997.083333333333,Bachelor's degree
8380,Bangladesh,2598.483333333333,Bachelor's degree
8438,Bangladesh,2.9982499999999996,Bachelor's degree
8496,Bangladesh,6995.916666666666,Bachelor's degree
8610,Bangladesh,14991.25,Master's degree
8648,Bangladesh,7495.625,Bachelor's degree
8877,Bangladesh,1798.95,Bachelor's degree
8970,Bangladesh,2798.366666666667,Bachelor's degree
8988,Bangladesh,3497.958333333333,Bachelor's degree
8995,Bangladesh,3997.6666666666665,Bachelor's degree
9016,Bangladesh,2998.25,Master's degree
9083,Bangladesh,9894.224999999999,Master's degree
9259,Bangladesh,179.895,Bachelor's degree
9303,Bangladesh,5996.5,Bachelor's degree
9332,Bangladesh,749.5625,Bachelor's degree
9482,Bangladesh,6296.325000000001,Bachelor's degree
9660,Bangladesh,1998.8333333333333,Master's degree
9705,Bangladesh,10793.7,Bachelor's degree
10005,Bangladesh,4997.083333333333,Bachelor's degree
10173,Bangladesh,12492.708333333332,Bachelor's degree
10215,Bangladesh,4497.375,Bachelor's degree
10239,Bangladesh,15990.666666666666,Master's degree
10629,Bangladesh,3497.958333333333,Master's degree
10863,Bangladesh,2498.5416666666665,Bachelor's degree
11489,Bangladesh,1499.125,Bachelor's degree
11527,Bangladesh,12992.416666666666,Bachelor's degree
12386,Bangladesh,2998.25,Master's degree
12412,Bangladesh,2998.25,Bachelor's degree
12539,Bangladesh,499.7083333333333,Bachelor's degree
