,Country,Monthly_Sal_EUR,YearsCodePro
912,Bangladesh,3997.6666666666665,3
941,Bangladesh,6995.916666666666,4
1406,Bangladesh,14991.25,6
1536,Bangladesh,4997.083333333333,8
2114,Bangladesh,4497.375,6
2123,Bangladesh,6995.916666666666,1
2273,Bangladesh,11993.0,5
2331,Bangladesh,294.8279166666666,13
5330,Bangladesh,3997.6666666666665,1
5686,Bangladesh,4497.375,4
5698,Bangladesh,2498.5416666666665,2
6118,Bangladesh,5097.025,4
6181,Bangladesh,3717.83,2
6220,Bangladesh,49.97083333333333,4
6337,Bangladesh,11593.233333333334,3
6380,Bangladesh,14491.541666666666,6
6428,Bangladesh,9494.458333333332,3
6484,Bangladesh,14991.25,6
6603,Bangladesh,11993.0,5
6664,Bangladesh,6096.441666666667,3
6795,Bangladesh,14991.25,8
7123,Bangladesh,3997.6666666666665,5
7153,Bangladesh,1499.125,1
7646,Bangladesh,4997.083333333333,2
7649,Bangladesh,11993.0,4
7979,Bangladesh,3797.7833333333333,3
8352,Bangladesh,4997.083333333333,7
8380,Bangladesh,2598.483333333333,2
8438,Bangladesh,2.9982499999999996,2
8496,Bangladesh,6995.916666666666,13
8610,Bangladesh,14991.25,14
8648,Bangladesh,7495.625,2
8877,Bangladesh,1798.95,2
8970,Bangladesh,2798.366666666667,3
8988,Bangladesh,3497.958333333333,1
8995,Bangladesh,3997.6666666666665,4
9016,Bangladesh,2998.25,1
9083,Bangladesh,9894.224999999999,12
9259,Bangladesh,179.895,10
9303,Bangladesh,5996.5,8
9332,Bangladesh,749.5625,1
9482,Bangladesh,6296.325000000001,4
9660,Bangladesh,1998.8333333333333,3
9705,Bangladesh,10793.7,8
10005,Bangladesh,4997.083333333333,3
10173,Bangladesh,12492.708333333332,6
10215,Bangladesh,4497.375,4
10239,Bangladesh,15990.666666666666,13
10629,Bangladesh,3497.958333333333,5
10863,Bangladesh,2498.5416666666665,1
11489,Bangladesh,1499.125,1
11527,Bangladesh,12992.416666666666,11
12386,Bangladesh,2998.25,2
12412,Bangladesh,2998.25,1
12539,Bangladesh,499.7083333333333,2
12626,Bangladesh,699.5916666666667,1
13122,Bangladesh,3098.1916666666666,4
14163,Bangladesh,89.9475,6
14330,Bangladesh,3897.7250000000004,2
15315,Bangladesh,12992.416666666666,7
15395,Bangladesh,15490.958333333332,8
15490,Bangladesh,64.96208333333334,2
16682,Bangladesh,10194.05,7
16902,Bangladesh,2498.5416666666665,1
16968,Bangladesh,6995.916666666666,1
17956,Bangladesh,2998.25,3
20459,Bangladesh,1499.125,5
20522,Bangladesh,3497.958333333333,1
20698,Bangladesh,17989.5,5
20841,Bangladesh,7495.625,3
20878,Bangladesh,5296.908333333333,4
21002,Bangladesh,12992.416666666666,5
21067,Bangladesh,5996.5,1
21520,Bangladesh,6995.916666666666,2
21851,Bangladesh,5996.5,5
22154,Bangladesh,3997.6666666666665,2
22738,Bangladesh,1998.8333333333333,2
23142,Bangladesh,1798.95,5
23188,Bangladesh,3997.6666666666665,1
23770,Bangladesh,6995.916666666666,10
26353,Bangladesh,47.47229166666666,3
26357,Bangladesh,3997.6666666666665,6
26808,Bangladesh,8994.75,1
27037,Bangladesh,14702.518525,1
27544,Bangladesh,8994.75,7
27956,Bangladesh,2498.5416666666665,1
28386,Bangladesh,3497.958333333333,2
28500,Bangladesh,4497.375,1
28666,Bangladesh,2348.6291666666666,2
28749,Bangladesh,1499.125,1
28890,Bangladesh,3497.958333333333,3
29042,Bangladesh,1199.3,2
29506,Bangladesh,3497.958333333333,2
29508,Bangladesh,1998.8333333333333,1
29552,Bangladesh,1998.8333333333333,1
30231,Bangladesh,5996.5,5
30241,Bangladesh,8495.041666666666,4
30317,Bangladesh,2323.2439833333333,2
30349,Bangladesh,5996.5,1
30665,Bangladesh,3497.958333333333,1
30836,Bangladesh,4997.083333333333,4
30890,Bangladesh,4497.375,1
30984,Bangladesh,3497.958333333333,3
31081,Bangladesh,2998.25,1
31259,Bangladesh,639.6266666666667,5
32854,Bangladesh,4997.083333333333,7
33345,Bangladesh,4997.083333333333,4
34786,Bangladesh,2998.25,2
35194,Bangladesh,6995.916666666666,5
35689,Bangladesh,999.4166666666666,1
36758,Bangladesh,4.997083333333333,4
37004,Bangladesh,2998.25,2
37046,Bangladesh,1499.125,1
37063,Bangladesh,4997.083333333333,2
37307,Bangladesh,7245.770833333333,2
38007,Bangladesh,4497.375,1
38613,Bangladesh,17989.5,11
40645,Bangladesh,4797.2,2
41943,Bangladesh,2998.25,2
42577,Bangladesh,11268.422916666666,4
43051,Bangladesh,5996.5,4
43167,Bangladesh,1998.8333333333333,2
43597,Bangladesh,1998.8333333333333,2
43925,Bangladesh,12992.416666666666,6
45024,Bangladesh,11993.0,14
45969,Bangladesh,2998.25,1
47009,Bangladesh,7995.333333333333,6
47183,Bangladesh,18489.208333333332,8
47482,Bangladesh,7995.333333333333,6
47768,Bangladesh,1998.8333333333333,4
48681,Bangladesh,5996.5,2
48931,Bangladesh,34.97958333333333,1
50230,Bangladesh,2998.25,5
51369,Bangladesh,2998.25,2
51959,Bangladesh,4497.375,1
53513,Bangladesh,4997.083333333333,4
53548,Bangladesh,4997.083333333333,2
53591,Bangladesh,3997.6666666666665,7
53725,Bangladesh,7995.333333333333,9
53768,Bangladesh,2498.5416666666665,1
53783,Bangladesh,2498.5416666666665,1
53803,Bangladesh,2548.5125,4
53907,Bangladesh,10993.583333333332,5
53964,Bangladesh,1199.3,4
54003,Bangladesh,5996.5,7
54169,Bangladesh,2998.25,5
54230,Bangladesh,5516.78,4
54266,Bangladesh,2998.25,1
54528,Bangladesh,15990.666666666666,2
54637,Bangladesh,2998.25,2
54656,Bangladesh,14991.25,8
54738,Bangladesh,9994.166666666666,5
55088,Bangladesh,3997.6666666666665,5
55751,Bangladesh,2998.25,3
55981,Bangladesh,1998.8333333333333,3
56761,Bangladesh,4997.083333333333,4
57995,Bangladesh,499.7083333333333,1
58179,Bangladesh,3298.075,2
58426,Bangladesh,3497.958333333333,1
58908,Bangladesh,999.4166666666666,5
59154,Bangladesh,2498.5416666666665,5
59908,Bangladesh,4997.083333333333,2
59963,Bangladesh,8994.75,10
60742,Bangladesh,2998.25,4
61144,Bangladesh,12492.708333333332,4
62434,Bangladesh,7995.333333333333,12
63019,Bangladesh,1699.0083333333334,2
63575,Bangladesh,54.56815,10
