,Country,Monthly_Sal_EUR,YearsCodePro
586,Belarus,2098.7749999999996,3
950,Belarus,1208.8944,0
1923,Belarus,2417.7888,3
2799,Belarus,4653.284,3
3262,Belarus,5.996499999999999,0
3609,Belarus,1061.3805,0
4987,Belarus,4317.48,9
5853,Belarus,1798.95,3
6842,Belarus,4797.2,9
8922,Belarus,4797.2,6
8996,Belarus,2038.81,6
9050,Belarus,4927.923699999999,6
9228,Belarus,5996.5,6
10138,Belarus,665.6115,0
13584,Belarus,5996.5,9
13610,Belarus,4077.62,12
13683,Belarus,1199.3,3
13858,Belarus,2038.81,9
14482,Belarus,2398.6,6
14681,Belarus,1389.9887,0
15063,Belarus,3627.8825,3
15408,Belarus,725.5764999999999,0
17029,Belarus,1363.6041,0
17343,Belarus,719.58,0
19043,Belarus,1798.95,3
19119,Belarus,2038.81,3
19644,Belarus,785.5414999999999,0
20424,Belarus,151.1118,0
20427,Belarus,4243.1234,3
21003,Belarus,599.65,0
21133,Belarus,1439.16,0
21919,Belarus,2298.6583333333333,3
22116,Belarus,3597.9,12
22297,Belarus,1679.02,3
22463,Belarus,3238.1099999999997,3
23824,Belarus,3868.9417999999996,12
25808,Belarus,2115.5652,0
26692,Belarus,599.65,9
26770,Belarus,967.8351,3
28380,Belarus,839.51,0
29536,Belarus,3264.4946,3
29741,Belarus,1199.3,3
32552,Belarus,527.692,0
32950,Belarus,5037.0599999999995,12
34142,Belarus,1319.23,3
34744,Belarus,2038.81,6
34864,Belarus,846.7058,9
35697,Belarus,2751.1942,6
35753,Belarus,622.4367,0
36876,Belarus,846.7058,0
38479,Belarus,1813.3416,0
39296,Belarus,1559.0900000000001,0
40039,Belarus,604.4472,3
40076,Belarus,2278.67,3
40159,Belarus,3852.1515999999997,6
40487,Belarus,3597.9,3
41200,Belarus,1559.0900000000001,6
41775,Belarus,4948.3117999999995,6
41845,Belarus,3264.4946,3
41955,Belarus,1679.02,3
43253,Belarus,1208.8944,9
43551,Belarus,1798.95,0
45111,Belarus,4097.608333333334,12
45345,Belarus,634.4296999999999,0
45416,Belarus,959.44,0
45968,Belarus,1174.1147,9
46541,Belarus,665.6115,0
47110,Belarus,1079.37,0
47780,Belarus,4797.2,15
48033,Belarus,2398.6,0
48038,Belarus,4997.083333333333,12
48296,Belarus,423.3529,0
48396,Belarus,1978.8449999999998,3
49547,Belarus,1439.16,0
50330,Belarus,2660.0474,6
51139,Belarus,3627.8825,9
52075,Belarus,1439.16,3
53062,Belarus,1319.23,3
53271,Belarus,7675.52,12
53640,Belarus,599.65,0
54063,Belarus,2878.32,15
54714,Belarus,1998.8333333333333,6
55575,Belarus,3477.97,9
56068,Belarus,3597.9,3
56238,Belarus,4077.62,6
57546,Belarus,1439.16,0
58883,Belarus,4797.2,6
59017,Belarus,5636.71,6
59682,Belarus,1559.0900000000001,6
59753,Belarus,604.4472,0
60536,Belarus,1451.1529999999998,15
60598,Belarus,3597.9,6
61057,Belarus,4317.48,6
62478,Belarus,665.6115,0
62823,Belarus,1813.3416,3
63753,Belarus,3675.8545,3
64322,Belarus,2998.25,6
65175,Belarus,2398.6,9
65567,Belarus,1259.2649999999999,3
65777,Belarus,3597.9,12
65944,Belarus,4197.549999999999,6
66512,Belarus,2638.46,3
66618,Belarus,1798.95,3
66874,Belarus,2863.9284,3
67632,Belarus,5276.92,6
68625,Belarus,2998.25,3
69605,Belarus,1079.37,3
70148,Belarus,2417.7888,6
72504,Belarus,3597.9,3
72629,Belarus,2498.5416666666665,3
72689,Belarus,3837.76,9
75371,Belarus,16190.55,6
75508,Belarus,1208.8944,9
76384,Belarus,1439.16,3
77319,Belarus,6995.916666666666,9
78160,Belarus,7495.625,12
78626,Belarus,4497.375,6
79707,Belarus,3597.9,6
80439,Belarus,299.825,0
83583,Belarus,479.72,0
