,Country,Monthly_Sal_EUR,EdLevel
438,Belgium,3082.201,college/university without bachelor's degree
620,Belgium,3082.201,Bachelor's degree
1341,Belgium,2613.2747,Bachelor's degree
1814,Belgium,7950.559466666667,Master's degree
1851,Belgium,5871.7728,Bachelor's degree
2026,Belgium,7045.887500000001,Master's degree
2307,Belgium,5993.50175,Master's degree
2358,Belgium,4183.1584,college/university without bachelor's degree
2507,Belgium,4892.6442916666665,Bachelor's degree
2633,Belgium,3522.3441000000003,Bachelor's degree
3089,Belgium,3229.7149,Bachelor's degree
3192,Belgium,2275.0721,college/university without bachelor's degree
3233,Belgium,4109.801216666667,Bachelor's degree
3400,Belgium,3889.3298999999997,Bachelor's degree
3858,Belgium,4110.0010999999995,Doctoral degree
4097,Belgium,14677.932875,Master's degree
4695,Belgium,3082.201,Associate degree
4803,Belgium,3816.1726,Bachelor's degree
5373,Belgium,6164.402,Master's degree
5401,Belgium,3522.3441000000003,Bachelor's degree
5644,Belgium,9173.745524999998,Doctoral degree
6092,Belgium,3449.1868,Bachelor's degree
6118,Belgium,4281.101233333333,Master's degree
6240,Belgium,4696.4588,Master's degree
6487,Belgium,9173.745524999998,Master's degree
6563,Belgium,6311.9159,Primary/elementary school
6693,Belgium,4036.8437999999996,Bachelor's degree
6942,Belgium,3962.4872,Bachelor's degree
7456,Belgium,4036.444033333333,Bachelor's degree
8655,Belgium,2935.8864,Master's degree
9373,Belgium,4476.9869,Bachelor's degree
9689,Belgium,6604.5451,Master's degree
9878,Belgium,3816.1726,Bachelor's degree
10038,Belgium,6604.5451,Master's degree
10099,Belgium,6727.373408333333,Master's degree
10308,Belgium,2715.2151999999996,Secondary school
10378,Belgium,7009.708616666667,Master's degree
10773,Belgium,3302.8722,Secondary school
10932,Belgium,7828.230866666667,Bachelor's degree
11217,Belgium,2495.7433,Bachelor's degree
11592,Belgium,5161.7872,Master's degree
11648,Belgium,6115.83035,Master's degree
12151,Belgium,7339.016408333333,Secondary school
12555,Belgium,3816.1726,Bachelor's degree
12648,Belgium,5871.7728,Master's degree
12768,Belgium,3816.1726,Bachelor's degree
13335,Belgium,2935.8864,college/university without bachelor's degree
13456,Belgium,3192.5366,Secondary school
13501,Belgium,5871.7728,Master's degree
13671,Belgium,3082.201,Bachelor's degree
13746,Belgium,6164.402,Bachelor's degree
13818,Belgium,3229.7149,Bachelor's degree
13830,Belgium,2935.8864,Bachelor's degree
14202,Belgium,3669.858,Bachelor's degree
14440,Belgium,3816.1726,Master's degree
14877,Belgium,5504.287291666666,Master's degree
14968,Belgium,5871.7728,Master's degree
15188,Belgium,3516.3476,Bachelor's degree
15289,Belgium,5284.1158,college/university without bachelor's degree
15342,Belgium,3009.0437,Bachelor's degree
15674,Belgium,3669.858,Bachelor's degree
16211,Belgium,3155.7580666666663,college/university without bachelor's degree
16259,Belgium,4036.8437999999996,Bachelor's degree
16509,Belgium,9785.288583333333,Master's degree
16587,Belgium,3449.1868,Bachelor's degree
16766,Belgium,4696.4588,Bachelor's degree
16788,Belgium,6115.83035,Master's degree
16810,Belgium,4403.8296,Bachelor's degree
17075,Belgium,6910.866308333334,Bachelor's degree
17375,Belgium,4403.8296,Master's degree
17760,Belgium,4608.9099,Master's degree
17905,Belgium,3816.1726,Bachelor's degree
18011,Belgium,5137.8012,Master's degree
18023,Belgium,4060.8298,Bachelor's degree
19022,Belgium,7339.016408333333,Bachelor's degree
19235,Belgium,3669.858,college/university without bachelor's degree
19861,Belgium,3229.7149,Secondary school
19938,Belgium,6115.83035,Secondary school
20097,Belgium,5430.430399999999,Master's degree
20322,Belgium,6898.3736,Master's degree
20409,Belgium,3041.4248,Bachelor's degree
20516,Belgium,5137.8012,Master's degree
20560,Belgium,2788.3725,college/university without bachelor's degree
20594,Belgium,7338.5167,Master's degree
20672,Belgium,4892.6442916666665,Bachelor's degree
20835,Belgium,7339.016408333333,Master's degree
21027,Belgium,5565.3516500000005,Master's degree
21089,Belgium,3889.3298999999997,Bachelor's degree
21220,Belgium,6604.5451,Master's degree
21233,Belgium,3229.7149,Bachelor's degree
21492,Belgium,3816.1726,Master's degree
21558,Belgium,2348.2294,Bachelor's degree
21676,Belgium,4403.8296,Bachelor's degree
21806,Belgium,3155.3583,Bachelor's degree
21808,Belgium,4550.1442,Master's degree
21975,Belgium,3816.1726,Master's degree
22090,Belgium,6458.2305,Bachelor's degree
22229,Belgium,4990.2873,Master's degree
22234,Belgium,4696.4588,Bachelor's degree
22299,Belgium,3669.858,Bachelor's degree
22731,Belgium,4696.4588,Master's degree
22843,Belgium,4256.3157,Bachelor's degree
23121,Belgium,3581.1098,Bachelor's degree
23470,Belgium,3192.5366,college/university without bachelor's degree
23666,Belgium,4550.1442,Bachelor's degree
23934,Belgium,3522.3441000000003,Bachelor's degree
24328,Belgium,3376.0294999999996,Bachelor's degree
24522,Belgium,6399.4648,Bachelor's degree
24664,Belgium,5063.4446,Bachelor's degree
24761,Belgium,5137.8012,Bachelor's degree
25137,Belgium,2348.2294,Bachelor's degree
25228,Belgium,5577.9443,Master's degree
25242,Belgium,3009.0437,Bachelor's degree
25494,Belgium,4036.8437999999996,Bachelor's degree
25830,Belgium,2935.8864,Master's degree
26153,Belgium,4403.8296,Master's degree
26229,Belgium,5137.8012,Bachelor's degree
26369,Belgium,1174.1147,college/university without bachelor's degree
26604,Belgium,5871.7728,Master's degree
26855,Belgium,3816.1726,Bachelor's degree
27055,Belgium,2862.7290999999996,Bachelor's degree
27361,Belgium,611.5430583333333,Bachelor's degree
27417,Belgium,5137.8012,Bachelor's degree
27905,Belgium,5871.7728,Bachelor's degree
27997,Belgium,4843.9727,Bachelor's degree
28056,Belgium,3229.7149,Bachelor's degree
28062,Belgium,3229.7149,Bachelor's degree
28104,Belgium,5871.7728,Master's degree
28148,Belgium,4110.0010999999995,Bachelor's degree
28511,Belgium,3229.7149,college/university without bachelor's degree
28586,Belgium,4403.8296,Bachelor's degree
28764,Belgium,3587.1063,Bachelor's degree
29330,Belgium,2813.2579749999995,Bachelor's degree
29350,Belgium,3962.4872,Bachelor's degree
29678,Belgium,4892.6442916666665,Bachelor's degree
29884,Belgium,3302.8722,Bachelor's degree
29905,Belgium,4403.8296,Bachelor's degree
30274,Belgium,3816.1726,Master's degree
30291,Belgium,4110.0010999999995,Bachelor's degree
30365,Belgium,4403.8296,Bachelor's degree
30708,Belgium,2642.0579,Master's degree
