,Country,Monthly_Sal_EUR,YearsCodePro
438,Belgium,3082.201,0
620,Belgium,3082.201,3
1341,Belgium,2613.2747,0
1814,Belgium,7950.559466666667,6
1851,Belgium,5871.7728,12
2026,Belgium,7045.887500000001,9
2307,Belgium,5993.50175,0
2358,Belgium,4183.1584,9
2507,Belgium,4892.6442916666665,6
2633,Belgium,3522.3441000000003,3
3089,Belgium,3229.7149,0
3192,Belgium,2275.0721,0
3233,Belgium,4109.801216666667,3
3400,Belgium,3889.3298999999997,3
3858,Belgium,4110.0010999999995,6
4097,Belgium,14677.932875,18
4695,Belgium,3082.201,3
4803,Belgium,3816.1726,0
5373,Belgium,6164.402,15
5401,Belgium,3522.3441000000003,3
5644,Belgium,9173.745524999998,6
6092,Belgium,3449.1868,0
6118,Belgium,4281.101233333333,6
6240,Belgium,4696.4588,3
6487,Belgium,9173.745524999998,3
6563,Belgium,6311.9159,15
6693,Belgium,4036.8437999999996,0
6942,Belgium,3962.4872,0
7456,Belgium,4036.444033333333,6
8655,Belgium,2935.8864,3
9373,Belgium,4476.9869,6
9689,Belgium,6604.5451,12
9878,Belgium,3816.1726,3
10038,Belgium,6604.5451,6
10099,Belgium,6727.373408333333,18
10308,Belgium,2715.2151999999996,3
10378,Belgium,7009.708616666667,3
10773,Belgium,3302.8722,3
10932,Belgium,7828.230866666667,21
11217,Belgium,2495.7433,0
11592,Belgium,5161.7872,3
11648,Belgium,6115.83035,9
12151,Belgium,7339.016408333333,9
12555,Belgium,3816.1726,0
12648,Belgium,5871.7728,6
12768,Belgium,3816.1726,0
13335,Belgium,2935.8864,3
13456,Belgium,3192.5366,0
13501,Belgium,5871.7728,12
13671,Belgium,3082.201,0
13746,Belgium,6164.402,12
13818,Belgium,3229.7149,3
13830,Belgium,2935.8864,3
14202,Belgium,3669.858,0
14440,Belgium,3816.1726,0
14877,Belgium,5504.287291666666,6
14968,Belgium,5871.7728,9
15188,Belgium,3516.3476,0
15289,Belgium,5284.1158,3
15342,Belgium,3009.0437,0
15674,Belgium,3669.858,3
16211,Belgium,3155.7580666666663,3
16259,Belgium,4036.8437999999996,0
16509,Belgium,9785.288583333333,0
16587,Belgium,3449.1868,3
16766,Belgium,4696.4588,21
16788,Belgium,6115.83035,3
16810,Belgium,4403.8296,6
17075,Belgium,6910.866308333334,9
17375,Belgium,4403.8296,6
17760,Belgium,4608.9099,3
17905,Belgium,3816.1726,3
18011,Belgium,5137.8012,3
18023,Belgium,4060.8298,0
19022,Belgium,7339.016408333333,18
19235,Belgium,3669.858,0
19861,Belgium,3229.7149,0
19938,Belgium,6115.83035,12
20097,Belgium,5430.430399999999,9
20322,Belgium,6898.3736,9
20409,Belgium,3041.4248,0
20516,Belgium,5137.8012,3
20560,Belgium,2788.3725,0
20594,Belgium,7338.5167,30
20672,Belgium,4892.6442916666665,3
20835,Belgium,7339.016408333333,27
21027,Belgium,5565.3516500000005,9
21089,Belgium,3889.3298999999997,0
