,Country,Monthly_Sal_EUR,EdLevel
436,Bolivia,999.4166666666666,Professional degree
631,Bolivia,299.825,Bachelor's degree
8754,Bolivia,1049.3874999999998,college/university without bachelor's degree
9495,Bolivia,699.5916666666667,Secondary school
10660,Bolivia,149.9125,Bachelor's degree
18547,Bolivia,479.72,Bachelor's degree
25469,Bolivia,349.79583333333335,Bachelor's degree
26495,Bolivia,379.7783333333333,Professional degree
26889,Bolivia,49.97083333333333,Something else
27619,Bolivia,89.9475,Master's degree
29553,Bolivia,299.825,Professional degree
29709,Bolivia,1599.0666666666666,Bachelor's degree
30320,Bolivia,1229.2825,Bachelor's degree
36128,Bolivia,349.79583333333335,Bachelor's degree
39240,Bolivia,209.8775,Bachelor's degree
39776,Bolivia,1399.1833333333334,Bachelor's degree
43058,Bolivia,459.7316666666666,Bachelor's degree
43528,Bolivia,1399.1833333333334,Associate degree
44239,Bolivia,949.4458333333333,Bachelor's degree
45817,Bolivia,2398.6,Master's degree
46866,Bolivia,399.76666666666665,Bachelor's degree
51103,Bolivia,599.65,Bachelor's degree
52036,Bolivia,399.76666666666665,college/university without bachelor's degree
60260,Bolivia,9994.166666666666,college/university without bachelor's degree
62859,Bolivia,769.5508333333333,Professional degree
66454,Bolivia,699.5916666666667,Bachelor's degree
66646,Bolivia,865.4948333333333,Professional degree
66917,Bolivia,249.85416666666666,Bachelor's degree
67025,Bolivia,699.5916666666667,Master's degree
74147,Bolivia,309.81916666666666,Master's degree
77282,Bolivia,229.8658333333333,Bachelor's degree
78825,Bolivia,249.85416666666666,college/university without bachelor's degree
