,Country,Monthly_Sal_EUR,EdLevel
3007,Bosnia and Herzegovina,299.825,Secondary school
3829,Bosnia and Herzegovina,229.8658333333333,Bachelor's degree
3998,Bosnia and Herzegovina,229.8658333333333,Bachelor's degree
4223,Bosnia and Herzegovina,259.84833333333336,Bachelor's degree
6950,Bosnia and Herzegovina,199.88333333333333,college/university without bachelor's degree
7461,Bosnia and Herzegovina,7995.333333333333,Bachelor's degree
7511,Bosnia and Herzegovina,154.90958333333333,college/university without bachelor's degree
8893,Bosnia and Herzegovina,299.825,Bachelor's degree
9710,Bosnia and Herzegovina,149.9125,Secondary school
10850,Bosnia and Herzegovina,349.79583333333335,Bachelor's degree
11078,Bosnia and Herzegovina,679.6033333333332,Associate degree
11690,Bosnia and Herzegovina,299.825,Bachelor's degree
12048,Bosnia and Herzegovina,579.6616666666666,Bachelor's degree
12660,Bosnia and Herzegovina,299.825,Master's degree
13930,Bosnia and Herzegovina,349.79583333333335,college/university without bachelor's degree
14082,Bosnia and Herzegovina,1798.95,college/university without bachelor's degree
14090,Bosnia and Herzegovina,419.755,Bachelor's degree
14462,Bosnia and Herzegovina,4997.083333333333,Master's degree
14531,Bosnia and Herzegovina,4797.2,Bachelor's degree
15205,Bosnia and Herzegovina,699.5916666666667,Master's degree
19484,Bosnia and Herzegovina,599.65,Bachelor's degree
20610,Bosnia and Herzegovina,999.4166666666666,Master's degree
22799,Bosnia and Herzegovina,159.90666666666667,Bachelor's degree
23275,Bosnia and Herzegovina,499.7083333333333,Bachelor's degree
24560,Bosnia and Herzegovina,259.84833333333336,Master's degree
25456,Bosnia and Herzegovina,445.4400083333333,Secondary school
26866,Bosnia and Herzegovina,1399.1833333333334,Bachelor's degree
27153,Bosnia and Herzegovina,399.76666666666665,Master's degree
30740,Bosnia and Herzegovina,99.94166666666666,Bachelor's degree
33874,Bosnia and Herzegovina,199.88333333333333,Bachelor's degree
33984,Bosnia and Herzegovina,149.9125,Bachelor's degree
35068,Bosnia and Herzegovina,214.8745833333333,Bachelor's degree
37479,Bosnia and Herzegovina,541.9836583333333,Bachelor's degree
39905,Bosnia and Herzegovina,159.90666666666667,Bachelor's degree
44335,Bosnia and Herzegovina,349.79583333333335,college/university without bachelor's degree
49113,Bosnia and Herzegovina,74.95625,Secondary school
50997,Bosnia and Herzegovina,349.79583333333335,Master's degree
51683,Bosnia and Herzegovina,449.7375,Master's degree
54609,Bosnia and Herzegovina,259.84833333333336,Master's degree
56942,Bosnia and Herzegovina,194.88625000000002,college/university without bachelor's degree
57382,Bosnia and Herzegovina,199.88333333333333,Bachelor's degree
58713,Bosnia and Herzegovina,149.9125,Secondary school
59812,Bosnia and Herzegovina,99.94166666666666,Secondary school
