,Country,Monthly_Sal_EUR,YearsCodePro
3007,Bosnia and Herzegovina,299.825,12
3829,Bosnia and Herzegovina,229.8658333333333,3
3998,Bosnia and Herzegovina,229.8658333333333,1
4223,Bosnia and Herzegovina,259.84833333333336,6
6950,Bosnia and Herzegovina,199.88333333333333,7
7461,Bosnia and Herzegovina,7995.333333333333,5
7511,Bosnia and Herzegovina,154.90958333333333,8
8893,Bosnia and Herzegovina,299.825,3
9710,Bosnia and Herzegovina,149.9125,1
10850,Bosnia and Herzegovina,349.79583333333335,10
11078,Bosnia and Herzegovina,679.6033333333332,18
11690,Bosnia and Herzegovina,299.825,7
12048,Bosnia and Herzegovina,579.6616666666666,7
12660,Bosnia and Herzegovina,299.825,11
13930,Bosnia and Herzegovina,349.79583333333335,4
14082,Bosnia and Herzegovina,1798.95,4
14090,Bosnia and Herzegovina,419.755,7
14280,Bosnia and Herzegovina,2998.25,2
14462,Bosnia and Herzegovina,4997.083333333333,7
14531,Bosnia and Herzegovina,4797.2,6
15205,Bosnia and Herzegovina,699.5916666666667,7
19484,Bosnia and Herzegovina,599.65,6
20610,Bosnia and Herzegovina,999.4166666666666,14
22799,Bosnia and Herzegovina,159.90666666666667,3
23275,Bosnia and Herzegovina,499.7083333333333,5
24560,Bosnia and Herzegovina,259.84833333333336,4
25456,Bosnia and Herzegovina,445.4400083333333,16
26866,Bosnia and Herzegovina,1399.1833333333334,1
27153,Bosnia and Herzegovina,399.76666666666665,5
30740,Bosnia and Herzegovina,99.94166666666666,1
33874,Bosnia and Herzegovina,199.88333333333333,1
33984,Bosnia and Herzegovina,149.9125,1
35068,Bosnia and Herzegovina,214.8745833333333,5
37479,Bosnia and Herzegovina,541.9836583333333,5
39905,Bosnia and Herzegovina,159.90666666666667,3
44335,Bosnia and Herzegovina,349.79583333333335,8
49113,Bosnia and Herzegovina,74.95625,1
50997,Bosnia and Herzegovina,349.79583333333335,10
51683,Bosnia and Herzegovina,449.7375,5
54609,Bosnia and Herzegovina,259.84833333333336,4
56942,Bosnia and Herzegovina,194.88625000000002,2
57382,Bosnia and Herzegovina,199.88333333333333,15
58713,Bosnia and Herzegovina,149.9125,1
59812,Bosnia and Herzegovina,99.94166666666666,1
