,Country,Monthly_Sal_EUR,EdLevel
52,Brazil,5189.337030254793,Bachelor's degree
104,Brazil,5799.084394904465,Bachelor's degree
399,Brazil,10754.665605095535,Master's degree
412,Brazil,5061.019108280269,college/university without bachelor's degree
437,Brazil,12441.67197452229,Bachelor's degree
459,Brazil,8435.031847133749,Bachelor's degree
536,Brazil,4428.3917197452065,college/university without bachelor's degree
692,Brazil,2940.4521019108274,Bachelor's degree
704,Brazil,347.9450636942679,Bachelor's degree
715,Brazil,13706.926751592351,Master's degree
742,Brazil,12652.547770700625,Bachelor's degree
1011,Brazil,453.3829617834406,Bachelor's degree
1090,Brazil,3074.569108280256,Bachelor's degree
1091,Brazil,6326.273885350327,Master's degree
1255,Brazil,11387.292993630563,Master's degree
1370,Brazil,12652.547770700625,Bachelor's degree
1375,Brazil,9489.410828025477,Bachelor's degree
1377,Brazil,4006.6401273885426,college/university without bachelor's degree
1497,Brazil,3690.326433121011,Bachelor's degree
1950,Brazil,5820.171974522292,Bachelor's degree
2163,Brazil,12652.547770700625,college/university without bachelor's degree
2551,Brazil,13917.802547770716,Bachelor's degree
2741,Brazil,632.6273885350329,Bachelor's degree
2798,Brazil,316.31369426751576,Bachelor's degree
3258,Brazil,369.03264331210113,college/university without bachelor's degree
4368,Brazil,2150.9331210191067,college/university without bachelor's degree
4465,Brazil,2530.509554140128,Secondary school
4795,Brazil,4451.588057324852,Bachelor's degree
5295,Brazil,6326.273885350327,Bachelor's degree
5384,Brazil,7380.652866242022,Bachelor's degree
5510,Brazil,3690.326433121011,college/university without bachelor's degree
5712,Brazil,1687.0063694267496,Secondary school
5887,Brazil,463.92675159235716,Master's degree
5970,Brazil,399.76666666666665,Bachelor's degree
6192,Brazil,8435.031847133749,Bachelor's degree
6233,Brazil,2952.261146496816,Professional degree
6235,Brazil,2530.509554140128,Professional degree
6418,Brazil,8224.156050955417,Bachelor's degree
6505,Brazil,1138.7292993630563,college/university without bachelor's degree
6588,Brazil,4112.078025477708,Bachelor's degree
7509,Brazil,1581.5684713375806,college/university without bachelor's degree
7824,Brazil,10403.346528662409,college/university without bachelor's degree
7919,Brazil,12652.547770700625,Master's degree
8579,Brazil,2467.246815286625,Secondary school
8862,Brazil,18978.821656050954,Bachelor's degree
9410,Brazil,8.224156050955417,Master's degree
9442,Brazil,3795.7643312101773,college/university without bachelor's degree
9568,Brazil,9109.834394904465,Professional degree
9571,Brazil,3374.012738853513,Bachelor's degree
9633,Brazil,16870.06369426753,Bachelor's degree
9961,Brazil,6748.025477706991,Bachelor's degree
10090,Brazil,759.1528662420387,Bachelor's degree
10112,Brazil,6326.273885350327,Bachelor's degree
10202,Brazil,3563.800955414018,Bachelor's degree
10559,Brazil,790.7842356687886,Bachelor's degree
10621,Brazil,6326.273885350327,Bachelor's degree
10713,Brazil,17924.442675159225,Bachelor's degree
10961,Brazil,5061.019108280269,college/university without bachelor's degree
11165,Brazil,5271.894904458602,Bachelor's degree
11190,Brazil,5271.894904458602,Bachelor's degree
11244,Brazil,7360.092476114642,Bachelor's degree
11469,Brazil,4480.2867383512585,Master's degree
12379,Brazil,2277.458598726116,Secondary school
12913,Brazil,73.80652866242022,Bachelor's degree
12993,Brazil,2108.757961783441,college/university without bachelor's degree
13124,Brazil,5061.019108280269,Master's degree
13173,Brazil,2498.5416666666665,No formal education
13238,Brazil,5061.019108280269,Bachelor's degree
13317,Brazil,896.2221337579613,Bachelor's degree
13777,Brazil,12652.547770700625,Secondary school
13924,Brazil,1265.2547770700623,Secondary school
14088,Brazil,9109.834394904465,college/university without bachelor's degree
14173,Brazil,17333.990445859883,Bachelor's degree
14375,Brazil,632.6273885350329,Bachelor's degree
14392,Brazil,5554.46847133759,Secondary school
14488,Brazil,15815.684713375806,Bachelor's degree
14641,Brazil,9489.410828025477,Bachelor's degree
14998,Brazil,10828.050382165595,Doctoral degree
15571,Brazil,6326.273885350327,college/university without bachelor's degree
16529,Brazil,3156.8106687898094,college/university without bachelor's degree
17236,Brazil,3163.1369426751576,Bachelor's degree
18043,Brazil,1518.3057324840775,Secondary school
18696,Brazil,2530.509554140128,Bachelor's degree
19244,Brazil,9067.659235668778,Bachelor's degree
19560,Brazil,17713.56687898089,Master's degree
19724,Brazil,9489.410828025477,Bachelor's degree
20311,Brazil,2952.261146496816,college/university without bachelor's degree
20449,Brazil,8224.156050955417,college/university without bachelor's degree
20485,Brazil,4428.3917197452065,Bachelor's degree
20562,Brazil,6488.859124203809,Bachelor's degree
20726,Brazil,4112.078025477708,Secondary school
20741,Brazil,5271.894904458602,Bachelor's degree
20996,Brazil,6326.273885350327,Bachelor's degree
21105,Brazil,7747.155,college/university without bachelor's degree
22093,Brazil,1581.5684713375806,Secondary school
22237,Brazil,5693.646496815299,Bachelor's degree
22438,Brazil,1821.966878980893,Secondary school
22555,Brazil,2635.947452229301,college/university without bachelor's degree
22953,Brazil,685.3463375796192,Bachelor's degree
23281,Brazil,10122.038216560504,college/university without bachelor's degree
23918,Brazil,13706.926751592351,Bachelor's degree
24091,Brazil,421.7515923566874,Secondary school
24197,Brazil,6326.273885350327,college/university without bachelor's degree
24230,Brazil,4797.424363057321,Bachelor's degree
24402,Brazil,11387.292993630563,Bachelor's degree
24476,Brazil,5061.019108280269,Bachelor's degree
24545,Brazil,8224.156050955417,Bachelor's degree
24551,Brazil,2635.947452229301,Bachelor's degree
24567,Brazil,7591.528662420387,Bachelor's degree
24604,Brazil,12652.547770700625,Bachelor's degree
24870,Brazil,5061.019108280269,Master's degree
25408,Brazil,4554.917197452232,Bachelor's degree
25491,Brazil,14930.006369426756,Secondary school
25534,Brazil,10016.600318471339,Bachelor's degree
25616,Brazil,579.9084394904464,I prefer not to answer
25620,Brazil,10543.789808917203,college/university without bachelor's degree
25790,Brazil,2530.509554140128,Bachelor's degree
25877,Brazil,5263.459872611457,college/university without bachelor's degree
25904,Brazil,4059.3590764331257,I prefer not to answer
25906,Brazil,8435.031847133749,college/university without bachelor's degree
25987,Brazil,7380.652866242022,Bachelor's degree
26001,Brazil,11239.679936305745,Bachelor's degree
27684,Brazil,11134.242038216546,Master's degree
28313,Brazil,3795.7643312101773,college/university without bachelor's degree
28972,Brazil,1897.8821656050952,Secondary school
29200,Brazil,4428.3917197452065,Bachelor's degree
29249,Brazil,158.15684713375805,college/university without bachelor's degree
29301,Brazil,10543.789808917203,Bachelor's degree
29483,Brazil,4554.917197452232,Secondary school
29634,Brazil,1159.8168789808929,Master's degree
29653,Brazil,2635.947452229301,college/university without bachelor's degree
29655,Brazil,6326.273885350327,Bachelor's degree
30454,Brazil,3637.6074840764277,Bachelor's degree
30460,Brazil,15815.684713375806,Bachelor's degree
30473,Brazil,2530.509554140128,college/university without bachelor's degree
30580,Brazil,6537.14968152866,Bachelor's degree
30803,Brazil,7950.017515923571,college/university without bachelor's degree
30805,Brazil,8856.783439490446,Master's degree
31571,Brazil,9489.410828025477,Bachelor's degree
32253,Brazil,4112.078025477708,Bachelor's degree
32325,Brazil,7380.652866242022,Bachelor's degree
32365,Brazil,506.1019108280269,Master's degree
32378,Brazil,2319.6337579617825,Master's degree
32382,Brazil,14761.30573248408,college/university without bachelor's degree
32583,Brazil,7152.907006369435,Bachelor's degree
32661,Brazil,10122.038216560504,Bachelor's degree
32803,Brazil,695.8901273885358,Secondary school
32805,Brazil,9489.410828025477,Master's degree
32858,Brazil,632.6273885350329,Secondary school
33033,Brazil,137.06926751592349,college/university without bachelor's degree
33731,Brazil,5061.019108280269,Bachelor's degree
33778,Brazil,6958.901273885358,college/university without bachelor's degree
34276,Brazil,12652.547770700625,Bachelor's degree
34400,Brazil,2024.407643312101,Bachelor's degree
34407,Brazil,8198.850955414018,Bachelor's degree
34807,Brazil,2530.509554140128,Secondary school
35052,Brazil,3479.450636942679,Bachelor's degree
35658,Brazil,2846.8232484076425,Bachelor's degree
35851,Brazil,527.1894904458602,Bachelor's degree
35946,Brazil,15815.684713375806,Bachelor's degree
36082,Brazil,10543.789808917203,Bachelor's degree
36245,Brazil,6853.463375796191,Bachelor's degree
36333,Brazil,2087.670382165604,college/university without bachelor's degree
36387,Brazil,13706.926751592351,Master's degree
36616,Brazil,6272.401433691758,Bachelor's degree
36984,Brazil,18451.63216560509,Bachelor's degree
37251,Brazil,1054.3789808917204,Secondary school
37562,Brazil,7380.652866242022,Bachelor's degree
38748,Brazil,16870.06369426753,Bachelor's degree
38756,Brazil,3795.7643312101773,Secondary school
38765,Brazil,3690.326433121011,college/university without bachelor's degree
38869,Brazil,4744.705414012738,college/university without bachelor's degree
38891,Brazil,7591.528662420387,Master's degree
38928,Brazil,4744.705414012738,Bachelor's degree
38956,Brazil,9489.410828025477,Secondary school
39686,Brazil,843.5031847133748,Bachelor's degree
39819,Brazil,1370.692675159235,college/university without bachelor's degree
39831,Brazil,6326.273885350327,Bachelor's degree
40142,Brazil,3416.187898089166,Bachelor's degree
40745,Brazil,2108.757961783441,Bachelor's degree
40774,Brazil,2277.458598726116,Bachelor's degree
41031,Brazil,10280.195063694255,Master's degree
41182,Brazil,10543.789808917203,Bachelor's degree
41197,Brazil,5271.894904458602,Bachelor's degree
41218,Brazil,12648.752006369436,Bachelor's degree
41381,Brazil,12652.547770700625,Master's degree
41449,Brazil,5799.084394904465,Master's degree
41521,Brazil,12019.920382165592,Bachelor's degree
41891,Brazil,316.31369426751576,Bachelor's degree
42261,Brazil,10543.789808917203,Bachelor's degree
42819,Brazil,3542.713375796192,Bachelor's degree
43072,Brazil,5799.084394904465,Bachelor's degree
43624,Brazil,3444.023503184701,Bachelor's degree
43748,Brazil,234.59932324840776,college/university without bachelor's degree
43756,Brazil,3374.012738853513,Master's degree
44323,Brazil,15815.684713375806,Bachelor's degree
44539,Brazil,4428.3917197452065,Bachelor's degree
44803,Brazil,4428.3917197452065,Bachelor's degree
44962,Brazil,769.6966560509552,Master's degree
45893,Brazil,2635.947452229301,Secondary school
46050,Brazil,5693.646496815299,Bachelor's degree
46489,Brazil,1265.2547770700623,Professional degree
46490,Brazil,483.9599522293007,Bachelor's degree
46957,Brazil,8856.783439490446,Secondary school
47190,Brazil,8435.031847133749,Master's degree
47203,Brazil,6326.273885350327,Bachelor's degree
47254,Brazil,6326.273885350327,Bachelor's degree
47663,Brazil,126.52547770700625,Master's degree
47775,Brazil,14550.429936305745,Professional degree
47975,Brazil,217.6238216560509,Bachelor's degree
48130,Brazil,115.98168789808929,Bachelor's degree
48343,Brazil,4217.515923566874,Bachelor's degree
48497,Brazil,3690.326433121011,Bachelor's degree
48620,Brazil,17713.56687898089,Bachelor's degree
48796,Brazil,7538.809713375804,Bachelor's degree
48947,Brazil,15815.684713375806,Master's degree
48968,Brazil,1644.8312101910833,Bachelor's degree
49132,Brazil,8475.098248407648,Doctoral degree
49268,Brazil,3163.1369426751576,Bachelor's degree
49284,Brazil,14023.240445859883,Master's degree
49322,Brazil,2425.0716560509554,college/university without bachelor's degree
49582,Brazil,3163.1369426751576,college/university without bachelor's degree
49685,Brazil,15815.684713375806,Master's degree
50047,Brazil,2657.0350318471337,college/university without bachelor's degree
50064,Brazil,7380.652866242022,Master's degree
50171,Brazil,13706.926751592351,Bachelor's degree
50243,Brazil,1391.7802547770716,Secondary school
50603,Brazil,632.6273885350329,Bachelor's degree
50657,Brazil,7591.528662420387,Secondary school
51103,Brazil,92.78535031847144,Secondary school
51109,Brazil,6326.273885350327,college/university without bachelor's degree
51139,Brazil,13179.737261146489,Master's degree
