,Country,Monthly_Sal_EUR,YearsCodePro
177,Brazil,672.8072999999999,0
243,Brazil,2169.5337,9
322,Brazil,18704.2828,3
409,Brazil,5237.3431,12
520,Brazil,187.0908,0
543,Brazil,2767.9844,3
641,Brazil,2992.2535,3
668,Brazil,635.6289999999999,0
817,Brazil,785.5414999999999,0
903,Brazil,2319.4462,9
923,Brazil,1046.9888999999998,6
982,Brazil,3740.6166999999996,12
994,Brazil,935.454,0
1004,Brazil,1383.9922,3
1393,Brazil,2243.8903,3
1547,Brazil,2805.1627,9
1574,Brazil,10848.8678,21
1641,Brazil,711.1849,0
1656,Brazil,2992.2535,9
1748,Brazil,1496.7264,9
1768,Brazil,1122.5448,0
1843,Brazil,3366.4350999999997,3
1852,Brazil,9494.458333333332,6
1912,Brazil,1496.7264,6
2003,Brazil,410.1606,0
2218,Brazil,1870.908,0
2225,Brazil,3740.8165833333333,9
2230,Brazil,1870.908,3
2300,Brazil,935.454,0
2315,Brazil,2674.439,9
2409,Brazil,3479.1693,3
2755,Brazil,748.3632,0
2768,Brazil,1870.908,6
2842,Brazil,5922.942933333333,18
2845,Brazil,2469.3586999999998,9
2892,Brazil,3366.4350999999997,9
2951,Brazil,1720.9955,9
2963,Brazil,3366.4350999999997,3
3079,Brazil,426.95079999999996,3
3292,Brazil,2805.1627,18
3322,Brazil,1122.5448,0
3347,Brazil,2057.9988,12
3511,Brazil,785.5414999999999,9
3636,Brazil,1122.5448,3
3812,Brazil,530.0906,0
3829,Brazil,2730.8061,24
3853,Brazil,2026.2173500000001,3
3908,Brazil,2992.2535,9
3938,Brazil,179.895,6
4138,Brazil,1621.0538333333334,3
4336,Brazil,5611.5247,18
4362,Brazil,1870.908,6
4486,Brazil,2618.0719,6
4592,Brazil,2618.0719,3
4745,Brazil,5985.7063,15
4748,Brazil,2992.2535,9
4765,Brazil,448.5382,0
4778,Brazil,1795.3521,6
4879,Brazil,3717.83,9
4910,Brazil,485.7165,0
4932,Brazil,4559.7386,9
5110,Brazil,2992.2535,18
5140,Brazil,748.3632,3
5390,Brazil,1870.908,3
5406,Brazil,1496.7264,3
5544,Brazil,3777.795,9
5631,Brazil,4488.9799,3
5638,Brazil,2356.6245,6
5649,Brazil,1122.5448,6
5752,Brazil,1159.7231,6
5819,Brazil,591.2548999999999,3
5891,Brazil,1608.2613000000001,9
5893,Brazil,1005.0133999999999,3
5900,Brazil,1870.908,3
5916,Brazil,2998.25,12
5953,Brazil,3740.6166999999996,15
5964,Brazil,3678.452983333333,6
5986,Brazil,1428.3663,3
6001,Brazil,2430.9811,3
6204,Brazil,1309.6356,6
6269,Brazil,2240.2924,3
6358,Brazil,3179.3442999999997,6
6370,Brazil,2506.537,9
6410,Brazil,561.2724,0
6456,Brazil,1559.0900000000001,0
6491,Brazil,1122.5448,0
6566,Brazil,1661.0305,6
6707,Brazil,1870.908,6
6740,Brazil,1720.9955,6
6831,Brazil,1309.6356,3
6908,Brazil,2618.0719,9
7008,Brazil,1870.908,3
7065,Brazil,2243.8903,3
7126,Brazil,5611.5247,9
7148,Brazil,2057.9988,12
7195,Brazil,2057.9988,3
7212,Brazil,1683.8172,3
7259,Brazil,972.6323,3
7276,Brazil,748.3632,0
7443,Brazil,1309.6356,3
7534,Brazil,2408.893991666667,3
7549,Brazil,561.2724,0
7665,Brazil,2992.2535,15
7678,Brazil,785.5414999999999,0
7724,Brazil,3117.3804666666665,9
7970,Brazil,2243.8903,9
8037,Brazil,5611.5247,15
8176,Brazil,1683.8172,12
8200,Brazil,4863.1615,3
8259,Brazil,3254.9002,15
8286,Brazil,448.5382,0
8317,Brazil,561.2724,0
8332,Brazil,2917.8969,3
8349,Brazil,4488.9799,9
8547,Brazil,1870.908,3
8564,Brazil,5996.5,12
8664,Brazil,3179.3442999999997,6
8711,Brazil,898.2756999999999,3
8805,Brazil,1122.5448,6
8870,Brazil,4747.728875,0
9008,Brazil,3553.5258999999996,12
9009,Brazil,2992.2535,12
9030,Brazil,2618.571608333333,9
9065,Brazil,1309.6356,6
9186,Brazil,2618.0719,6
9312,Brazil,1062.5798,3
9332,Brazil,2095.1771,3
9449,Brazil,654.8178,0
9593,Brazil,3597.9,9
9676,Brazil,2393.8028,6
9833,Brazil,2431.4808083333332,6
9944,Brazil,11521.6751,0
9966,Brazil,672.8072999999999,0
10034,Brazil,898.2756999999999,0
10121,Brazil,4052.534641666666,15
10185,Brazil,3777.795,18
10188,Brazil,17207.5564,3
10198,Brazil,1046.9888999999998,0
10530,Brazil,1738.985,6
10638,Brazil,2656.4494999999997,18
10687,Brazil,3429.098525,3
10692,Brazil,2356.6245,15
10705,Brazil,2243.8903,6
10716,Brazil,350.1956,0
11016,Brazil,411.3599,0
11196,Brazil,3273.1895250000002,9
11260,Brazil,2794.3689999999997,0
11308,Brazil,1720.9955,3
11411,Brazil,19452.646,3
11454,Brazil,3740.6166999999996,12
11472,Brazil,935.454,0
11473,Brazil,2319.4462,3
11670,Brazil,15586.702449999999,0
11733,Brazil,1122.5448,3
11751,Brazil,4675.970758333333,12
11822,Brazil,1496.7264,6
11836,Brazil,337.00329999999997,0
11913,Brazil,2506.537,18
12040,Brazil,3366.4350999999997,9
12060,Brazil,2562.9040999999997,6
12101,Brazil,1496.7264,6
12212,Brazil,785.5414999999999,0
12217,Brazil,684.8003,0
12386,Brazil,561.2724,0
12477,Brazil,1683.8172,9
12631,Brazil,972.6323,0
12822,Brazil,1900.8905,0
12890,Brazil,2356.6245,6
12962,Brazil,1496.7264,6
12975,Brazil,2430.9811,6
13180,Brazil,520.4962,0
13326,Brazil,2992.2535,9
13470,Brazil,3740.6166999999996,12
13557,Brazil,748.3632,0
13710,Brazil,1039.7930999999999,0
13741,Brazil,2898.7081,12
13959,Brazil,2243.8903,3
13996,Brazil,1085.3665,12
14011,Brazil,1870.908,6
14151,Brazil,3740.6166999999996,12
14358,Brazil,14677.932875,6
14526,Brazil,3067.409633333333,9
14552,Brazil,635.6289999999999,3
14580,Brazil,494.1116,0
14584,Brazil,1870.908,3
14597,Brazil,1870.908,9
14647,Brazil,2506.537,6
14652,Brazil,711.1849,0
14706,Brazil,681.2024,3
14787,Brazil,1122.5448,12
14947,Brazil,2693.6278,9
14994,Brazil,748.3632,3
15054,Brazil,1169.3174999999999,0
15200,Brazil,3740.6166999999996,18
15331,Brazil,411.3599,0
15367,Brazil,5611.5247,12
15398,Brazil,1832.5303999999999,3
15401,Brazil,1867.3101,3
15411,Brazil,2618.0719,0
15452,Brazil,2917.8969,6
15455,Brazil,2548.5125,6
15534,Brazil,726.7758,0
15545,Brazil,2095.1771,3
15585,Brazil,561.2724,3
15646,Brazil,2543.7153,9
15769,Brazil,2393.8028,9
15822,Brazil,972.6323,0
15825,Brazil,1758.1738,6
15934,Brazil,2243.8903,9
15982,Brazil,2805.1627,3
15990,Brazil,1870.908,6
15997,Brazil,1122.5448,3
16120,Brazil,1122.5448,3
16196,Brazil,2992.2535,15
16221,Brazil,3927.7074999999995,12
16286,Brazil,935.454,0
16336,Brazil,1009.8106,9
16370,Brazil,748.3632,0
16415,Brazil,748.3632,0
16500,Brazil,1663.4290999999998,0
16960,Brazil,5985.7063,12
16984,Brazil,2992.2535,9
16998,Brazil,299.825,0
17000,Brazil,4301.8891,15
17054,Brazil,2057.9988,6
17110,Brazil,561.2724,3
17264,Brazil,1309.6356,3
17763,Brazil,1255.6671,0
17837,Brazil,1683.8172,0
17850,Brazil,6359.8879,24
18003,Brazil,1383.9922,6
18091,Brazil,1832.5303999999999,9
