,Country,Monthly_Sal_EUR,EdLevel
131,Bulgaria,4497.375,college/university without bachelor's degree
2506,Bulgaria,549.6791666666667,Master's degree
3817,Bulgaria,189.88916666666665,Bachelor's degree
4221,Bulgaria,659.615,Master's degree
4562,Bulgaria,671.608,college/university without bachelor's degree
5665,Bulgaria,12992.416666666666,Master's degree
6553,Bulgaria,749.5625,Bachelor's degree
7226,Bulgaria,319.81333333333333,Master's degree
7480,Bulgaria,199.88333333333333,Master's degree
7828,Bulgaria,499.7083333333333,Bachelor's degree
7875,Bulgaria,8994.75,Bachelor's degree
8046,Bulgaria,99.94166666666666,Bachelor's degree
8260,Bulgaria,503.60605833333335,Master's degree
8321,Bulgaria,5996.5,Secondary school
8511,Bulgaria,379.7783333333333,Secondary school
8916,Bulgaria,499.7083333333333,Master's degree
9307,Bulgaria,499.7083333333333,Master's degree
9752,Bulgaria,699.5916666666667,Bachelor's degree
10392,Bulgaria,659.615,Master's degree
10518,Bulgaria,899.475,Master's degree
10670,Bulgaria,277.8378333333333,college/university without bachelor's degree
10757,Bulgaria,30.482208333333332,Master's degree
10774,Bulgaria,599.65,Master's degree
10825,Bulgaria,369.78416666666664,college/university without bachelor's degree
10888,Bulgaria,549.6791666666667,Bachelor's degree
10903,Bulgaria,79.95333333333333,Doctoral degree
10930,Bulgaria,339.8016666666666,Bachelor's degree
10938,Bulgaria,399.76666666666665,Bachelor's degree
11010,Bulgaria,799.5333333333333,Master's degree
11045,Bulgaria,299.825,college/university without bachelor's degree
11069,Bulgaria,4297.491666666667,Master's degree
11157,Bulgaria,9994.166666666666,No formal education
11162,Bulgaria,429.7491666666666,college/university without bachelor's degree
11290,Bulgaria,379.7783333333333,Secondary school
11916,Bulgaria,7995.333333333333,Master's degree
12359,Bulgaria,10493.875,Bachelor's degree
12598,Bulgaria,179.895,Associate degree
12633,Bulgaria,649.6208333333333,Bachelor's degree
12916,Bulgaria,377.27979166666665,Master's degree
13460,Bulgaria,499.7083333333333,college/university without bachelor's degree
14241,Bulgaria,799.5333333333333,Bachelor's degree
14292,Bulgaria,149.9125,Bachelor's degree
14672,Bulgaria,459.7316666666666,Bachelor's degree
14801,Bulgaria,249.85416666666666,college/university without bachelor's degree
14822,Bulgaria,449.7375,Master's degree
14844,Bulgaria,517.2980666666666,Master's degree
15114,Bulgaria,231.86466666666666,Bachelor's degree
15118,Bulgaria,1798.95,Master's degree
15123,Bulgaria,699.5916666666667,college/university without bachelor's degree
15137,Bulgaria,329.8075,Secondary school
15260,Bulgaria,149.9125,Bachelor's degree
15525,Bulgaria,599.65,Bachelor's degree
15690,Bulgaria,749.5625,Master's degree
16037,Bulgaria,99.94166666666666,Bachelor's degree
17007,Bulgaria,455.434175,Master's degree
17983,Bulgaria,369.78416666666664,Master's degree
18478,Bulgaria,6596.15,college/university without bachelor's degree
18581,Bulgaria,6496.208333333333,Bachelor's degree
18749,Bulgaria,78.35426666666666,college/university without bachelor's degree
18979,Bulgaria,399.76666666666665,Secondary school
19012,Bulgaria,319.81333333333333,Bachelor's degree
19212,Bulgaria,299.825,Master's degree
19357,Bulgaria,179.895,Bachelor's degree
19636,Bulgaria,977.4295,college/university without bachelor's degree
20317,Bulgaria,8395.099999999999,Master's degree
20819,Bulgaria,799.5333333333333,Master's degree
21446,Bulgaria,7145.829166666666,Bachelor's degree
21498,Bulgaria,159.90666666666667,Bachelor's degree
21719,Bulgaria,209.8775,Bachelor's degree
21773,Bulgaria,2398.6,Bachelor's degree
21814,Bulgaria,1499.125,college/university without bachelor's degree
22079,Bulgaria,999.4166666666666,Bachelor's degree
22267,Bulgaria,139.91833333333332,Bachelor's degree
22463,Bulgaria,249.85416666666666,Bachelor's degree
23063,Bulgaria,259.84833333333336,Master's degree
23344,Bulgaria,3997.6666666666665,Bachelor's degree
23456,Bulgaria,299.825,Secondary school
23509,Bulgaria,9994.166666666666,Master's degree
23723,Bulgaria,449.7375,Bachelor's degree
23766,Bulgaria,4797.2,Bachelor's degree
24028,Bulgaria,639.6266666666667,Bachelor's degree
24108,Bulgaria,999.4166666666666,Bachelor's degree
24431,Bulgaria,11993.0,No formal education
24477,Bulgaria,379.7783333333333,Bachelor's degree
24499,Bulgaria,599.65,Bachelor's degree
24578,Bulgaria,4397.433333333333,Bachelor's degree
24845,Bulgaria,149.9125,college/university without bachelor's degree
24878,Bulgaria,239.86,Secondary school
25249,Bulgaria,179.895,college/university without bachelor's degree
25503,Bulgaria,499.7083333333333,college/university without bachelor's degree
25727,Bulgaria,259.84833333333336,Master's degree
26079,Bulgaria,652.0194333333334,Bachelor's degree
26602,Bulgaria,299.825,Master's degree
27668,Bulgaria,499.7083333333333,Master's degree
28759,Bulgaria,399.76666666666665,Master's degree
28868,Bulgaria,279.83666666666664,Bachelor's degree
29289,Bulgaria,529.6908333333333,college/university without bachelor's degree
29610,Bulgaria,389.77250000000004,Bachelor's degree
29620,Bulgaria,149.9125,Bachelor's degree
30621,Bulgaria,299.825,Bachelor's degree
30829,Bulgaria,299.825,Master's degree
31141,Bulgaria,179.895,Master's degree
31193,Bulgaria,1199.3,Secondary school
31314,Bulgaria,349.79583333333335,Bachelor's degree
31451,Bulgaria,224.86875,Master's degree
31452,Bulgaria,99.94166666666666,Bachelor's degree
31596,Bulgaria,180.89441666666667,Bachelor's degree
31907,Bulgaria,8994.75,Bachelor's degree
31998,Bulgaria,304.82208333333335,Master's degree
32458,Bulgaria,569.6675,Bachelor's degree
32501,Bulgaria,799.5333333333333,Master's degree
32992,Bulgaria,1699.0083333333334,Master's degree
33269,Bulgaria,609.6441666666667,Bachelor's degree
33295,Bulgaria,149.9125,Bachelor's degree
34441,Bulgaria,299.825,Master's degree
34906,Bulgaria,529.6908333333333,Master's degree
34942,Bulgaria,359.79,Master's degree
34970,Bulgaria,179.895,Secondary school
35038,Bulgaria,379.7783333333333,Bachelor's degree
35239,Bulgaria,199.88333333333333,Bachelor's degree
35400,Bulgaria,87.94866666666667,Doctoral degree
38752,Bulgaria,399.76666666666665,college/university without bachelor's degree
41395,Bulgaria,149.9125,Bachelor's degree
42015,Bulgaria,299.825,college/university without bachelor's degree
42638,Bulgaria,249.85416666666666,Professional degree
42761,Bulgaria,699.5916666666667,Bachelor's degree
43849,Bulgaria,399.76666666666665,Master's degree
43880,Bulgaria,476.72175,Secondary school
44166,Bulgaria,385.7748333333333,Master's degree
45913,Bulgaria,459.7316666666666,Master's degree
46031,Bulgaria,1374.1979166666665,Master's degree
46223,Bulgaria,689.5975,Master's degree
46362,Bulgaria,459.7316666666666,Bachelor's degree
46382,Bulgaria,304.82208333333335,Secondary school
46996,Bulgaria,599.65,Bachelor's degree
47034,Bulgaria,179.895,Master's degree
47785,Bulgaria,7795.450000000001,Master's degree
48369,Bulgaria,299.825,college/university without bachelor's degree
49951,Bulgaria,249.85416666666666,Bachelor's degree
49957,Bulgaria,649.6208333333333,Master's degree
50010,Bulgaria,849.5041666666667,Master's degree
50221,Bulgaria,799.5333333333333,Master's degree
50228,Bulgaria,419.755,Master's degree
50296,Bulgaria,499.7083333333333,Master's degree
50443,Bulgaria,199.88333333333333,Bachelor's degree
50688,Bulgaria,449.7375,Bachelor's degree
50844,Bulgaria,619.6383333333333,Bachelor's degree
50900,Bulgaria,349.79583333333335,Master's degree
51003,Bulgaria,6396.266666666666,Master's degree
51054,Bulgaria,598.4507,Bachelor's degree
51198,Bulgaria,399.76666666666665,Bachelor's degree
51563,Bulgaria,7495.625,Primary/elementary school
51618,Bulgaria,509.7025,college/university without bachelor's degree
51846,Bulgaria,439.74333333333334,Secondary school
54413,Bulgaria,1099.3583333333333,college/university without bachelor's degree
54468,Bulgaria,679.6033333333332,Bachelor's degree
54567,Bulgaria,3997.6666666666665,Master's degree
54646,Bulgaria,699.5916666666667,college/university without bachelor's degree
54758,Bulgaria,7495.625,Master's degree
55139,Bulgaria,99.94166666666666,Master's degree
55651,Bulgaria,519.6966666666667,Master's degree
55698,Bulgaria,399.76666666666665,Master's degree
55809,Bulgaria,199.88333333333333,Bachelor's degree
56103,Bulgaria,449.7375,Master's degree
56177,Bulgaria,279.83666666666664,Master's degree
56663,Bulgaria,399.76666666666665,Bachelor's degree
56956,Bulgaria,599.65,Bachelor's degree
57032,Bulgaria,479.72,Master's degree
57148,Bulgaria,299.825,college/university without bachelor's degree
58204,Bulgaria,599.65,Bachelor's degree
58213,Bulgaria,199.88333333333333,Secondary school
59730,Bulgaria,699.5916666666667,college/university without bachelor's degree
60127,Bulgaria,149.9125,Master's degree
60327,Bulgaria,419.755,college/university without bachelor's degree
62671,Bulgaria,159.90666666666667,Bachelor's degree
