,Country,Monthly_Sal_EUR,EdLevel
7858,Cambodia,1019.405,Bachelor's degree
8739,Cambodia,6296.325000000001,Bachelor's degree
29207,Cambodia,539.685,Bachelor's degree
44339,Cambodia,2998.25,Bachelor's degree
50815,Cambodia,5996.5,Bachelor's degree
51046,Cambodia,839.51,Bachelor's degree
58821,Cambodia,502.50669999999997,Bachelor's degree
61992,Cambodia,959.44,Bachelor's degree
64303,Cambodia,899.475,Bachelor's degree
65402,Cambodia,4797.2,Bachelor's degree
73771,Cambodia,479.72,Bachelor's degree
73929,Cambodia,299.825,Bachelor's degree
