,Country,Monthly_Sal_EUR,EdLevel
25,Canada,9394.516666666666,Bachelor's degree
31,Canada,349.79583333333335,Bachelor's degree
50,Canada,13692.008333333333,college/university without bachelor's degree
92,Canada,4997.083333333333,college/university without bachelor's degree
93,Canada,9494.458333333332,college/university without bachelor's degree
95,Canada,9994.166666666666,Bachelor's degree
97,Canada,10493.875,Bachelor's degree
145,Canada,4997.083333333333,Bachelor's degree
155,Canada,8495.041666666666,Associate degree
160,Canada,9994.166666666666,college/university without bachelor's degree
165,Canada,5496.791666666666,Professional degree
170,Canada,7995.333333333333,Bachelor's degree
185,Canada,12492.708333333332,Doctoral degree
216,Canada,11593.233333333334,Bachelor's degree
217,Canada,14991.25,Associate degree
249,Canada,7995.333333333333,Master's degree
278,Canada,1699.0083333333334,Associate degree
287,Canada,5496.791666666666,Bachelor's degree
293,Canada,7595.566666666667,Bachelor's degree
302,Canada,17989.5,Bachelor's degree
311,Canada,16990.083333333332,Master's degree
317,Canada,9494.458333333332,Bachelor's degree
321,Canada,7395.6833333333325,Master's degree
336,Canada,7395.6833333333325,Bachelor's degree
350,Canada,8994.75,Bachelor's degree
369,Canada,6995.916666666666,college/university without bachelor's degree
372,Canada,17989.5,Master's degree
376,Canada,8495.041666666666,Bachelor's degree
379,Canada,7495.625,Bachelor's degree
382,Canada,9994.166666666666,college/university without bachelor's degree
389,Canada,5896.5583333333325,college/university without bachelor's degree
407,Canada,5796.616666666667,Master's degree
409,Canada,7995.333333333333,Bachelor's degree
413,Canada,5196.966666666666,Master's degree
416,Canada,9494.458333333332,Master's degree
420,Canada,15490.958333333332,Bachelor's degree
421,Canada,4737.235,Master's degree
428,Canada,19988.333333333332,Primary/elementary school
432,Canada,6995.916666666666,Secondary school
441,Canada,7295.741666666667,Bachelor's degree
450,Canada,5596.733333333334,Bachelor's degree
470,Canada,89.647675,college/university without bachelor's degree
483,Canada,10194.05,Bachelor's degree
500,Canada,7395.6833333333325,Bachelor's degree
512,Canada,9494.458333333332,Bachelor's degree
515,Canada,9447.48575,Bachelor's degree
516,Canada,129.42445833333332,Master's degree
529,Canada,6995.916666666666,Master's degree
534,Canada,12992.416666666666,Bachelor's degree
555,Canada,9094.691666666666,Bachelor's degree
557,Canada,18139.4125,Bachelor's degree
606,Canada,4677.2699999999995,Bachelor's degree
611,Canada,1399.1833333333334,Bachelor's degree
616,Canada,11243.4375,Master's degree
625,Canada,3997.6666666666665,Bachelor's degree
642,Canada,9994.166666666666,Bachelor's degree
651,Canada,19988.333333333332,Doctoral degree
703,Canada,9994.166666666666,college/university without bachelor's degree
714,Canada,9994.166666666666,college/university without bachelor's degree
725,Canada,14491.541666666666,Bachelor's degree
754,Canada,6995.916666666666,Bachelor's degree
812,Canada,5496.791666666666,Bachelor's degree
814,Canada,10493.875,Bachelor's degree
831,Canada,5996.5,Associate degree
832,Canada,9494.458333333332,Bachelor's degree
884,Canada,7795.450000000001,Master's degree
902,Canada,8994.75,Bachelor's degree
915,Canada,5996.5,Associate degree
918,Canada,7995.333333333333,Bachelor's degree
919,Canada,14991.25,Bachelor's degree
921,Canada,11493.291666666666,Bachelor's degree
931,Canada,4997.083333333333,Master's degree
939,Canada,9994.166666666666,Associate degree
948,Canada,11393.35,Bachelor's degree
999,Canada,6496.208333333333,Master's degree
1025,Canada,7995.333333333333,Master's degree
1031,Canada,9194.633333333333,Bachelor's degree
1053,Canada,9994.166666666666,college/university without bachelor's degree
1069,Canada,9294.575,Master's degree
1070,Canada,8794.866666666667,Master's degree
1075,Canada,8694.925,Bachelor's degree
1078,Canada,7995.333333333333,Master's degree
1094,Canada,7495.625,Bachelor's degree
1106,Canada,12367.78125,Master's degree
1118,Canada,8994.75,college/university without bachelor's degree
1129,Canada,4997.083333333333,Bachelor's degree
1155,Canada,14491.541666666666,Bachelor's degree
1187,Canada,9094.691666666666,Bachelor's degree
1215,Canada,7995.333333333333,Master's degree
1217,Canada,1798.95,Bachelor's degree
1235,Canada,6995.916666666666,Bachelor's degree
1324,Canada,10993.583333333332,Bachelor's degree
1327,Canada,13991.833333333332,Associate degree
1330,Canada,11993.0,Bachelor's degree
1331,Canada,8295.158333333333,Bachelor's degree
1337,Canada,7995.333333333333,Bachelor's degree
1338,Canada,9394.516666666666,Master's degree
1343,Canada,7995.333333333333,Associate degree
1361,Canada,83.951,college/university without bachelor's degree
1371,Canada,10993.583333333332,Master's degree
1421,Canada,10293.991666666667,Bachelor's degree
1424,Canada,6746.0625,Master's degree
1444,Canada,5496.791666666666,Bachelor's degree
1445,Canada,5496.791666666666,Doctoral degree
1491,Canada,9994.166666666666,Bachelor's degree
1492,Canada,1399.1833333333334,Master's degree
1493,Canada,7995.333333333333,Bachelor's degree
1519,Canada,9494.458333333332,Master's degree
1552,Canada,7895.391666666666,Bachelor's degree
1553,Canada,10693.758333333333,Bachelor's degree
1558,Canada,174.79797499999998,Associate degree
1565,Canada,8495.041666666666,Bachelor's degree
1580,Canada,10493.875,Associate degree
1594,Canada,6496.208333333333,Bachelor's degree
1608,Canada,9170.647333333332,Bachelor's degree
1618,Canada,5496.791666666666,college/university without bachelor's degree
1629,Canada,299.825,Bachelor's degree
1634,Canada,7245.770833333333,Bachelor's degree
1637,Canada,6696.091666666667,Bachelor's degree
1648,Canada,13692.008333333333,Master's degree
1654,Canada,6196.383333333333,college/university without bachelor's degree
1681,Canada,7495.625,Bachelor's degree
1750,Canada,11993.0,college/university without bachelor's degree
1756,Canada,6895.974999999999,Associate degree
1775,Canada,6995.916666666666,Bachelor's degree
1778,Canada,5696.675,college/university without bachelor's degree
1792,Canada,9494.458333333332,Master's degree
1798,Canada,11693.175,Bachelor's degree
1800,Canada,6596.15,Associate degree
1825,Canada,4797.2,college/university without bachelor's degree
1845,Canada,7495.625,Bachelor's degree
1869,Canada,6496.208333333333,Associate degree
1896,Canada,10993.583333333332,Bachelor's degree
1898,Canada,4053.634,Master's degree
1899,Canada,6296.325000000001,Associate degree
1925,Canada,7495.625,Bachelor's degree
1937,Canada,12271.2376,Bachelor's degree
1941,Canada,11993.0,Master's degree
1945,Canada,13492.125,Bachelor's degree
1974,Canada,10993.583333333332,Bachelor's degree
1990,Canada,12492.708333333332,Bachelor's degree
2008,Canada,7495.625,Associate degree
2036,Canada,3997.6666666666665,Bachelor's degree
2065,Canada,16990.083333333332,Secondary school
2070,Canada,5696.675,Bachelor's degree
2085,Canada,9779.292083333334,Bachelor's degree
2099,Canada,8994.75,Doctoral degree
2141,Canada,17989.5,Bachelor's degree
2142,Canada,10993.583333333332,Bachelor's degree
2163,Canada,5996.5,Bachelor's degree
2174,Canada,5996.5,Associate degree
2192,Canada,8495.041666666666,Bachelor's degree
2194,Canada,5496.791666666666,Associate degree
2205,Canada,6870.989583333333,Bachelor's degree
2207,Canada,7495.625,Bachelor's degree
