,Country,Monthly_Sal_EUR,YearsCodePro
1179,Chile,7141.8315,15
2378,Chile,3814.9733,9
2849,Chile,5051.551541666667,18
5548,Chile,1188.5063,0
6067,Chile,3169.7499,3
7070,Chile,4557.34,6
7780,Chile,2971.8653999999997,0
8307,Chile,4160.3717,6
8612,Chile,1555.4921,0
9043,Chile,871.8910999999999,0
10160,Chile,3962.4872,18
10249,Chile,2971.8653999999997,24
11511,Chile,2971.8653999999997,3
12932,Chile,1234.0797,6
13520,Chile,6355.690350000001,15
13844,Chile,3565.5189,12
16404,Chile,3166.152,3
17488,Chile,2398.6,3
18392,Chile,3565.5189,9
18483,Chile,1981.2436,3
18563,Chile,3741.816,9
18847,Chile,5942.531499999999,6
19187,Chile,3962.4872,0
20597,Chile,1386.3908000000001,15
21046,Chile,2878.32,12
22402,Chile,2179.1281,3
24203,Chile,1451.1529999999998,0
24295,Chile,3169.7499,3
26486,Chile,2574.8971,0
28206,Chile,3258.4981,3
29162,Chile,4953.109,24
29664,Chile,2377.0126,3
31220,Chile,2179.1281,0
32498,Chile,3367.6344,0
33880,Chile,3284.8827,3
34244,Chile,2398.6,3
35253,Chile,3169.7499,9
36419,Chile,2377.0126,3
37934,Chile,4317.48,3
37981,Chile,1683.8172,9
38281,Chile,2998.25,0
38545,Chile,792.7373,3
40047,Chile,1577.0795,0
40937,Chile,7330.1215999999995,9
42410,Chile,1783.3591,0
42417,Chile,1981.2436,6
43526,Chile,990.6218,3
43530,Chile,2381.8098,0
43951,Chile,2626.4669999999996,6
45459,Chile,2398.6,3
46359,Chile,2079.5861999999997,0
48714,Chile,316.61519999999996,0
50712,Chile,1981.2436,3
51402,Chile,1485.9326999999998,0
53185,Chile,4997.083333333333,6
54981,Chile,2971.8653999999997,0
55020,Chile,990.6218,0
55497,Chile,2377.0126,3
57534,Chile,990.6218,0
58500,Chile,5942.531499999999,9
58506,Chile,3597.9,6
60091,Chile,990.6218,0
60314,Chile,5943.031208333334,12
61352,Chile,2201.714916666667,9
61936,Chile,1102.1567,0
63434,Chile,1783.3591,0
66111,Chile,3298.075,12
66114,Chile,5150.9935,9
67513,Chile,5447.2206,18
68011,Chile,3565.5189,3
68346,Chile,7795.450000000001,6
70315,Chile,4797.2,12
70706,Chile,1822.936,3
72231,Chile,1783.3591,3
73644,Chile,14991.25,9
73686,Chile,5645.904633333333,12
76028,Chile,4997.083333333333,6
76074,Chile,5996.5,18
76164,Chile,3497.958333333333,3
76303,Chile,2971.8653999999997,6
76764,Chile,7995.333333333333,3
78385,Chile,1783.3591,3
78918,Chile,2878.32,0
80286,Chile,959.44,3
83764,Chile,990.6218,0
85820,Chile,297.4264,0
86862,Chile,1485.9326999999998,0
