,Country,Monthly_Sal_EUR,EdLevel
2907,Chile,199.88333333333333,Bachelor's degree
10676,Chile,14991.25,college/university without bachelor's degree
16320,Chile,679.6033333333332,Bachelor's degree
16671,Chile,399.76666666666665,college/university without bachelor's degree
24298,Chile,799.5333333333333,Bachelor's degree
28475,Chile,99.94166666666666,Professional degree
30186,Chile,109.93583333333333,Bachelor's degree
34403,Chile,319.81333333333333,Doctoral degree
50189,Chile,399.76666666666665,Secondary school
55980,Chile,11993.0,Doctoral degree
56535,Chile,179.895,college/university without bachelor's degree
