,Country,Monthly_Sal_EUR,YearsCodePro
65,China,1948.8625000000002,0
70,China,8565.800366666666,3
720,China,2710.4179999999997,3
1906,China,6728.073,9
2017,China,4672.272916666667,3
2600,China,1495.5270999999998,0
3165,China,2242.691,6
3297,China,3364.0365,3
4463,China,747.1639,0
4586,China,5451.018383333333,3
4729,China,2336.1364583333334,6
5351,China,4672.272916666667,9
5680,China,2523.3271999999997,3
5998,China,1713.20005,21
7336,China,1121.3455,0
7446,China,1495.5270999999998,0
8584,China,15574.309683333333,12
9064,China,2710.4179999999997,3
9411,China,3176.9457,15
9422,China,1868.5094,3
10516,China,2103.7720833333333,0
10660,China,2803.9633999999996,6
10751,China,3738.2181,6
11579,China,2055.6002,6
11634,China,4314.0819833333335,9
11638,China,2055.6002,3
11686,China,6229.663908333333,15
12166,China,3738.2181,0
12830,China,974.4312500000001,0
13008,China,3083.4003,3
13631,China,934.2547,0
13810,China,4672.4728,6
13933,China,5451.018383333333,0
14483,China,3114.881925,0
14560,China,2616.8725999999997,3
14888,China,2429.7817999999997,3
15531,China,4672.272916666667,6
16185,China,1495.5270999999998,3
16280,China,3738.2181,0
16491,China,1962.0548000000001,0
16802,China,499.7083333333333,0
17638,China,4672.272916666667,0
18005,China,3364.0365,0
18061,China,5606.727499999999,6
18746,China,3738.2181,3
19230,China,1868.9091666666666,3
19310,China,3364.0365,0
19371,China,1868.5094,0
20044,China,916.2651999999999,3
20886,China,1495.5270999999998,3
21076,China,3738.2181,3
21087,China,9344.545833333334,0
21202,China,2024.6182833333332,3
22214,China,1589.0724999999998,3
22831,China,5918.245675,0
22842,China,4672.4728,9
22950,China,4485.382,3
23497,China,4672.4728,6
23502,China,2803.9633999999996,0
23593,China,1401.9816999999998,0
24361,China,4672.272916666667,3
24523,China,1774.964,0
24527,China,1495.5270999999998,3
24809,China,2989.8549000000003,0
24962,China,2492.1454,0
25162,China,5232.5459,9
25372,China,1868.5094,0
25434,China,1868.5094,3
25449,China,2242.691,6
25813,China,2429.7817999999997,3
26058,China,4859.5635999999995,3
26289,China,3738.2181,3
26510,China,2638.46,3
26732,China,934.2547,0
27146,China,2803.9633999999996,3
27227,China,2242.691,6
27301,China,1868.9091666666666,0
27528,China,1308.4362999999998,0
27642,China,3176.9457,9
27813,China,3364.0365,3
27892,China,2616.8725999999997,3
28312,China,1682.6179000000002,0
28341,China,840.7093,3
28995,China,2032.8135000000002,3
29277,China,5606.727499999999,9
29317,China,7475.636666666666,12
30440,China,7475.2369,9
31096,China,7102.2546,6
31192,China,3738.2181,0
31242,China,3270.5910416666666,3
31560,China,79.05385833333332,9
31606,China,5606.727499999999,3
31761,China,2803.9633999999996,6
32152,China,1868.5094,3
32163,China,2429.7817999999997,3
32734,China,3738.2181,3
32973,China,1439.16,3
33208,China,3738.2181,6
33389,China,2616.8725999999997,0
34508,China,1868.5094,0
34580,China,1868.5094,0
35051,China,2242.691,3
35052,China,4672.272916666667,9
35418,China,934.2547,0
35419,China,479.72,0
35520,China,3738.2181,3
35653,China,3737.818333333333,0
35882,China,2803.3637499999995,3
35894,China,1868.5094,0
36355,China,2616.8725999999997,6
36471,China,1868.5094,0
36507,China,2803.9633999999996,0
36527,China,1177.7125999999998,0
