,Country,Monthly_Sal_EUR,EdLevel
1451,China,1699.0083333333334,Bachelor's degree
9569,China,1998.8333333333333,college/university without bachelor's degree
9645,China,3497.958333333333,Bachelor's degree
9670,China,1199.3,Bachelor's degree
9680,China,949.4458333333333,Bachelor's degree
9825,China,2998.25,Master's degree
9945,China,749.5625,Bachelor's degree
9963,China,14991.25,Master's degree
9980,China,1998.8333333333333,Master's degree
10271,China,1399.1833333333334,Bachelor's degree
10671,China,2998.25,Bachelor's degree
10748,China,11993.0,Doctoral degree
10786,China,2998.25,Bachelor's degree
10922,China,3797.7833333333333,Bachelor's degree
11038,China,4097.608333333334,Bachelor's degree
11122,China,1998.8333333333333,college/university without bachelor's degree
11417,China,2498.5416666666665,Bachelor's degree
11532,China,2098.7749999999996,college/university without bachelor's degree
11661,China,599.65,Secondary school
11684,China,499.7083333333333,Secondary school
12115,China,4397.433333333333,Bachelor's degree
12157,China,1199.3,Bachelor's degree
12466,China,299.825,Associate degree
13006,China,1798.95,Secondary school
13342,China,17989.5,Bachelor's degree
13375,China,999.4166666666666,Bachelor's degree
14202,China,1499.125,Bachelor's degree
14634,China,1499.125,Associate degree
15163,China,1.0993583333333332,Primary/elementary school
15503,China,3497.958333333333,Bachelor's degree
15630,China,1499.125,Associate degree
16133,China,699.5916666666667,Bachelor's degree
16267,China,2598.483333333333,Secondary school
16463,China,7995.333333333333,Bachelor's degree
16618,China,2498.5416666666665,college/university without bachelor's degree
16621,China,0.7995333333333333,Associate degree
16934,China,3797.7833333333333,college/university without bachelor's degree
17035,China,899.475,Bachelor's degree
17047,China,3747.8125,Master's degree
17876,China,2998.25,Something else
17928,China,2848.3375,Bachelor's degree
18141,China,999.4166666666666,Bachelor's degree
18231,China,999.4166666666666,college/university without bachelor's degree
18607,China,1699.0083333333334,Associate degree
18708,China,1998.8333333333333,Bachelor's degree
18843,China,499.7083333333333,Bachelor's degree
18991,China,1998.8333333333333,Doctoral degree
19001,China,2998.25,Bachelor's degree
19013,China,1898.8916666666667,Master's degree
21575,China,1599.0666666666666,Bachelor's degree
21719,China,15990.666666666666,Bachelor's degree
21765,China,3298.075,Bachelor's degree
21769,China,139.91833333333332,college/university without bachelor's degree
21846,China,499.7083333333333,Bachelor's degree
21853,China,1499.125,college/university without bachelor's degree
21892,China,19988.333333333332,Bachelor's degree
21926,China,11493.291666666666,Master's degree
21968,China,599.65,Bachelor's degree
22077,China,1499.125,Something else
22112,China,399.76666666666665,Bachelor's degree
22118,China,599.65,Bachelor's degree
22183,China,4997.083333333333,Bachelor's degree
22184,China,1199.3,Associate degree
22228,China,3697.8416666666662,college/university without bachelor's degree
22238,China,1599.0666666666666,Bachelor's degree
22276,China,15990.666666666666,college/university without bachelor's degree
22292,China,2498.5416666666665,Bachelor's degree
22345,China,1199.3,Associate degree
22395,China,4997.083333333333,Bachelor's degree
22456,China,1998.8333333333333,Bachelor's degree
22531,China,2498.5416666666665,Master's degree
22610,China,1998.8333333333333,Primary/elementary school
22685,China,5696.675,Primary/elementary school
22961,China,1499.125,Bachelor's degree
23004,China,1599.0666666666666,college/university without bachelor's degree
23049,China,999.4166666666666,Bachelor's degree
23081,China,1499.125,Master's degree
23168,China,1099.3583333333333,Associate degree
23194,China,366.38615000000004,Bachelor's degree
23227,China,499.7083333333333,Bachelor's degree
23300,China,1998.8333333333333,Primary/elementary school
23358,China,899.475,Bachelor's degree
23499,China,999.4166666666666,Bachelor's degree
23703,China,3497.958333333333,Bachelor's degree
24220,China,1299.2416666666666,Master's degree
24233,China,799.5333333333333,Something else
24368,China,999.4166666666666,Bachelor's degree
25460,China,4297.491666666667,college/university without bachelor's degree
25499,China,999.4166666666666,Bachelor's degree
25824,China,1199.3,Bachelor's degree
27711,China,19988.333333333332,Bachelor's degree
30680,China,10993.583333333332,Associate degree
30690,China,999.4166666666666,Bachelor's degree
30701,China,2698.425,Master's degree
30805,China,1499.125,Associate degree
30861,China,1499.125,Primary/elementary school
30870,China,1499.125,Bachelor's degree
30885,China,1299.2416666666666,Professional degree
30936,China,999.4166666666666,Bachelor's degree
30974,China,2398.6,Bachelor's degree
30989,China,3997.6666666666665,Associate degree
31464,China,469.7258333333333,Associate degree
31853,China,2498.5416666666665,Bachelor's degree
32399,China,1998.8333333333333,Bachelor's degree
32516,China,2998.25,Master's degree
34506,China,1299.2416666666666,Bachelor's degree
36509,China,3098.1916666666666,Master's degree
36587,China,1199.3,college/university without bachelor's degree
37313,China,999.4166666666666,Master's degree
37836,China,1699.0083333333334,Bachelor's degree
38814,China,699.5916666666667,Bachelor's degree
39362,China,2998.25,Master's degree
39434,China,499.7083333333333,Bachelor's degree
39894,China,349.79583333333335,Secondary school
40294,China,999.4166666666666,Bachelor's degree
41306,China,599.65,Bachelor's degree
41328,China,4597.316666666667,Doctoral degree
41406,China,1199.3,Bachelor's degree
41407,China,2398.6,Bachelor's degree
41786,China,3497.958333333333,Doctoral degree
42320,China,2498.5416666666665,Bachelor's degree
43382,China,499.7083333333333,Bachelor's degree
44497,China,1299.2416666666666,Bachelor's degree
44749,China,149.9125,Master's degree
44766,China,1199.3,Associate degree
44821,China,799.5333333333333,Master's degree
44965,China,149.9125,Master's degree
44969,China,17989.5,Master's degree
45030,China,1998.8333333333333,Primary/elementary school
45141,China,3.4979583333333335,Master's degree
45235,China,249.85416666666666,Associate degree
45307,China,999.4166666666666,Master's degree
46047,China,1798.95,Master's degree
47626,China,4997.083333333333,Associate degree
47786,China,3497.958333333333,Master's degree
47837,China,999.4166666666666,Bachelor's degree
47862,China,399.76666666666665,Associate degree
47895,China,639.6266666666667,Bachelor's degree
47988,China,1998.8333333333333,college/university without bachelor's degree
48219,China,2798.366666666667,Secondary school
48305,China,2498.5416666666665,Bachelor's degree
48900,China,2398.6,Master's degree
49200,China,799.5333333333333,Bachelor's degree
49317,China,2998.25,Primary/elementary school
50267,China,1998.8333333333333,Master's degree
50277,China,2598.483333333333,Bachelor's degree
51176,China,2298.6583333333333,Bachelor's degree
53022,China,3331.355575,Master's degree
53063,China,15990.666666666666,Bachelor's degree
53114,China,6995.916666666666,Bachelor's degree
53238,China,799.5333333333333,Bachelor's degree
53347,China,19988.333333333332,Bachelor's degree
53937,China,2198.7166666666667,Master's degree
54097,China,1848.9208333333331,Master's degree
54464,China,1998.8333333333333,Bachelor's degree
56974,China,999.4166666666666,Bachelor's degree
57059,China,1199.3,Bachelor's degree
57683,China,2.298658333333333,Bachelor's degree
57851,China,2798.366666666667,Master's degree
57853,China,1199.3,Bachelor's degree
59165,China,799.5333333333333,college/university without bachelor's degree
60064,China,3198.133333333333,Doctoral degree
60143,China,2038.81,Bachelor's degree
61136,China,1998.8333333333333,Bachelor's degree
61156,China,9994.166666666666,Bachelor's degree
61539,China,1399.1833333333334,Bachelor's degree
61644,China,2298.6583333333333,Bachelor's degree
62337,China,799.5333333333333,Secondary school
63388,China,1299.2416666666666,Master's degree
63611,China,2798.366666666667,Bachelor's degree
64311,China,999.4166666666666,Bachelor's degree
64494,China,1299.2416666666666,Associate degree
64504,China,2198.7166666666667,Bachelor's degree
64536,China,549.6791666666667,Bachelor's degree
64584,China,1499.125,Bachelor's degree
64771,China,1499.125,Primary/elementary school
64935,China,999.4166666666666,Primary/elementary school
65670,China,999.4166666666666,Bachelor's degree
65890,China,2498.5416666666665,Bachelor's degree
67138,China,4997.083333333333,Bachelor's degree
67194,China,599.65,college/university without bachelor's degree
67340,China,1599.0666666666666,Bachelor's degree
67939,China,1399.1833333333334,Bachelor's degree
68393,China,19988.333333333332,Bachelor's degree
70221,China,1699.0083333333334,Bachelor's degree
70410,China,2998.25,Bachelor's degree
70421,China,1499.125,Secondary school
70426,China,14991.25,Bachelor's degree
70466,China,649.6208333333333,college/university without bachelor's degree
70477,China,1209.2941666666666,Bachelor's degree
70571,China,1748.9791666666665,Master's degree
70673,China,1399.1833333333334,Bachelor's degree
71069,China,0.09994166666666666,Primary/elementary school
71079,China,2298.6583333333333,Master's degree
71682,China,1699.0083333333334,Bachelor's degree
72458,China,1299.2416666666666,Primary/elementary school
72752,China,4197.549999999999,Bachelor's degree
72786,China,799.5333333333333,Bachelor's degree
72984,China,1199.3,college/university without bachelor's degree
73057,China,1399.1833333333334,Bachelor's degree
73928,China,1199.3,Bachelor's degree
75369,China,549.6791666666667,college/university without bachelor's degree
75514,China,999.4166666666666,Master's degree
75572,China,499.7083333333333,college/university without bachelor's degree
75712,China,16790.199999999997,Bachelor's degree
75770,China,2998.25,Associate degree
75879,China,1599.0666666666666,Bachelor's degree
75917,China,3997.6666666666665,Doctoral degree
76321,China,2298.6583333333333,Bachelor's degree
76419,China,2298.6583333333333,Bachelor's degree
76727,China,2498.5416666666665,Bachelor's degree
77672,China,11993.0,Master's degree
79176,China,19988.333333333332,Bachelor's degree
82038,China,1599.0666666666666,Bachelor's degree
82078,China,599.65,Bachelor's degree
82101,China,549.6791666666667,Something else
82235,China,2998.25,Bachelor's degree
82300,China,4997.083333333333,Doctoral degree
83371,China,699.5916666666667,Bachelor's degree
