,Country,Monthly_Sal_EUR,YearsCodePro
895,Colombia,3597.9,5.0
939,Colombia,1299.2416666666666,8.0
2653,Colombia,7995.333333333333,13.0
10784,Colombia,249.85416666666666,6.0
10837,Colombia,2678.4366666666665,4.0
11250,Colombia,869.4925,3.0
15072,Colombia,1099.3583333333333,1.0
19649,Colombia,1699.0083333333334,11.0
24441,Colombia,1499.125,13.0
34168,Colombia,3797.7833333333333,5.0
37533,Colombia,259.84833333333336,5.0
43984,Colombia,772.5490833333333,1.0
44977,Colombia,1998.8333333333333,7.0
46388,Colombia,999.4166666666666,1.0
47343,Colombia,0.8310207079578571,9.0
