,Country,Monthly_Sal_EUR,YearsCodePro
17946,Costa Rica,599.65,15
17990,Costa Rica,499.7083333333333,7
18256,Costa Rica,159.90666666666667,5
18355,Costa Rica,13991.833333333332,8
18931,Costa Rica,58.96558333333333,1
19471,Costa Rica,8694.925,9
23581,Costa Rica,9994.166666666666,13
25172,Costa Rica,129.92416666666668,2
27934,Costa Rica,1848.9208333333331,3
28808,Costa Rica,4931.9213666666665,12
29556,Costa Rica,289.8308333333333,3
29657,Costa Rica,3997.6666666666665,5
33619,Costa Rica,349.79583333333335,5
35827,Costa Rica,399.76666666666665,10
36445,Costa Rica,339.8016666666666,8
39040,Costa Rica,17989.5,20
45717,Costa Rica,599.65,11
52312,Costa Rica,659.615,7
56990,Costa Rica,79.95333333333333,2
