,Country,Monthly_Sal_EUR,EdLevel
313,Costa Rica,149.9125,Bachelor's degree
4493,Costa Rica,459.7316666666666,Bachelor's degree
5130,Costa Rica,5996.5,college/university without bachelor's degree
7380,Costa Rica,249.85416666666666,Bachelor's degree
10125,Costa Rica,299.825,Bachelor's degree
10899,Costa Rica,749.5625,Master's degree
21564,Costa Rica,299.825,Bachelor's degree
22530,Costa Rica,249.85416666666666,Bachelor's degree
22815,Costa Rica,149.9125,Bachelor's degree
26848,Costa Rica,599.65,Bachelor's degree
27825,Costa Rica,109.93583333333333,college/university without bachelor's degree
28132,Costa Rica,399.76666666666665,Bachelor's degree
30799,Costa Rica,324.81041666666664,Bachelor's degree
35460,Costa Rica,299.825,Master's degree
37869,Costa Rica,1998.8333333333333,Master's degree
41055,Costa Rica,829.5158333333334,college/university without bachelor's degree
44050,Costa Rica,19988.333333333332,college/university without bachelor's degree
46769,Costa Rica,399.76666666666665,college/university without bachelor's degree
46806,Costa Rica,299.825,Bachelor's degree
46965,Costa Rica,799.5333333333333,Master's degree
47449,Costa Rica,149.9125,Bachelor's degree
47860,Costa Rica,209.8775,college/university without bachelor's degree
53082,Costa Rica,299.825,Bachelor's degree
55179,Costa Rica,549.6791666666667,Bachelor's degree
58246,Costa Rica,5781.625416666667,Bachelor's degree
60841,Costa Rica,249.85416666666666,Bachelor's degree
66992,Costa Rica,199.88333333333333,Master's degree
67015,Costa Rica,11993.0,Master's degree
67206,Costa Rica,6296.325000000001,Bachelor's degree
71701,Costa Rica,9994.166666666666,Bachelor's degree
74721,Costa Rica,199.88333333333333,Bachelor's degree
74751,Costa Rica,629.6324999999999,Master's degree
75420,Costa Rica,5996.5,Bachelor's degree
81873,Costa Rica,9.994166666666667,Secondary school
