,Country,Monthly_Sal_EUR,EdLevel
2182,Cuba,4997.083333333333,Bachelor's degree
2350,Cuba,59.965,Bachelor's degree
2536,Cuba,79.95333333333333,Bachelor's degree
2571,Cuba,39.97666666666667,Bachelor's degree
3273,Cuba,39.97666666666667,Bachelor's degree
4174,Cuba,109.93583333333333,Bachelor's degree
9094,Cuba,109.93583333333333,Bachelor's degree
10008,Cuba,149.9125,Bachelor's degree
10557,Cuba,29.9825,Master's degree
20589,Cuba,69.95916666666666,Bachelor's degree
27545,Cuba,1599.0666666666666,Bachelor's degree
28796,Cuba,1599.0666666666666,Bachelor's degree
30409,Cuba,69.95916666666666,Bachelor's degree
35925,Cuba,999.4166666666666,Bachelor's degree
36554,Cuba,778.0458749999999,Doctoral degree
40286,Cuba,549.6791666666667,Master's degree
40863,Cuba,11.992999999999999,Bachelor's degree
54627,Cuba,699.5916666666667,college/university without bachelor's degree
55029,Cuba,44.97375,Master's degree
55554,Cuba,1499.125,Bachelor's degree
59857,Cuba,44.97375,Bachelor's degree
62599,Cuba,129.92416666666668,Bachelor's degree
74308,Cuba,49.97083333333333,Bachelor's degree
76439,Cuba,99.94166666666666,Bachelor's degree
76469,Cuba,49.97083333333333,Bachelor's degree
79630,Cuba,79.95333333333333,Bachelor's degree
