,Country,Monthly_Sal_EUR,YearsCodePro
2182,Cuba,4997.083333333333,2
2536,Cuba,79.95333333333333,4
2571,Cuba,39.97666666666667,9
3273,Cuba,39.97666666666667,2
4174,Cuba,109.93583333333333,10
9094,Cuba,109.93583333333333,7
10008,Cuba,149.9125,6
10557,Cuba,29.9825,10
20589,Cuba,69.95916666666666,7
27545,Cuba,1599.0666666666666,12
28796,Cuba,1599.0666666666666,20
30409,Cuba,69.95916666666666,4
35925,Cuba,999.4166666666666,25
36554,Cuba,778.0458749999999,15
40286,Cuba,549.6791666666667,12
40863,Cuba,11.992999999999999,4
54627,Cuba,699.5916666666667,5
55029,Cuba,44.97375,5
55554,Cuba,1499.125,2
59857,Cuba,44.97375,10
62599,Cuba,129.92416666666668,2
74308,Cuba,49.97083333333333,3
76439,Cuba,99.94166666666666,13
76469,Cuba,49.97083333333333,13
79630,Cuba,79.95333333333333,5
