,Country,Monthly_Sal_EUR,EdLevel
9701,Cyprus,319.81333333333333,Bachelor's degree
10058,Cyprus,279.83666666666664,Master's degree
10541,Cyprus,2498.5416666666665,Master's degree
11120,Cyprus,229.8658333333333,Bachelor's degree
15046,Cyprus,3997.6666666666665,Bachelor's degree
16872,Cyprus,17989.5,college/university without bachelor's degree
18717,Cyprus,399.76666666666665,Master's degree
21655,Cyprus,4997.083333333333,Bachelor's degree
24554,Cyprus,279.83666666666664,Master's degree
25355,Cyprus,279.83666666666664,Secondary school
26320,Cyprus,349.79583333333335,Bachelor's degree
26910,Cyprus,4997.083333333333,Master's degree
28784,Cyprus,2898.3083333333334,Master's degree
29631,Cyprus,174.89791666666667,college/university without bachelor's degree
31159,Cyprus,184.89208333333332,Bachelor's degree
32024,Cyprus,299.825,Master's degree
32519,Cyprus,274.83958333333334,Bachelor's degree
34714,Cyprus,2698.425,Bachelor's degree
39144,Cyprus,1998.8333333333333,Master's degree
39995,Cyprus,899.475,Bachelor's degree
40510,Cyprus,2238.693333333333,college/university without bachelor's degree
44266,Cyprus,1848.9208333333331,Associate degree
47498,Cyprus,2198.7166666666667,Bachelor's degree
52530,Cyprus,379.7783333333333,Master's degree
52554,Cyprus,5496.791666666666,Bachelor's degree
57522,Cyprus,4497.375,Doctoral degree
60004,Cyprus,6496.208333333333,Master's degree
62813,Cyprus,199.88333333333333,Secondary school
63248,Cyprus,1234.2795833333332,Bachelor's degree
65773,Cyprus,369.78416666666664,Bachelor's degree
68935,Cyprus,279.83666666666664,Master's degree
72061,Cyprus,5996.5,Master's degree
72414,Cyprus,59.965,Master's degree
77877,Cyprus,419.755,Doctoral degree
79049,Cyprus,2198.7166666666667,Master's degree
80108,Cyprus,139.91833333333332,Bachelor's degree
83397,Cyprus,283.1347416666666,Bachelor's degree
