,Country,Monthly_Sal_EUR,YearsCodePro
419,Cyprus,3847.7541666666666,13
819,Cyprus,1499.125,10
3102,Cyprus,4497.375,10
4067,Cyprus,199.88333333333333,2
10445,Cyprus,159.90666666666667,3
11057,Cyprus,4197.549999999999,6
11261,Cyprus,2798.366666666667,3
15231,Cyprus,7495.625,10
15480,Cyprus,2798.366666666667,9
16351,Cyprus,3597.9,2
17709,Cyprus,2988.255833333333,3
22911,Cyprus,129.92416666666668,1
25029,Cyprus,4497.375,7
26767,Cyprus,6496.208333333333,9
27285,Cyprus,263.3462916666667,3
31554,Cyprus,5496.791666666666,7
31625,Cyprus,119.93,6
31761,Cyprus,3198.133333333333,7
31900,Cyprus,11.992999999999999,12
32206,Cyprus,299.825,5
33063,Cyprus,189.88916666666665,2
39324,Cyprus,119.93,1
45515,Cyprus,999.4166666666666,15
47282,Cyprus,4997.083333333333,17
49412,Cyprus,4557.34,10
49993,Cyprus,9994.166666666666,10
50496,Cyprus,3378.0283333333336,6
55459,Cyprus,5996.5,8
59256,Cyprus,3997.6666666666665,6
