,Country,Monthly_Sal_EUR,EdLevel
9336,Czech Republic,3533.0462020360173,Master's degree
12363,Czech Republic,1290.3225806451583,Bachelor's degree
20283,Czech Republic,197.13261648745498,Doctoral degree
25030,Czech Republic,1164.874551971325,college/university without bachelor's degree
28105,Czech Republic,3584.2293906809996,Bachelor's degree
33983,Czech Republic,1792.1146953404998,Master's degree
33989,Czech Republic,152.3297491039425,Master's degree
41671,Czech Republic,79.25374166666666,Secondary school
42681,Czech Republic,1075.2688172043,Bachelor's degree
43680,Czech Republic,1761.942051683633,Bachelor's degree
