,Country,Monthly_Sal_EUR,YearsCodePro
37,Czech Republic,9594.4,22
63,Czech Republic,2798.366666666667,2
466,Czech Republic,15990.666666666666,19
504,Czech Republic,12792.533333333333,1
763,Czech Republic,6995.916666666666,8
1017,Czech Republic,5097.025,21
1155,Czech Republic,2998.25,6
1671,Czech Republic,3198.133333333333,6
1768,Czech Republic,14991.25,10
2266,Czech Republic,2698.425,1
2854,Czech Republic,2498.5416666666665,5
3092,Czech Republic,6596.15,4
3277,Czech Republic,12992.416666666666,8
3354,Czech Republic,9994.166666666666,5
3529,Czech Republic,4597.316666666667,1
3624,Czech Republic,19988.333333333332,15
3631,Czech Republic,5196.966666666666,10
3891,Czech Republic,15990.666666666666,11
4227,Czech Republic,115.93233333333333,13
4412,Czech Republic,4497.375,4
4771,Czech Republic,7695.508333333333,3
5167,Czech Republic,7495.625,4
5256,Czech Republic,4197.549999999999,1
5442,Czech Republic,9994.166666666666,9
5514,Czech Republic,8994.75,8
5772,Czech Republic,5696.675,7
5901,Czech Republic,4497.375,25
5916,Czech Republic,11993.0,5
6695,Czech Republic,3198.133333333333,8
6697,Czech Republic,11993.0,12
7112,Czech Republic,3997.6666666666665,4
7124,Czech Republic,349.79583333333335,12
7159,Czech Republic,799.5333333333333,4
8017,Czech Republic,399.76666666666665,19
8064,Czech Republic,13991.833333333332,24
8249,Czech Republic,1998.8333333333333,1
8552,Czech Republic,4497.375,10
8782,Czech Republic,10293.991666666667,14
8861,Czech Republic,4197.549999999999,15
9646,Czech Republic,5496.791666666666,3
9649,Czech Republic,6995.916666666666,14
9652,Czech Republic,199.88333333333333,6
9695,Czech Republic,6995.916666666666,8
9711,Czech Republic,4597.316666666667,3
9956,Czech Republic,3997.6666666666665,4
10706,Czech Republic,7395.6833333333325,6
11112,Czech Republic,11593.233333333334,18
11152,Czech Republic,5996.5,3
11428,Czech Republic,2098.7749999999996,2
11787,Czech Republic,10393.933333333332,10
12078,Czech Republic,4497.375,1
12429,Czech Republic,9994.166666666666,9
12552,Czech Republic,8994.75,20
12589,Czech Republic,6696.091666666667,3
13379,Czech Republic,7495.625,10
13380,Czech Republic,10993.583333333332,5
13531,Czech Republic,4197.549999999999,1
13828,Czech Republic,10993.583333333332,12
13896,Czech Republic,4497.375,6
14040,Czech Republic,4997.083333333333,7
14148,Czech Republic,2398.6,1
14270,Czech Republic,5496.791666666666,2
14871,Czech Republic,2698.425,12
15239,Czech Republic,11993.0,8
15393,Czech Republic,1499.125,1
15723,Czech Republic,3398.016666666667,1
16048,Czech Republic,7195.8,11
16059,Czech Republic,4697.258333333333,2
16107,Czech Republic,2498.5416666666665,6
16152,Czech Republic,499.7083333333333,18
16229,Czech Republic,799.5333333333333,2
16353,Czech Republic,7795.450000000001,5
16450,Czech Republic,14991.25,6
16624,Czech Republic,4997.083333333333,4
17001,Czech Republic,6196.383333333333,6
17136,Czech Republic,7995.333333333333,5
17207,Czech Republic,3997.6666666666665,5
17385,Czech Republic,8994.75,12
18031,Czech Republic,9194.633333333333,16
18183,Czech Republic,3198.133333333333,3
18241,Czech Republic,2098.7749999999996,4
18365,Czech Republic,9994.166666666666,6
18399,Czech Republic,599.65,3
18611,Czech Republic,6995.916666666666,10
18885,Czech Republic,3497.958333333333,2
18888,Czech Republic,5696.675,3
18889,Czech Republic,6496.208333333333,3
19112,Czech Republic,9994.166666666666,15
19155,Czech Republic,179.895,3
19223,Czech Republic,3997.6666666666665,2
19295,Czech Republic,8994.75,8
19325,Czech Republic,1499.125,3
19692,Czech Republic,1699.0083333333334,12
19887,Czech Republic,4197.549999999999,2
19925,Czech Republic,7995.333333333333,5
19930,Czech Republic,9994.166666666666,7
20022,Czech Republic,6596.15,11
20028,Czech Republic,7495.625,18
20051,Czech Republic,4397.433333333333,5
20309,Czech Republic,129.92416666666668,3
20711,Czech Republic,3997.6666666666665,3
21209,Czech Republic,9994.166666666666,12
21588,Czech Republic,4997.083333333333,4
21829,Czech Republic,6995.916666666666,3
21885,Czech Republic,6096.441666666667,13
21945,Czech Republic,9994.166666666666,6
21966,Czech Republic,3797.7833333333333,4
22006,Czech Republic,6696.091666666667,28
22144,Czech Republic,2198.7166666666667,2
22465,Czech Republic,6995.916666666666,18
22593,Czech Republic,5996.5,6
23039,Czech Republic,10993.583333333332,15
23063,Czech Republic,3947.695833333333,4
23360,Czech Republic,6496.208333333333,6
23509,Czech Republic,7395.6833333333325,1
23686,Czech Republic,4347.4625,5
24417,Czech Republic,3997.6666666666665,4
24520,Czech Republic,9494.458333333332,6
24673,Czech Republic,11993.0,19
24703,Czech Republic,3597.9,3
24939,Czech Republic,11993.0,10
25189,Czech Republic,4997.083333333333,10
25267,Czech Republic,6995.916666666666,6
25447,Czech Republic,5196.966666666666,3
25606,Czech Republic,5996.5,9
