,Country,Monthly_Sal_EUR,EdLevel
1819,Denmark,13563.38383838383,Bachelor's degree
3832,Denmark,8064.5161290322585,Bachelor's degree
7651,Denmark,5376.344086021508,Bachelor's degree
9016,Denmark,9856.630824372749,Master's degree
9171,Denmark,9396.22507122507,Master's degree
11166,Denmark,17989.5,Bachelor's degree
11910,Denmark,6272.401433691758,Master's degree
11912,Denmark,7885.304659498208,Doctoral degree
14248,Denmark,8960.573476702499,Bachelor's degree
18036,Denmark,1290.3225806451583,Secondary school
18821,Denmark,5796.594982078849,Bachelor's degree
21969,Denmark,4838.709677419358,Bachelor's degree
23890,Denmark,9856.630824372749,Master's degree
30519,Denmark,367.3835125448025,Bachelor's degree
40137,Denmark,6272.401433691758,Master's degree
40310,Denmark,205.00854700854688,college/university without bachelor's degree
40675,Denmark,593.5422602089266,Bachelor's degree
45516,Denmark,7595.566666666667,college/university without bachelor's degree
49255,Denmark,8234.911616161617,Bachelor's degree
