,Country,Monthly_Sal_EUR,YearsCodePro
755,Denmark,7995.333333333333,28
806,Denmark,3797.7833333333333,6
1212,Denmark,999.4166666666666,22
1375,Denmark,4497.375,12
1821,Denmark,2998.25,35
2037,Denmark,1349.2125,1
2639,Denmark,5296.908333333333,6
3017,Denmark,6816.021666666667,7
3414,Denmark,1399.1833333333334,5
3897,Denmark,2998.25,14
4709,Denmark,5716.663333333334,17
6357,Denmark,2363.6204166666666,3
6390,Denmark,3697.8416666666662,4
6648,Denmark,5996.5,13
7071,Denmark,4477.386666666666,8
7233,Denmark,6895.974999999999,10
7313,Denmark,3198.133333333333,2
7411,Denmark,5996.5,13
7426,Denmark,9994.166666666666,20
7472,Denmark,3697.8416666666662,7
7484,Denmark,3897.7250000000004,12
7809,Denmark,10493.875,25
7873,Denmark,3298.075,6
8038,Denmark,5596.733333333334,26
9060,Denmark,3447.9874999999997,2
10326,Denmark,3897.7250000000004,5
10878,Denmark,3647.8708333333334,3
10965,Denmark,3997.6666666666665,4
11306,Denmark,4197.549999999999,3
11729,Denmark,699.5916666666667,1
11761,Denmark,1798.95,2
11810,Denmark,3098.1916666666666,3
11840,Denmark,4497.375,3
12145,Denmark,4297.491666666667,19
12218,Denmark,499.7083333333333,3
12262,Denmark,3747.8125,12
12376,Denmark,3997.6666666666665,7
12422,Denmark,1063.3793333333333,5
12448,Denmark,3547.929166666667,3
12868,Denmark,3997.6666666666665,3
12925,Denmark,3398.016666666667,4
13268,Denmark,3997.6666666666665,8
13442,Denmark,5996.5,30
13449,Denmark,4797.2,3
13586,Denmark,4597.316666666667,6
13592,Denmark,4497.375,6
13831,Denmark,99.94166666666666,3
14144,Denmark,5396.85,8
14244,Denmark,5396.85,6
14351,Denmark,2498.5416666666665,1
14388,Denmark,3198.133333333333,2
14768,Denmark,4177.5616666666665,12
14845,Denmark,6995.916666666666,38
15038,Denmark,2698.425,2
16001,Denmark,4567.3341666666665,7
16009,Denmark,699.5916666666667,2
17080,Denmark,4397.433333333333,4
17241,Denmark,5496.791666666666,25
17566,Denmark,4897.141666666666,3
18728,Denmark,4997.083333333333,13
19290,Denmark,4597.316666666667,4
20929,Denmark,2248.6875,7
21245,Denmark,6496.208333333333,12
21340,Denmark,6796.033333333334,21
21888,Denmark,4997.083333333333,15
22188,Denmark,3697.8416666666662,20
22340,Denmark,3997.6666666666665,5
22364,Denmark,3198.133333333333,3
22687,Denmark,4697.258333333333,3
22755,Denmark,4997.083333333333,9
23121,Denmark,4847.170833333334,1
23131,Denmark,2898.3083333333334,1
23288,Denmark,5796.616666666667,14
23384,Denmark,3997.6666666666665,9
23752,Denmark,2998.25,3
24043,Denmark,4197.549999999999,3
24503,Denmark,4555.341166666667,3
25122,Denmark,999.4166666666666,2
25382,Denmark,3597.9,4
26715,Denmark,4997.083333333333,6
26721,Denmark,4347.4625,2
26753,Denmark,5496.791666666666,30
26789,Denmark,4297.491666666667,16
26804,Denmark,3398.016666666667,3
26862,Denmark,4397.433333333333,18
26873,Denmark,5097.025,6
27279,Denmark,6696.091666666667,5
27493,Denmark,6096.441666666667,23
27565,Denmark,4897.141666666666,8
27659,Denmark,5196.966666666666,5
28959,Denmark,4397.433333333333,10
29604,Denmark,5296.908333333333,6
29681,Denmark,2998.25,1
29701,Denmark,3497.958333333333,20
29836,Denmark,2998.25,5
30450,Denmark,6895.974999999999,9
30801,Denmark,3997.6666666666665,3
30967,Denmark,3198.133333333333,2
30975,Denmark,5496.791666666666,8
31047,Denmark,5496.791666666666,14
31194,Denmark,4315.880933333333,12
31243,Denmark,11593.233333333334,22
31481,Denmark,358.0909916666667,2
31497,Denmark,5696.675,15
31588,Denmark,4797.2,10
31685,Denmark,5196.966666666666,8
31739,Denmark,5996.5,15
31765,Denmark,699.5916666666667,10
31899,Denmark,3597.9,8
32783,Denmark,4797.2,4
33850,Denmark,4797.2,5
33865,Denmark,4697.258333333333,7
33926,Denmark,2698.425,3
33965,Denmark,2998.25,3
34383,Denmark,5517.9793,20
