,Country,Monthly_Sal_EUR,YearsCodePro
834,Dominican Republic,699.5916666666667,1
1073,Dominican Republic,6096.441666666667,4
4663,Dominican Republic,5996.5,3
5615,Dominican Republic,5996.5,13
6748,Dominican Republic,2498.5416666666665,2
6931,Dominican Republic,5996.5,3
10614,Dominican Republic,5996.5,4
10822,Dominican Republic,16990.083333333332,6
11225,Dominican Republic,6995.916666666666,5
12970,Dominican Republic,3497.958333333333,6
13418,Dominican Republic,3198.133333333333,1
18156,Dominican Republic,6236.360000000001,6
23601,Dominican Republic,299.825,7
26335,Dominican Republic,199.88333333333333,9
27568,Dominican Republic,2198.7166666666667,10
28296,Dominican Republic,2998.25,1
28311,Dominican Republic,219.87166666666667,6
28477,Dominican Republic,9809.774291666667,5
31012,Dominican Republic,2998.25,1
31089,Dominican Republic,7995.333333333333,20
34328,Dominican Republic,15990.666666666666,12
36005,Dominican Republic,11993.0,8
37411,Dominican Republic,9994.166666666666,7
41656,Dominican Republic,9194.633333333333,9
42467,Dominican Republic,3497.958333333333,2
43647,Dominican Republic,6196.383333333333,7
49239,Dominican Republic,8994.75,1
52116,Dominican Republic,149.9125,4
52414,Dominican Republic,6995.916666666666,10
54732,Dominican Republic,999.4166666666666,1
54763,Dominican Republic,6656.115,3
55385,Dominican Republic,9994.166666666666,4
56495,Dominican Republic,5956.523333333333,4
60710,Dominican Republic,5496.791666666666,1
61564,Dominican Republic,99.94166666666666,2
62349,Dominican Republic,119.93,9
63586,Dominican Republic,3817.7716666666665,2
63903,Dominican Republic,6496.208333333333,6
64138,Dominican Republic,4497.375,3
67668,Dominican Republic,3759.8055000000004,11
69223,Dominican Republic,1499.125,18
69981,Dominican Republic,8994.75,3
73931,Dominican Republic,5931.537916666666,3
75038,Dominican Republic,6995.916666666666,7
77012,Dominican Republic,5996.5,23
81141,Dominican Republic,5296.908333333333,4
81498,Dominican Republic,9494.458333333332,6
83836,Dominican Republic,239.86,8
86269,Dominican Republic,3997.6666666666665,2
87137,Dominican Republic,7995.333333333333,14
