,Country,Monthly_Sal_EUR,EdLevel
613,Ecuador,399.76666666666665,Professional degree
2696,Ecuador,34.97958333333333,Bachelor's degree
2771,Ecuador,99.94166666666666,Bachelor's degree
4668,Ecuador,319.81333333333333,Master's degree
5332,Ecuador,79.95333333333333,Master's degree
5381,Ecuador,349.79583333333335,Bachelor's degree
10870,Ecuador,219.87166666666667,Bachelor's degree
11180,Ecuador,179.895,Bachelor's degree
17274,Ecuador,154.90958333333333,Bachelor's degree
17598,Ecuador,99.94166666666666,Master's degree
19746,Ecuador,249.85416666666666,college/university without bachelor's degree
19809,Ecuador,109.93583333333333,Bachelor's degree
21519,Ecuador,8994.75,Bachelor's degree
21791,Ecuador,319.81333333333333,Bachelor's degree
23918,Ecuador,93.94516666666667,college/university without bachelor's degree
26047,Ecuador,209.8775,Bachelor's degree
30202,Ecuador,146.61442499999998,Bachelor's degree
32235,Ecuador,109.93583333333333,Bachelor's degree
32725,Ecuador,119.93,Bachelor's degree
33194,Ecuador,199.88333333333333,Bachelor's degree
33240,Ecuador,1319.23,Bachelor's degree
38937,Ecuador,229.8658333333333,Master's degree
39641,Ecuador,95.24440833333333,Bachelor's degree
57434,Ecuador,79.95333333333333,Associate degree
60529,Ecuador,2398.6,Bachelor's degree
61511,Ecuador,1599.0666666666666,Master's degree
