,Country,Monthly_Sal_EUR,YearsCodePro
1823,Egypt,534.6879166666666,1
2901,Egypt,149.9125,4
2953,Egypt,499.7083333333333,1
4545,Egypt,549.6791666666667,4
5866,Egypt,799.5333333333333,3
6325,Egypt,2498.5416666666665,5
6378,Egypt,1599.0666666666666,6
6758,Egypt,2498.5416666666665,3
7939,Egypt,1299.2416666666666,1
8860,Egypt,1099.3583333333333,5
8930,Egypt,2498.5416666666665,9
9015,Egypt,599.65,2
9889,Egypt,399.76666666666665,4
10704,Egypt,1699.0083333333334,3
11124,Egypt,1299.2416666666666,3
11372,Egypt,299.825,8
11502,Egypt,2298.6583333333333,15
12398,Egypt,74.95625,2
12946,Egypt,1199.3,2
13086,Egypt,699.5916666666667,1
13133,Egypt,1699.0083333333334,2
13393,Egypt,849.5041666666667,4
14418,Egypt,669.6091666666666,1
15082,Egypt,1998.8333333333333,3
15584,Egypt,1449.1541666666667,6
16694,Egypt,1499.125,9
17244,Egypt,979.4283333333333,1
18085,Egypt,799.5333333333333,4
19472,Egypt,719.58,3
19592,Egypt,1998.8333333333333,7
20362,Egypt,249.85416666666666,20
20933,Egypt,599.65,1
21427,Egypt,599.65,3
22490,Egypt,599.65,1
23104,Egypt,799.5333333333333,1
23247,Egypt,1399.1833333333334,3
23627,Egypt,2348.6291666666666,2
23667,Egypt,649.6208333333333,2
23703,Egypt,169.9008333333333,5
23987,Egypt,659.615,2
25458,Egypt,1199.3,2
25660,Egypt,649.6208333333333,1
25819,Egypt,1499.125,5
26212,Egypt,18589.15,2
26542,Egypt,999.4166666666666,5
26710,Egypt,399.76666666666665,4
29746,Egypt,1199.3,3
31038,Egypt,1299.2416666666666,9
31168,Egypt,1599.0666666666666,4
31419,Egypt,1699.0083333333334,5
32274,Egypt,14991.25,14
32435,Egypt,1199.3,2
32886,Egypt,79.95333333333333,2
33161,Egypt,1798.95,4
33699,Egypt,499.7083333333333,1
33808,Egypt,799.5333333333333,3
34140,Egypt,1399.1833333333334,1
34174,Egypt,1998.8333333333333,1
37951,Egypt,799.5333333333333,15
38077,Egypt,749.5625,1
38219,Egypt,69.95916666666666,1
38761,Egypt,149.9125,15
38769,Egypt,899.475,8
39914,Egypt,74.95625,4
40194,Egypt,1299.2416666666666,4
40600,Egypt,2748.395833333333,4
41091,Egypt,899.475,2
41147,Egypt,899.475,4
42147,Egypt,1399.1833333333334,1
42639,Egypt,11993.0,3
43158,Egypt,13991.833333333332,1
43351,Egypt,999.4166666666666,3
45246,Egypt,119.93,10
46216,Egypt,399.76666666666665,1
47116,Egypt,1998.8333333333333,14
47642,Egypt,1499.125,1
48458,Egypt,1029.3991666666666,5
49217,Egypt,399.76666666666665,10
49881,Egypt,479.72,1
50066,Egypt,3597.9,4
51361,Egypt,599.65,22
51543,Egypt,699.5916666666667,2
51707,Egypt,799.5333333333333,2
51978,Egypt,1833.929583333333,4
53427,Egypt,1199.3,3
53637,Egypt,204.88041666666666,7
53734,Egypt,399.76666666666665,1
54462,Egypt,99.94166666666666,15
57021,Egypt,499.7083333333333,1
57188,Egypt,7.995333333333333,5
57815,Egypt,1998.8333333333333,2
59239,Egypt,299.825,10
59867,Egypt,1499.125,3
60527,Egypt,1099.3583333333333,4
61087,Egypt,1998.8333333333333,5
62839,Egypt,19988.333333333332,6
63372,Egypt,999.4166666666666,5
63879,Egypt,779.5450000000001,2
64285,Egypt,1798.95,5
64480,Egypt,499.7083333333333,1
64924,Egypt,199.88333333333333,4
65006,Egypt,9994.166666666666,4
65359,Egypt,599.65,2
66037,Egypt,1239.2766666666666,7
66082,Egypt,2198.7166666666667,10
66820,Egypt,3298.075,18
67353,Egypt,599.65,9
67457,Egypt,999.4166666666666,1
67581,Egypt,299.825,1
67811,Egypt,2998.25,2
68324,Egypt,1599.0666666666666,3
69596,Egypt,986.0244833333333,5
70536,Egypt,4997.083333333333,12
71760,Egypt,299.825,4
72090,Egypt,1499.125,5
72611,Egypt,89.9475,6
72997,Egypt,4727.240833333333,8
73002,Egypt,999.4166666666666,5
73466,Egypt,1778.9616666666666,5
74036,Egypt,549.6791666666667,2
74467,Egypt,89.9475,10
75706,Egypt,1998.8333333333333,8
76202,Egypt,249.85416666666666,2
76666,Egypt,249.85416666666666,1
76874,Egypt,149.9125,1
77115,Egypt,1998.8333333333333,2
77280,Egypt,499.7083333333333,1
77749,Egypt,1399.1833333333334,1
77940,Egypt,119.93,5
78023,Egypt,1299.2416666666666,6
79266,Egypt,249.85416666666666,1
81314,Egypt,499.7083333333333,19
81369,Egypt,1399.1833333333334,2
82721,Egypt,894.4779166666667,1
83707,Egypt,2098.7749999999996,5
85577,Egypt,299.825,1
85666,Egypt,999.4166666666666,18
86442,Egypt,1299.2416666666666,4
86469,Egypt,123.02819166666667,2
87746,Egypt,1499.125,3
87813,Egypt,799.5333333333333,3
88257,Egypt,1429.1658333333335,1
