,Country,Monthly_Sal_EUR,YearsCodePro
3866,El Salvador,159.90666666666667,7
5140,El Salvador,2498.5416666666665,2
6638,El Salvador,3917.713333333333,10
7048,El Salvador,1998.8333333333333,6
8455,El Salvador,99.94166666666666,6
11202,El Salvador,124.92708333333333,4
12442,El Salvador,39.97666666666667,2
17092,El Salvador,69.95916666666666,1
17674,El Salvador,199.88333333333333,6
20515,El Salvador,69.95916666666666,3
25154,El Salvador,99.94166666666666,3
28106,El Salvador,199.88333333333333,10
29939,El Salvador,249.85416666666666,5
30548,El Salvador,99.94166666666666,1
35995,El Salvador,239.86,9
39702,El Salvador,1199.3,2
43389,El Salvador,239.86,10
45045,El Salvador,99.94166666666666,3
45442,El Salvador,271.8413333333333,7
49130,El Salvador,159.90666666666667,10
52423,El Salvador,189.88916666666665,4
52463,El Salvador,109.93583333333333,25
52672,El Salvador,64.96208333333334,1
54978,El Salvador,159.90666666666667,6
55204,El Salvador,349.79583333333335,8
59223,El Salvador,89.9475,3
61413,El Salvador,49.97083333333333,2
64148,El Salvador,6995.916666666666,6
66707,El Salvador,69.95916666666666,2
67511,El Salvador,219.87166666666667,4
67864,El Salvador,9994.166666666666,18
67940,El Salvador,149.9125,4
68700,El Salvador,51.96966666666666,2
71734,El Salvador,199.88333333333333,8
72133,El Salvador,139.91833333333332,4
72232,El Salvador,3.9976666666666665,1
73138,El Salvador,69.95916666666666,3
75507,El Salvador,1699.0083333333334,19
75827,El Salvador,13492.125,20
78010,El Salvador,279.83666666666664,6
80145,El Salvador,179.895,12
80584,El Salvador,49.27124166666667,8
80797,El Salvador,279.83666666666664,10
81021,El Salvador,184.89208333333332,10
81942,El Salvador,119.93,7
82641,El Salvador,129.92416666666668,6
