,Country,Monthly_Sal_EUR,EdLevel
4584,El Salvador,29.9825,college/university without bachelor's degree
9050,El Salvador,229.8658333333333,Master's degree
17044,El Salvador,199.88333333333333,Professional degree
28621,El Salvador,89.9475,Bachelor's degree
29537,El Salvador,2798.366666666667,Bachelor's degree
30104,El Salvador,129.92416666666668,Bachelor's degree
34675,El Salvador,1299.2416666666666,Professional degree
34902,El Salvador,59.965,Professional degree
34973,El Salvador,149.9125,Professional degree
46639,El Salvador,3697.8416666666662,Bachelor's degree
51209,El Salvador,123.32801666666667,Bachelor's degree
52155,El Salvador,29.9825,college/university without bachelor's degree
52168,El Salvador,69.95916666666666,Master's degree
56734,El Salvador,159.00719166666667,Bachelor's degree
62274,El Salvador,12.492708333333333,Bachelor's degree
63650,El Salvador,129.92416666666668,Professional degree
65880,El Salvador,9994.166666666666,Bachelor's degree
66846,El Salvador,69.95916666666666,Bachelor's degree
67053,El Salvador,69.95916666666666,Bachelor's degree
70329,El Salvador,1679.02,Bachelor's degree
77813,El Salvador,199.88333333333333,Bachelor's degree
