,Country,Monthly_Sal_EUR,EdLevel
126,Estonia,2150.5376344086,Master's degree
1746,Estonia,2240.1433691756247,college/university without bachelor's degree
4035,Estonia,230.01792114695334,college/university without bachelor's degree
5062,Estonia,5376.344086021508,Bachelor's degree
5642,Estonia,71.68458781362008,Secondary school
6201,Estonia,4838.709677419358,I prefer not to answer
6668,Estonia,4223.655913978491,Secondary school
7405,Estonia,134.4086021505375,Bachelor's degree
7618,Estonia,1612.9032258064499,Bachelor's degree
9471,Estonia,2508.9605734767,Bachelor's degree
10666,Estonia,2643.3691756272415,Bachelor's degree
11276,Estonia,2903.2258064516163,Master's degree
11355,Estonia,1792.1146953404998,Bachelor's degree
12288,Estonia,152.3297491039425,Secondary school
14358,Estonia,3584.2293906809996,college/university without bachelor's degree
15748,Estonia,1971.3261648745497,Bachelor's degree
18055,Estonia,1397.8494623655915,Secondary school
29061,Estonia,3010.7526881720414,Secondary school
33837,Estonia,4121.86379928315,college/university without bachelor's degree
40375,Estonia,3136.200716845875,Master's degree
41176,Estonia,2903.2258064516163,Bachelor's degree
42982,Estonia,4301.0752688172,Master's degree
44131,Estonia,3763.4408602150497,Master's degree
44204,Estonia,1720.4301075268834,Secondary school
47599,Estonia,2688.17204301075,Bachelor's degree
