,Country,Monthly_Sal_EUR,YearsCodePro
2040,Estonia,6296.325000000001,6
5037,Estonia,199.88333333333333,2
7116,Estonia,199.88333333333333,3
7331,Estonia,237.36145833333333,10
8978,Estonia,6995.916666666666,21
9743,Estonia,757.5578333333333,8
12822,Estonia,324.0108833333333,8
13123,Estonia,3497.958333333333,2
13836,Estonia,549.6791666666667,11
15643,Estonia,314.81624999999997,4
15847,Estonia,124.92708333333333,2
15925,Estonia,399.76666666666665,8
16524,Estonia,359.79,6
17461,Estonia,99.94166666666666,2
18024,Estonia,339.8016666666666,6
18074,Estonia,107.93700000000001,2
20852,Estonia,499.7083333333333,16
21509,Estonia,509.7025,1
22957,Estonia,299.825,2
23271,Estonia,199.88333333333333,1
23345,Estonia,69.95916666666666,10
23597,Estonia,349.79583333333335,8
23745,Estonia,99.94166666666666,7
23815,Estonia,319.81333333333333,7
24300,Estonia,219.87166666666667,3
24583,Estonia,349.79583333333335,7
24892,Estonia,349.79583333333335,10
25769,Estonia,149.9125,2
29460,Estonia,519.6966666666667,11
29831,Estonia,344.79875,7
31574,Estonia,6796.033333333334,25
31684,Estonia,269.8425,4
32708,Estonia,299.825,16
33064,Estonia,449.7375,6
34549,Estonia,5756.64,9
34575,Estonia,439.74333333333334,6
36757,Estonia,669.6091666666666,13
36826,Estonia,519.6966666666667,8
36958,Estonia,159.90666666666667,9
36987,Estonia,199.88333333333333,4
37040,Estonia,419.755,8
37825,Estonia,349.79583333333335,6
39474,Estonia,279.83666666666664,2
41568,Estonia,189.88916666666665,2
41685,Estonia,299.825,1
41771,Estonia,189.88916666666665,5
41804,Estonia,189.88916666666665,5
42387,Estonia,179.895,3
42556,Estonia,8495.041666666666,20
42557,Estonia,99.94166666666666,4
42723,Estonia,199.88333333333333,3
42733,Estonia,349.79583333333335,13
45565,Estonia,249.85416666666666,15
45959,Estonia,459.7316666666666,5
48235,Estonia,3897.7250000000004,9
48482,Estonia,439.74333333333334,25
48639,Estonia,4652.284583333333,23
48951,Estonia,369.78416666666664,13
49679,Estonia,349.79583333333335,5
50342,Estonia,349.79583333333335,3
50398,Estonia,519.6966666666667,8
51894,Estonia,199.88333333333333,32
54136,Estonia,4997.083333333333,7
54808,Estonia,419.755,3
55287,Estonia,1199.3,15
57747,Estonia,443.741,19
58241,Estonia,474.72291666666666,7
58552,Estonia,55.967333333333336,3
58823,Estonia,379.7783333333333,6
60536,Estonia,5396.85,10
62838,Estonia,508.7030833333333,8
63259,Estonia,5996.5,7
64477,Estonia,399.76666666666665,17
65478,Estonia,307.52050833333334,6
65703,Estonia,5696.675,7
68277,Estonia,348.59653333333335,21
70447,Estonia,549.6791666666667,4
70688,Estonia,609.6441666666667,16
72799,Estonia,99.94166666666666,1
76296,Estonia,254.85125,2
76714,Estonia,4997.083333333333,5
77321,Estonia,259.84833333333336,3
79287,Estonia,139.91833333333332,1
79729,Estonia,337.303125,9
82895,Estonia,224.86875,2
82949,Estonia,256.5502583333333,4
83162,Estonia,989.4224999999999,15
