,Country,Monthly_Sal_EUR,YearsCodePro
349,Finland,5651.1016,3
540,Finland,4403.8296,0
920,Finland,3669.4582333333333,3
1371,Finland,5988.104899999999,18
1401,Finland,4770.8153999999995,0
1423,Finland,7192.2020999999995,15
2135,Finland,5137.8012,9
2197,Finland,7339.016408333333,15
2675,Finland,4329.473,3
2825,Finland,7338.5167,6
2955,Finland,5137.8012,9
2994,Finland,3376.0294999999996,0
3158,Finland,7522.409366666667,6
3267,Finland,6752.058999999999,6
3473,Finland,4403.8296,3
3836,Finland,4403.429833333334,0
4378,Finland,5871.7728,6
4549,Finland,6604.5451,9
4672,Finland,9100.2884,15
4871,Finland,7632.3452,6
5242,Finland,3376.0294999999996,0
5303,Finland,6972.030608333333,12
5434,Finland,4696.4588,6
5509,Finland,7339.016408333333,9
6416,Finland,5871.7728,3
6551,Finland,5137.8012,9
6641,Finland,7192.2020999999995,9
7317,Finland,5871.7728,9
8055,Finland,6604.5451,18
8283,Finland,5137.8012,3
8895,Finland,7338.5167,21
9003,Finland,5871.7728,15
9377,Finland,7338.5167,9
9615,Finland,5284.1158,3
10292,Finland,5284.1158,12
10512,Finland,5259.630091666666,3
10566,Finland,5137.8012,18
10771,Finland,5284.1158,9
11005,Finland,3404.8126999999995,3
11419,Finland,7779.8591,15
11488,Finland,5871.7728,3
11492,Finland,7339.016408333333,6
11565,Finland,6482.81615,3
11927,Finland,3669.858,0
12195,Finland,12231.6607,18
12258,Finland,5871.7728,6
12483,Finland,10568.2316,6
12563,Finland,4256.3157,3
12725,Finland,5043.0565,9
12892,Finland,7632.3452,9
12965,Finland,6018.0874,3
13267,Finland,6605.044808333333,6
13393,Finland,6458.2305,3
13474,Finland,4892.6442916666665,9
13587,Finland,4403.8296,0
13875,Finland,8562.102524999998,12
13880,Finland,6752.058999999999,3
14414,Finland,7045.887500000001,15
14750,Finland,5577.9443,15
14891,Finland,5284.1158,0
15047,Finland,8220.002199999999,18
15256,Finland,4110.0010999999995,0
16364,Finland,6091.2447,6
16695,Finland,7045.887500000001,21
16886,Finland,4696.4588,0
17204,Finland,7456.0481,6
17261,Finland,3449.1868,0
17815,Finland,5793.8183,3
17976,Finland,5284.1158,9
18069,Finland,6458.2305,18
18108,Finland,5430.430399999999,3
18137,Finland,3669.858,0
18223,Finland,5284.1158,9
19055,Finland,5871.7728,6
19237,Finland,4183.1584,3
19251,Finland,4403.429833333334,15
19315,Finland,4403.8296,0
19595,Finland,6458.2305,18
19919,Finland,3082.201,3
20003,Finland,3082.201,3
20786,Finland,6360.48755,21
20994,Finland,3522.3441000000003,0
21208,Finland,4550.1442,9
21841,Finland,6604.5451,18
22457,Finland,10335.767283333333,21
22513,Finland,8161.2365,12
22628,Finland,8072.488299999999,3
22799,Finland,3889.3298999999997,0
22853,Finland,4329.473,6
23386,Finland,3082.201,6
23895,Finland,5871.7728,3
24155,Finland,6604.5451,15
24197,Finland,5533.5702,3
24292,Finland,3229.7149,0
24801,Finland,3522.3441000000003,0
25533,Finland,9173.4457,3
25773,Finland,5137.8012,18
26182,Finland,5871.7728,18
26401,Finland,5137.8012,6
26867,Finland,4110.0010999999995,3
28017,Finland,8806.4599,18
28488,Finland,3962.4872,0
28521,Finland,2935.8864,0
28730,Finland,4256.3157,0
28815,Finland,4158.772633333333,0
29066,Finland,10421.917,15
29252,Finland,3669.858,6
29738,Finland,8806.759725,9
