,Country,Monthly_Sal_EUR,EdLevel
150,Finland,8994.75,Master's degree
905,Finland,419.755,Master's degree
921,Finland,364.78708333333327,Bachelor's degree
1004,Finland,7795.450000000001,college/university without bachelor's degree
1021,Finland,384.7754166666667,Secondary school
1121,Finland,3997.6666666666665,Secondary school
1200,Finland,499.7083333333333,Master's degree
1267,Finland,26.184716666666667,Secondary school
1659,Finland,342.79991666666666,Master's degree
1838,Finland,459.7316666666666,Master's degree
1840,Finland,199.88333333333333,Master's degree
2218,Finland,279.83666666666664,college/university without bachelor's degree
2688,Finland,4397.433333333333,Bachelor's degree
2941,Finland,398.9671333333333,college/university without bachelor's degree
3003,Finland,449.7375,Master's degree
3437,Finland,999.4166666666666,Secondary school
3657,Finland,179.895,Secondary school
3861,Finland,5376.861666666667,Bachelor's degree
3901,Finland,539.685,Secondary school
3996,Finland,149.9125,Bachelor's degree
4038,Finland,3997.6666666666665,college/university without bachelor's degree
4148,Finland,6396.266666666666,Master's degree
4653,Finland,424.75208333333336,Master's degree
4754,Finland,509.7025,Master's degree
4844,Finland,399.76666666666665,Master's degree
5549,Finland,399.76666666666665,Bachelor's degree
5913,Finland,374.78125,Doctoral degree
6089,Finland,319.81333333333333,Secondary school
6508,Finland,49.97083333333333,Secondary school
6521,Finland,4897.141666666666,Bachelor's degree
7422,Finland,311.818,Bachelor's degree
7810,Finland,329.8075,Master's degree
7852,Finland,409.7608333333333,Bachelor's degree
8165,Finland,339.8016666666666,college/university without bachelor's degree
8630,Finland,399.76666666666665,Secondary school
8669,Finland,319.81333333333333,Bachelor's degree
8690,Finland,6496.208333333333,Master's degree
8815,Finland,299.825,college/university without bachelor's degree
9043,Finland,5996.5,Bachelor's degree
9287,Finland,6995.916666666666,Professional degree
9776,Finland,75.5559,Bachelor's degree
9932,Finland,3497.958333333333,Secondary school
10113,Finland,409.7608333333333,college/university without bachelor's degree
10927,Finland,4097.608333333334,college/university without bachelor's degree
11725,Finland,419.755,Bachelor's degree
11803,Finland,249.85416666666666,Master's degree
12202,Finland,309.81916666666666,Bachelor's degree
12289,Finland,449.7375,Secondary school
12368,Finland,399.76666666666665,Bachelor's degree
12427,Finland,6496.208333333333,Master's degree
12763,Finland,4497.375,Bachelor's degree
12966,Finland,479.72,Master's degree
