,Country,Monthly_Sal_EUR,YearsCodePro
57,France,1320.4293,0
81,France,5259.630091666666,9
145,France,5504.287291666666,0
161,France,4281.101233333333,6
164,France,6482.81615,9
309,France,3791.7868333333336,3
336,France,3669.4582333333333,6
370,France,3975.2797333333333,6
393,France,3669.858,6
397,France,1908.0863,6
439,France,4158.772633333333,0
486,France,3669.858,3
521,France,6604.5451,18
542,France,2348.2294,0
544,France,4892.6442916666665,21
576,France,4158.772633333333,0
598,France,7950.559466666667,6
680,France,5229.047941666667,3
793,France,3914.1154333333334,3
823,France,4036.444033333333,3
828,France,3424.9009749999996,3
855,France,5810.008849999999,15
930,France,5871.7728,6
1080,France,7339.016408333333,6
1265,France,7338.5167,18
1266,France,5626.515949999999,3
1440,France,3914.1154333333334,3
1567,France,3914.1154333333334,0
1622,France,5504.287291666666,6
1630,France,4464.594133333333,0
1642,France,3914.1154333333334,3
1688,France,1687.4151000000002,0
1692,France,4892.6442916666665,0
1726,France,7216.687808333333,18
1747,France,4892.6442916666665,0
1762,France,3057.915175,6
1895,France,4513.465608333333,3
1934,France,2348.2294,0
1964,France,6360.48755,6
2033,France,4036.444033333333,0
2133,France,4892.6442916666665,0
2162,France,4403.8296,6
2175,France,5137.301491666667,12
2216,France,5137.8012,3
2351,France,7338.5167,6
2373,France,5626.515949999999,0
2383,France,1761.7716999999998,0
2603,France,3914.1154333333334,3
2673,France,6115.83035,3
2773,France,5993.50175,3
2916,France,4158.772633333333,3
2938,France,5871.7728,15
3015,France,2862.7290999999996,0
3056,France,3669.4582333333333,3
3123,France,3669.858,6
3163,France,6115.83035,3
3219,France,3914.1154333333334,6
3290,France,5014.972891666666,0
3394,France,5504.287291666666,3
3416,France,3240.5085999999997,0
3604,France,1614.2577999999999,0
3671,France,4281.101233333333,15
3786,France,733.9716,0
3809,France,3229.7149,0
3830,France,4256.615524999999,9
3910,France,1908.0863,3
3947,France,5137.301491666667,6
3970,France,3816.1726,6
3976,France,4709.151391666666,3
3989,France,3547.129633333333,3
3993,France,4770.315691666667,0
4126,France,9785.288583333333,12
4175,France,3229.7149,9
4357,France,6237.559299999999,12
4443,France,4570.932066666666,3
4585,France,4342.265533333333,0
4645,France,4403.8296,6
4702,France,5504.287291666666,9
4707,France,2201.9148,3
4763,France,6605.044808333333,9
4829,France,5871.7728,24
4890,France,11008.474641666668,6
4965,France,4158.772633333333,0
4977,France,1467.8432583333333,0
5007,France,6238.158949999999,3
5068,France,4892.6442916666665,0
5080,France,4403.8296,9
5221,France,5504.287291666666,0
5282,France,5137.8012,3
5287,France,3082.201,0
5324,France,11008.474641666668,15
5602,France,2690.9293749999997,0
5630,France,5993.50175,3
5652,France,5137.301491666667,6
5754,France,4892.6442916666665,12
5774,France,4525.658491666667,6
5884,France,4892.6442916666665,6
6103,France,2935.8864,3
6116,France,4525.658491666667,0
6304,France,7620.352199999999,12
6364,France,9785.288583333333,12
6379,France,11008.474641666668,9
6431,France,12353.989300000001,18
6457,France,5137.8012,6
6520,France,4647.987091666666,0
6699,France,2935.586575,3
6720,France,5259.630091666666,6
6901,France,2319.4462,3
7095,France,7339.016408333333,18
7099,France,4403.429833333334,3
7206,France,6115.83035,3
7254,France,9785.288583333333,3
7274,France,5137.301491666667,18
7283,France,6972.030608333333,3
7377,France,4647.987091666666,0
7394,France,3914.1154333333334,3
7510,France,5748.84455,6
7525,France,4647.987091666666,15
7603,France,5504.287291666666,3
7614,France,4647.987091666666,3
7619,France,5137.301491666667,6
7650,France,1981.2436,3
7674,France,5871.17315,6
7692,France,6115.83035,27
7716,France,3180.243775,9
7755,France,4647.987091666666,3
7760,France,2495.7433,0
7870,France,3669.858,6
8004,France,5626.515949999999,9
8341,France,5504.287291666666,0
8422,France,4647.987091666666,9
8425,France,2465.7608,0
8495,France,5137.301491666667,0
8522,France,4525.658491666667,3
8645,France,9785.288583333333,30
8665,France,6727.373408333333,3
8797,France,8072.888066666666,12
8827,France,4403.429833333334,9
8866,France,1820.5374000000002,0
8890,France,3424.9009749999996,3
8899,France,4403.8296,3
9023,France,7339.016408333333,12
9054,France,5137.301491666667,0
9070,France,7339.016408333333,3
9163,France,5137.301491666667,3
9198,France,10091.110083333333,21
9235,France,4036.444033333333,0
9236,France,2935.8864,6
9289,France,3669.4582333333333,3
9353,France,6115.83035,0
9439,France,2963.4703,0
9448,France,4892.6442916666665,3
9475,France,5137.301491666667,9
9827,France,7461.345008333334,12
9854,France,4158.772633333333,9
9951,France,4623.601325,3
9984,France,4403.429833333334,3
10059,France,5137.301491666667,3
10341,France,3424.9009749999996,0
10350,France,4403.429833333334,12
10358,France,8806.759725,21
10359,France,5748.84455,3
10458,France,4403.429833333334,3
10571,France,5137.301491666667,0
10673,France,7488.4292,9
10755,France,5871.17315,0
10757,France,3669.4582333333333,9
10762,France,7617.953600000001,12
10820,France,5137.8012,3
10845,France,4281.101233333333,3
10934,France,4525.658491666667,12
10945,France,8439.873866666667,12
11051,France,5014.972891666666,0
11135,France,3057.915175,0
11172,France,5504.287291666666,3
11215,France,6727.373408333333,3
11277,France,4525.658491666667,3
11354,France,6115.83035,3
11378,France,6727.373408333333,3
11525,France,5504.287291666666,9
11603,France,4158.772633333333,0
11715,France,4183.1584,3
11753,France,3795.7845,3
11795,France,3363.736675,3
12058,France,4281.101233333333,0
12127,France,5504.287291666666,3
12136,France,4403.429833333334,0
12194,France,5871.17315,0
12248,France,3449.286741666667,3
12295,France,5871.17315,18
12299,France,15749.207600000002,15
12398,France,3816.2725416666663,3
12451,France,3914.1154333333334,3
12456,France,5137.301491666667,3
12500,France,5871.17315,3
12544,France,6115.83035,15
12584,France,7339.016408333333,9
12662,France,7950.559466666667,3
12688,France,4158.772633333333,0
12815,France,4403.429833333334,0
12882,France,3914.1154333333334,0
12934,France,5871.17315,3
13026,France,3608.2939333333334,0
13068,France,4482.883458333334,0
13070,France,6360.48755,9
13086,France,4403.429833333334,3
13150,France,7094.359208333333,6
13320,France,3180.243775,0
13637,France,4862.062141666666,6
