,Country,Monthly_Sal_EUR,EdLevel
44,France,3398.016666666667,Master's degree
45,France,3497.958333333333,Master's degree
85,France,199.88333333333333,Bachelor's degree
90,France,5296.908333333333,Bachelor's degree
187,France,4897.141666666666,Master's degree
214,France,3797.7833333333333,Master's degree
218,France,216.87341666666669,Master's degree
219,France,4497.375,Master's degree
256,France,3997.6666666666665,Doctoral degree
284,France,189.88916666666665,Professional degree
294,France,5496.791666666666,Professional degree
574,France,4997.083333333333,Master's degree
601,France,3497.958333333333,Bachelor's degree
695,France,6496.208333333333,Master's degree
737,France,999.4166666666666,college/university without bachelor's degree
1003,France,374.78125,Master's degree
1060,France,149.9125,Bachelor's degree
1439,France,4297.491666666667,Bachelor's degree
1465,France,4197.549999999999,Master's degree
1567,France,6995.916666666666,Professional degree
1615,France,3797.7833333333333,Master's degree
1672,France,5246.9375,Professional degree
1799,France,5996.5,Master's degree
1957,France,209.8775,Master's degree
1996,France,5696.675,Master's degree
2658,France,4997.083333333333,Master's degree
2681,France,239.86,Master's degree
2684,France,6396.266666666666,Master's degree
2817,France,4997.083333333333,Master's degree
3477,France,3997.6666666666665,Master's degree
3659,France,4797.2,Master's degree
3750,France,4997.083333333333,Master's degree
3813,France,8994.75,Master's degree
3906,France,3497.958333333333,Bachelor's degree
4175,France,3797.7833333333333,Bachelor's degree
4193,France,9494.458333333332,Doctoral degree
4263,France,7195.8,Doctoral degree
4488,France,4497.375,Master's degree
4618,France,6995.916666666666,college/university without bachelor's degree
4631,France,1072.3740833333331,Master's degree
4798,France,4257.514999999999,Master's degree
4910,France,7795.450000000001,college/university without bachelor's degree
4997,France,299.825,Master's degree
5458,France,3897.7250000000004,college/university without bachelor's degree
5517,France,99.94166666666666,college/university without bachelor's degree
6715,France,299.825,Master's degree
6765,France,6496.208333333333,Master's degree
6869,France,3997.6666666666665,Bachelor's degree
6933,France,6396.266666666666,Doctoral degree
6973,France,309.81916666666666,Master's degree
7032,France,2338.6349999999998,Bachelor's degree
7040,France,2798.366666666667,Bachelor's degree
7211,France,259.84833333333336,Bachelor's degree
7220,France,8994.75,Master's degree
7358,France,249.85416666666666,Doctoral degree
7393,France,3497.958333333333,Master's degree
7524,France,9994.166666666666,Master's degree
7742,France,109.93583333333333,Master's degree
7753,France,3198.133333333333,Master's degree
7799,France,279.83666666666664,Master's degree
7848,France,5496.791666666666,Master's degree
7866,France,4597.316666666667,Master's degree
7977,France,5496.791666666666,Master's degree
8023,France,3497.958333333333,Bachelor's degree
8061,France,3997.6666666666665,Professional degree
8064,France,121.1293,Master's degree
8078,France,3198.133333333333,Professional degree
8085,France,3597.9,Master's degree
8127,France,3797.7833333333333,Master's degree
8218,France,9934.201666666666,Associate degree
8219,France,1798.95,Bachelor's degree
8274,France,4497.375,Doctoral degree
8277,France,299.825,Master's degree
8287,France,3597.9,Master's degree
8309,France,4997.083333333333,Master's degree
8326,France,4097.608333333334,Master's degree
8333,France,5097.025,Master's degree
8404,France,5097.025,Master's degree
8410,France,3298.075,Master's degree
8434,France,4997.083333333333,Master's degree
8461,France,7995.333333333333,Master's degree
8468,France,6296.325000000001,Master's degree
8494,France,3997.6666666666665,Master's degree
8586,France,5296.908333333333,Master's degree
8604,France,5996.5,Master's degree
8689,France,6396.266666666666,Master's degree
8695,France,5996.5,Master's degree
8821,France,3198.133333333333,Master's degree
8838,France,2998.25,Master's degree
8897,France,4697.258333333333,Master's degree
8912,France,4697.258333333333,Master's degree
8966,France,2998.25,Bachelor's degree
8967,France,4297.491666666667,Master's degree
9003,France,3597.9,Doctoral degree
9042,France,3198.133333333333,Bachelor's degree
9059,France,5196.966666666666,Master's degree
9074,France,4997.083333333333,Master's degree
9113,France,4797.2,Master's degree
9115,France,5296.908333333333,Master's degree
9128,France,6496.208333333333,Master's degree
9135,France,134.92125,college/university without bachelor's degree
9138,France,3597.9,Associate degree
9203,France,269.8425,Master's degree
9217,France,4997.083333333333,Professional degree
9221,France,5796.616666666667,Master's degree
9241,France,246.85591666666667,Master's degree
9247,France,164.90375,Doctoral degree
9290,France,4297.491666666667,Master's degree
9363,France,4997.083333333333,Master's degree
9391,France,3747.8125,Master's degree
9455,France,6796.033333333334,Master's degree
9489,France,5296.908333333333,Master's degree
9492,France,4497.375,Bachelor's degree
9512,France,7495.625,Master's degree
9514,France,4497.375,Bachelor's degree
9525,France,4397.433333333333,Master's degree
9537,France,3198.133333333333,Master's degree
9542,France,3497.958333333333,Bachelor's degree
9556,France,312.81741666666665,Master's degree
9579,France,5596.733333333334,Master's degree
9584,France,4397.433333333333,Bachelor's degree
9641,France,2922.2943333333333,Bachelor's degree
9651,France,299.825,Bachelor's degree
9685,France,6995.916666666666,Master's degree
9691,France,299.825,Master's degree
9719,France,159.90666666666667,Master's degree
9726,France,4597.316666666667,Master's degree
9741,France,4297.491666666667,Master's degree
9765,France,249.85416666666666,Associate degree
9890,France,4097.608333333334,Master's degree
10011,France,3997.6666666666665,Master's degree
10046,France,161.9055,Associate degree
10059,France,4297.491666666667,Doctoral degree
10091,France,250.85358333333332,Bachelor's degree
