,Country,Monthly_Sal_EUR,YearsCodePro
1121,Georgia,2452.5685,9
2853,Georgia,1679.02,9
6925,Georgia,1798.95,9
7977,Georgia,6995.916666666666,9
8412,Georgia,1168.1182,3
17452,Georgia,3229.7149,3
22875,Georgia,140.3181,0
26410,Georgia,2398.6,3
29287,Georgia,1232.8804,3
34876,Georgia,3309.5682916666665,0
42367,Georgia,175.0978,0
43761,Georgia,2920.2955,3
44359,Georgia,224.2691,0
50683,Georgia,1513.5166,3
54776,Georgia,3270.4910999999997,9
55624,Georgia,793.9366,0
73801,Georgia,327.4089,0
75649,Georgia,1079.37,0
80694,Georgia,419.755,0
