,Country,Monthly_Sal_EUR,EdLevel
4680,Georgia,299.825,Primary/elementary school
4681,Georgia,99.94166666666666,Bachelor's degree
5908,Georgia,499.7083333333333,Master's degree
7433,Georgia,599.65,Master's degree
9549,Georgia,149.9125,Bachelor's degree
9616,Georgia,149.9125,college/university without bachelor's degree
13560,Georgia,629.6324999999999,Master's degree
13948,Georgia,369.78416666666664,Secondary school
14843,Georgia,299.825,Bachelor's degree
15365,Georgia,669.6091666666666,Bachelor's degree
17724,Georgia,1099.3583333333333,Bachelor's degree
19752,Georgia,69.95916666666666,Bachelor's degree
32765,Georgia,179.895,Bachelor's degree
33811,Georgia,79.95333333333333,Bachelor's degree
34002,Georgia,134.92125,college/university without bachelor's degree
37082,Georgia,299.825,Bachelor's degree
37519,Georgia,249.85416666666666,Doctoral degree
38738,Georgia,499.7083333333333,Bachelor's degree
42558,Georgia,369.78416666666664,Bachelor's degree
42849,Georgia,399.76666666666665,Bachelor's degree
46764,Georgia,9.994166666666667,Primary/elementary school
48270,Georgia,299.825,Bachelor's degree
52349,Georgia,109.93583333333333,Bachelor's degree
52487,Georgia,499.7083333333333,Bachelor's degree
52518,Georgia,849.5041666666667,Bachelor's degree
54960,Georgia,199.88333333333333,Master's degree
58956,Georgia,199.88333333333333,Bachelor's degree
59683,Georgia,349.79583333333335,college/university without bachelor's degree
59981,Georgia,62.463541666666664,Bachelor's degree
61436,Georgia,299.825,Bachelor's degree
62431,Georgia,499.7083333333333,college/university without bachelor's degree
64203,Georgia,179.895,Secondary school
64576,Georgia,699.5916666666667,college/university without bachelor's degree
66211,Georgia,799.5333333333333,Professional degree
67279,Georgia,99.94166666666666,Bachelor's degree
68518,Georgia,119.93,Bachelor's degree
70682,Georgia,79.95333333333333,Secondary school
72336,Georgia,119.93,college/university without bachelor's degree
72637,Georgia,619.6383333333333,Bachelor's degree
75695,Georgia,119.93,Bachelor's degree
76304,Georgia,479.72,Bachelor's degree
76794,Georgia,249.85416666666666,Master's degree
79933,Georgia,199.88333333333333,Master's degree
81521,Georgia,109.93583333333333,Bachelor's degree
82455,Georgia,5756.64,Master's degree
82638,Georgia,699.5916666666667,Bachelor's degree
83576,Georgia,149.9125,Bachelor's degree
