,Country,Monthly_Sal_EUR,YearsCodePro
53,Germany,7338.5167,9
63,Germany,4892.6442916666665,0
105,Germany,3522.3441000000003,3
160,Germany,6164.402,3
175,Germany,4892.6442916666665,6
184,Germany,3962.4872,6
199,Germany,12231.6607,15
201,Germany,1174.1147,3
229,Germany,7950.559466666667,3
244,Germany,5871.17315,6
255,Germany,954.6428000000001,3
314,Germany,844.3072,0
323,Germany,5284.1158,0
381,Germany,2201.9148,0
490,Germany,5137.8012,6
511,Germany,7339.016408333333,6
527,Germany,4036.8437999999996,3
538,Germany,17124.304991666664,12
561,Germany,4696.4588,3
563,Germany,1908.0863,0
603,Germany,6115.83035,3
607,Germany,6849.702008333334,9
627,Germany,11008.474641666668,9
644,Germany,1761.7716999999998,3
831,Germany,11008.474641666668,9
838,Germany,660.8143,0
873,Germany,4617.305,0
931,Germany,3816.1726,3
962,Germany,2201.9148,0
965,Germany,6115.83035,3
968,Germany,7583.573666666667,12
970,Germany,9540.631383333333,3
976,Germany,8439.873866666667,6
985,Germany,8562.102524999998,9
1000,Germany,8929.088325,12
1008,Germany,5504.287291666666,3
1012,Germany,8195.216666666667,15
1146,Germany,4623.3015,6
1150,Germany,2759.5893,6
1156,Germany,6360.48755,0
1184,Germany,3816.1726,3
1221,Germany,6311.9159,12
1254,Germany,8023.91665,15
1269,Germany,11008.474641666668,21
1281,Germany,3962.4872,12
1293,Germany,5871.17315,6
1326,Germany,7155.523508333333,3
1337,Germany,5871.17315,3
1350,Germany,1467.9432,3
1407,Germany,6115.83035,0
1414,Germany,7339.016408333333,15
1422,Germany,6018.0874,9
1453,Germany,8806.4599,3
1457,Germany,4709.151391666666,3
1481,Germany,5871.7728,6
1486,Germany,5687.680249999999,3
1492,Germany,12231.6607,9
1518,Germany,2201.9148,0
1551,Germany,6727.373408333333,3
1579,Germany,3390.4211,3
1587,Germany,660.8143,0
1633,Germany,7339.016408333333,12
1667,Germany,7339.016408333333,15
1702,Germany,9785.288583333333,9
1715,Germany,6421.651849999999,9
1739,Germany,4403.8296,9
1755,Germany,7485.730775,3
1811,Germany,5871.7728,3
1896,Germany,3449.1868,3
1908,Germany,4892.6442916666665,6
1920,Germany,4770.315691666667,6
1979,Germany,11008.474641666668,21
1997,Germany,1224.2854166666666,3
2071,Germany,8317.545266666666,12
2079,Germany,4696.4588,0
2102,Germany,8256.380966666666,6
2155,Germany,5137.301491666667,3
2165,Germany,9173.745524999998,6
2177,Germany,5871.7728,0
2215,Germany,9785.288583333333,30
2233,Germany,6727.373408333333,0
2235,Germany,5995.90035,0
2248,Germany,6666.2091083333335,9
2265,Germany,9173.745524999998,30
2269,Germany,7339.016408333333,6
2278,Germany,6238.158949999999,6
2333,Germany,10274.602983333334,15
2349,Germany,4696.4588,3
2384,Germany,7338.5167,3
2467,Germany,8562.102524999998,3
2531,Germany,1394.7859,3
2625,Germany,9173.745524999998,3
2627,Germany,5137.301491666667,0
2693,Germany,3889.3298999999997,3
2721,Germany,5137.8012,9
2730,Germany,3229.7149,0
2740,Germany,8317.545266666666,12
2781,Germany,8562.102524999998,6
2794,Germany,9173.745524999998,12
2826,Germany,2495.7433,0
2911,Germany,1467.9432,6
2935,Germany,8439.873866666667,9
2972,Germany,6115.83035,9
3017,Germany,1467.9432,0
3021,Germany,5137.301491666667,0
3022,Germany,6727.373408333333,0
3047,Germany,3522.3441000000003,6
3059,Germany,1247.272,0
3096,Germany,7950.559466666667,6
3164,Germany,4281.101233333333,3
3173,Germany,11742.3463,9
