,Country,Monthly_Sal_EUR,EdLevel
23,Germany,8495.041666666666,Professional degree
104,Germany,354.79291666666666,Professional degree
118,Germany,5696.675,Associate degree
135,Germany,11993.0,college/university without bachelor's degree
146,Germany,419.755,Bachelor's degree
164,Germany,4497.375,Doctoral degree
178,Germany,3198.133333333333,Bachelor's degree
180,Germany,5496.791666666666,Bachelor's degree
210,Germany,7495.625,Bachelor's degree
316,Germany,9994.166666666666,Master's degree
361,Germany,8994.75,Bachelor's degree
424,Germany,5696.675,Bachelor's degree
463,Germany,9894.224999999999,Professional degree
467,Germany,4397.433333333333,Bachelor's degree
471,Germany,4647.2875,Master's degree
494,Germany,349.79583333333335,Master's degree
507,Germany,7495.625,Bachelor's degree
561,Germany,329.8075,Bachelor's degree
605,Germany,399.76666666666665,Master's degree
633,Germany,399.76666666666665,Master's degree
668,Germany,6796.033333333334,Master's degree
699,Germany,4337.468333333333,Master's degree
728,Germany,19.988333333333333,Bachelor's degree
773,Germany,3597.9,Master's degree
803,Germany,10993.583333333332,Bachelor's degree
821,Germany,5996.5,Bachelor's degree
847,Germany,4797.2,Master's degree
871,Germany,7995.333333333333,Master's degree
893,Germany,6995.916666666666,Master's degree
897,Germany,5496.791666666666,Master's degree
924,Germany,299.825,Master's degree
953,Germany,3597.9,Associate degree
971,Germany,749.5625,Bachelor's degree
1004,Germany,329.8075,Secondary school
1177,Germany,8095.275,Master's degree
1234,Germany,372.7824166666667,Master's degree
1261,Germany,429.7491666666666,Bachelor's degree
1283,Germany,199.88333333333333,Associate degree
1417,Germany,6995.916666666666,college/university without bachelor's degree
1437,Germany,6396.266666666666,Doctoral degree
1462,Germany,4697.258333333333,Bachelor's degree
1470,Germany,5496.791666666666,Bachelor's degree
1540,Germany,7495.625,Master's degree
1590,Germany,5496.791666666666,Bachelor's degree
1602,Germany,94.94458333333333,Secondary school
1696,Germany,5996.5,Professional degree
1826,Germany,579.6616666666666,Secondary school
1850,Germany,5067.0425,college/university without bachelor's degree
1866,Germany,7195.8,Master's degree
1909,Germany,6746.0625,Master's degree
1917,Germany,419.755,Master's degree
1927,Germany,7495.625,Master's degree
1968,Germany,6296.325000000001,Doctoral degree
2019,Germany,99.94166666666666,Secondary school
2071,Germany,5996.5,Bachelor's degree
2091,Germany,6496.208333333333,Master's degree
2138,Germany,11993.0,Master's degree
2155,Germany,409.7608333333333,Bachelor's degree
2156,Germany,7495.625,Bachelor's degree
2321,Germany,9094.691666666666,college/university without bachelor's degree
2322,Germany,129.92416666666668,Bachelor's degree
2444,Germany,603.6476666666666,Bachelor's degree
2498,Germany,549.6791666666667,college/university without bachelor's degree
2509,Germany,5996.5,Master's degree
2543,Germany,3797.7833333333333,college/university without bachelor's degree
2548,Germany,7995.333333333333,Master's degree
2551,Germany,10493.875,Master's degree
2601,Germany,349.79583333333335,Secondary school
2620,Germany,9994.166666666666,Bachelor's degree
2842,Germany,4997.083333333333,Master's degree
2891,Germany,8095.275,Master's degree
2897,Germany,6995.916666666666,Associate degree
2988,Germany,519.6966666666667,college/university without bachelor's degree
3022,Germany,8495.041666666666,Master's degree
3068,Germany,999.4166666666666,college/university without bachelor's degree
3079,Germany,7995.333333333333,Associate degree
3126,Germany,3897.7250000000004,college/university without bachelor's degree
3130,Germany,7295.741666666667,Master's degree
3149,Germany,659.615,Master's degree
3183,Germany,259.84833333333336,Primary/elementary school
3252,Germany,6496.208333333333,Bachelor's degree
3262,Germany,5796.616666666667,Master's degree
3327,Germany,3098.1916666666666,Associate degree
3364,Germany,6496.208333333333,Master's degree
3400,Germany,3997.6666666666665,Master's degree
3406,Germany,419.755,Master's degree
3439,Germany,399.76666666666665,Master's degree
3443,Germany,799.5333333333333,Master's degree
3589,Germany,10094.108333333334,Bachelor's degree
3621,Germany,5996.5,Master's degree
3624,Germany,11204.660133333333,Doctoral degree
3644,Germany,5996.5,Secondary school
3744,Germany,349.79583333333335,Secondary school
3746,Germany,5196.966666666666,Bachelor's degree
3760,Germany,5396.85,Master's degree
3832,Germany,544.6820833333334,Bachelor's degree
3859,Germany,49.97083333333333,Bachelor's degree
3869,Germany,549.6791666666667,college/university without bachelor's degree
3874,Germany,599.65,college/university without bachelor's degree
3917,Germany,6995.916666666666,Bachelor's degree
3938,Germany,449.7375,Master's degree
3940,Germany,7795.450000000001,Secondary school
3990,Germany,6496.208333333333,Doctoral degree
4022,Germany,67.460625,Secondary school
4028,Germany,359.79,Bachelor's degree
4032,Germany,5996.5,Secondary school
4037,Germany,7495.625,Secondary school
4071,Germany,7495.625,Bachelor's degree
4140,Germany,8195.216666666667,Master's degree
4215,Germany,85.94983333333334,Bachelor's degree
4292,Germany,9844.254166666666,Master's degree
4322,Germany,7495.625,Master's degree
4346,Germany,7495.625,Master's degree
4505,Germany,9494.458333333332,Bachelor's degree
4622,Germany,4497.375,Master's degree
4733,Germany,499.7083333333333,Master's degree
4784,Germany,469.7258333333333,Bachelor's degree
4872,Germany,5996.5,Bachelor's degree
4996,Germany,259.84833333333336,Secondary school
5115,Germany,8994.75,Master's degree
5266,Germany,6496.208333333333,Master's degree
5508,Germany,149.9125,Professional degree
5554,Germany,5996.5,Master's degree
5962,Germany,5496.791666666666,Doctoral degree
6093,Germany,4547.345833333333,Bachelor's degree
6199,Germany,6446.2375,Bachelor's degree
6232,Germany,899.475,Master's degree
6358,Germany,7495.625,Master's degree
