,Country,Monthly_Sal_EUR,YearsCodePro
133,Greece,5496.791666666666,27
1008,Greece,1998.8333333333333,2
1053,Greece,349.79583333333335,5
1182,Greece,1199.3,3
1286,Greece,104.43904166666667,1
1398,Greece,73.45712499999999,1
1461,Greece,4197.549999999999,4
1683,Greece,1679.02,2
2094,Greece,99.94166666666666,2
2197,Greece,119.93,2
2463,Greece,114.93291666666666,3
2724,Greece,2498.5416666666665,2
3190,Greece,99.94166666666666,4
3410,Greece,2518.5299999999997,4
3592,Greece,159.90666666666667,3
3941,Greece,399.76666666666665,15
4260,Greece,119.93,5
4421,Greece,299.825,13
4797,Greece,699.5916666666667,3
5445,Greece,119.93,4
6469,Greece,1199.3,5
6552,Greece,4997.083333333333,10
6590,Greece,134.92125,3
6712,Greece,83.951,4
6848,Greece,199.88333333333333,20
7003,Greece,59.965,1
7241,Greece,119.93,1
7243,Greece,1199.3,1
7512,Greece,259.84833333333336,5
7899,Greece,5.996499999999999,35
8047,Greece,189.88916666666665,17
8052,Greece,359.79,20
8266,Greece,2898.3083333333334,6
9348,Greece,3997.6666666666665,5
9390,Greece,81.45245833333334,7
9462,Greece,89.9475,5
9537,Greece,199.88333333333333,22
9858,Greece,2238.693333333333,5
9912,Greece,399.76666666666665,14
10039,Greece,1998.8333333333333,7
10099,Greece,2198.7166666666667,2
10806,Greece,2798.366666666667,20
10923,Greece,7995.333333333333,25
11092,Greece,2598.483333333333,7
11356,Greece,1958.8566666666666,3
12570,Greece,4997.083333333333,11
12673,Greece,179.895,10
12899,Greece,199.88333333333333,7
13159,Greece,6296.325000000001,10
13452,Greece,164.90375,1
13483,Greece,119.93,3
13833,Greece,2198.7166666666667,4
14556,Greece,219.87166666666667,6
14723,Greece,1579.0783333333334,12
14960,Greece,149.9125,3
15158,Greece,4197.549999999999,10
15808,Greece,169.9008333333333,5
16355,Greece,149.9125,2
16702,Greece,149.9125,10
17814,Greece,89.9475,2
17834,Greece,149.9125,4
18686,Greece,149.9125,16
18768,Greece,84.95041666666665,3
18842,Greece,1888.8975,3
19532,Greece,3597.9,5
19616,Greece,9994.166666666666,12
19630,Greece,79.95333333333333,3
19682,Greece,359.79,20
20049,Greece,2238.693333333333,4
20201,Greece,99.94166666666666,1
20471,Greece,49.97083333333333,1
20651,Greece,5876.57,15
20723,Greece,4497.375,18
20808,Greece,1499.125,3
20959,Greece,1998.8333333333333,7
20961,Greece,169.9008333333333,3
21191,Greece,1399.1833333333334,1
21214,Greece,144.71553333333333,2
21309,Greece,79.95333333333333,3
21684,Greece,3997.6666666666665,4
22137,Greece,99.94166666666666,5
22890,Greece,109.93583333333333,5
22944,Greece,1798.95,3
23350,Greece,49.97083333333333,1
23681,Greece,89.9475,2
23948,Greece,399.76666666666665,3
24060,Greece,2498.5416666666665,5
24145,Greece,109.93583333333333,1
24687,Greece,1998.8333333333333,15
25237,Greece,3398.016666666667,20
25612,Greece,119.93,7
26207,Greece,2658.4483333333333,3
26448,Greece,289.8308333333333,5
27079,Greece,179.895,6
27206,Greece,3298.075,4
27326,Greece,1699.0083333333334,4
27855,Greece,3298.075,15
28298,Greece,132.92241666666666,1
28323,Greece,199.88333333333333,16
28504,Greece,159.90666666666667,2
28721,Greece,999.4166666666666,1
28999,Greece,129.92416666666668,7
29024,Greece,119.93,6
30012,Greece,2498.5416666666665,18
30085,Greece,5996.5,10
30457,Greece,119.93,5
30884,Greece,2498.5416666666665,4
31116,Greece,1499.125,15
31292,Greece,4197.549999999999,11
31586,Greece,1499.125,1
31997,Greece,99.94166666666666,11
32392,Greece,84.95041666666665,5
32425,Greece,1449.1541666666667,3
32454,Greece,4897.141666666666,12
32593,Greece,189.88916666666665,6
