,Country,Monthly_Sal_EUR,EdLevel
50,Greece,199.88333333333333,Bachelor's degree
179,Greece,199.88333333333333,Bachelor's degree
208,Greece,219.87166666666667,Bachelor's degree
366,Greece,199.88333333333333,Bachelor's degree
403,Greece,4197.549999999999,Doctoral degree
414,Greece,199.88333333333333,college/university without bachelor's degree
594,Greece,2398.6,college/university without bachelor's degree
881,Greece,149.9125,Master's degree
1145,Greece,64.96208333333334,Bachelor's degree
1163,Greece,99.94166666666666,Master's degree
1186,Greece,94.94458333333333,Bachelor's degree
1647,Greece,149.9125,Master's degree
1705,Greece,143.916,Master's degree
1794,Greece,4497.375,Master's degree
1857,Greece,1399.1833333333334,Bachelor's degree
1908,Greece,7195.8,Master's degree
2198,Greece,199.88333333333333,Master's degree
2410,Greece,249.85416666666666,Master's degree
2731,Greece,3997.6666666666665,Master's degree
2870,Greece,4497.375,Master's degree
2891,Greece,199.88333333333333,Master's degree
3819,Greece,5752.642333333333,Doctoral degree
3875,Greece,129.92416666666668,Bachelor's degree
4318,Greece,199.88333333333333,Doctoral degree
4418,Greece,299.825,Bachelor's degree
4529,Greece,124.92708333333333,college/university without bachelor's degree
4628,Greece,139.91833333333332,Bachelor's degree
5095,Greece,149.9125,Bachelor's degree
5155,Greece,2868.3258333333333,Master's degree
5260,Greece,79.95333333333333,college/university without bachelor's degree
5294,Greece,2448.570833333333,Bachelor's degree
5326,Greece,2088.7808333333332,Master's degree
5452,Greece,79.95333333333333,college/university without bachelor's degree
5864,Greece,119.93,college/university without bachelor's degree
5924,Greece,12192.883333333333,Master's degree
6293,Greece,1679.02,college/university without bachelor's degree
6474,Greece,92.94574999999999,Bachelor's degree
7575,Greece,139.91833333333332,Bachelor's degree
8474,Greece,229.8658333333333,Master's degree
8683,Greece,4997.083333333333,Bachelor's degree
9633,Greece,499.7083333333333,Doctoral degree
11311,Greece,4497.375,Bachelor's degree
11552,Greece,299.825,college/university without bachelor's degree
12289,Greece,87.94866666666667,Master's degree
12435,Greece,3135.9696166666663,Bachelor's degree
12554,Greece,379.7783333333333,Bachelor's degree
12570,Greece,1958.8566666666666,college/university without bachelor's degree
12765,Greece,4597.316666666667,Master's degree
12780,Greece,129.92416666666668,Bachelor's degree
13238,Greece,149.9125,Bachelor's degree
13274,Greece,84.95041666666665,college/university without bachelor's degree
13277,Greece,3594.1022166666667,Master's degree
13307,Greece,109.93583333333333,Bachelor's degree
13309,Greece,3008.2441666666664,Master's degree
13467,Greece,99.94166666666666,Associate degree
13522,Greece,129.92416666666668,Master's degree
13542,Greece,749.5625,Master's degree
13568,Greece,3148.1625000000004,Bachelor's degree
13624,Greece,1203.2976666666666,Master's degree
13754,Greece,81.75228333333334,Bachelor's degree
13834,Greece,139.91833333333332,Master's degree
13867,Greece,7995.333333333333,Master's degree
13945,Greece,2998.25,Master's degree
13957,Greece,3288.0808333333334,Master's degree
14173,Greece,166.90258333333333,Master's degree
14318,Greece,1684.6167333333333,Bachelor's degree
14391,Greece,649.6208333333333,Bachelor's degree
14428,Greece,3008.2441666666664,Master's degree
14932,Greece,59.965,Bachelor's degree
14944,Greece,114.93291666666666,Bachelor's degree
15003,Greece,64.96208333333334,Bachelor's degree
15111,Greece,103.93933333333332,Bachelor's degree
15130,Greece,139.91833333333332,Master's degree
15266,Greece,129.92416666666668,Bachelor's degree
15316,Greece,4497.375,Master's degree
15353,Greece,168.50164999999998,college/university without bachelor's degree
15382,Greece,3997.6666666666665,Master's degree
15560,Greece,149.9125,Master's degree
15655,Greece,2798.366666666667,Master's degree
16098,Greece,269.8425,Bachelor's degree
16130,Greece,3617.8883333333333,Master's degree
16226,Greece,129.92416666666668,college/university without bachelor's degree
16442,Greece,349.79583333333335,Bachelor's degree
16519,Greece,3697.8416666666662,Associate degree
16987,Greece,84.95041666666665,Bachelor's degree
17169,Greece,1299.2416666666666,Associate degree
17399,Greece,1199.3,Bachelor's degree
18009,Greece,4442.4070833333335,Bachelor's degree
18120,Greece,4497.375,college/university without bachelor's degree
18216,Greece,2498.5416666666665,Doctoral degree
18400,Greece,119.93,Bachelor's degree
18529,Greece,3358.04,Bachelor's degree
18839,Greece,123.92766666666667,Bachelor's degree
19458,Greece,149.9125,Bachelor's degree
19611,Greece,1499.125,Master's degree
20309,Greece,5496.791666666666,Bachelor's degree
20441,Greece,362.78824999999995,Bachelor's degree
20465,Greece,5996.5,Doctoral degree
20835,Greece,349.79583333333335,Bachelor's degree
21721,Greece,11993.0,Doctoral degree
22899,Greece,4697.258333333333,Bachelor's degree
23104,Greece,6396.266666666666,college/university without bachelor's degree
23161,Greece,89.9475,Bachelor's degree
23222,Greece,209.8775,Bachelor's degree
23226,Greece,199.88333333333333,Master's degree
23425,Greece,4617.305,college/university without bachelor's degree
23869,Greece,3532.9379166666668,Master's degree
23886,Greece,309.81916666666666,Master's degree
23894,Greece,4797.2,Doctoral degree
24192,Greece,3997.6666666666665,Doctoral degree
24206,Greece,149.9125,Bachelor's degree
24246,Greece,2198.7166666666667,Bachelor's degree
24296,Greece,134.92125,Bachelor's degree
24353,Greece,999.4166666666666,Master's degree
