,Country,Monthly_Sal_EUR,EdLevel
5207,Hong Kong (S.A.R.),4997.083333333333,Master's degree
5427,Hong Kong (S.A.R.),5196.966666666666,Master's degree
5639,Hong Kong (S.A.R.),6596.15,Master's degree
5646,Hong Kong (S.A.R.),2298.6583333333333,Bachelor's degree
6143,Hong Kong (S.A.R.),2698.425,Bachelor's degree
6258,Hong Kong (S.A.R.),11993.0,Associate degree
6365,Hong Kong (S.A.R.),2498.5416666666665,Bachelor's degree
6739,Hong Kong (S.A.R.),6995.916666666666,Bachelor's degree
7083,Hong Kong (S.A.R.),1028.9994,Bachelor's degree
7086,Hong Kong (S.A.R.),1099.3583333333333,Bachelor's degree
7552,Hong Kong (S.A.R.),1699.0083333333334,Bachelor's degree
8792,Hong Kong (S.A.R.),2398.6,Bachelor's degree
9103,Hong Kong (S.A.R.),7223.5837833333335,Master's degree
9621,Hong Kong (S.A.R.),5097.025,Bachelor's degree
10700,Hong Kong (S.A.R.),2298.6583333333333,Bachelor's degree
15758,Hong Kong (S.A.R.),2698.425,Bachelor's degree
19867,Hong Kong (S.A.R.),3098.1916666666666,college/university without bachelor's degree
21295,Hong Kong (S.A.R.),4197.549999999999,college/university without bachelor's degree
29126,Hong Kong (S.A.R.),3088.1975,Bachelor's degree
30181,Hong Kong (S.A.R.),1998.8333333333333,Bachelor's degree
30973,Hong Kong (S.A.R.),1998.8333333333333,Bachelor's degree
30977,Hong Kong (S.A.R.),17489.791666666664,Professional degree
33766,Hong Kong (S.A.R.),299.825,Bachelor's degree
33974,Hong Kong (S.A.R.),9994.166666666666,Master's degree
34627,Hong Kong (S.A.R.),6296.325000000001,Bachelor's degree
36800,Hong Kong (S.A.R.),4997.083333333333,Bachelor's degree
38446,Hong Kong (S.A.R.),4997.083333333333,Bachelor's degree
45872,Hong Kong (S.A.R.),2298.6583333333333,Master's degree
45884,Hong Kong (S.A.R.),2298.6583333333333,Master's degree
53447,Hong Kong (S.A.R.),1798.95,Bachelor's degree
56158,Hong Kong (S.A.R.),1699.0083333333334,Bachelor's degree
57915,Hong Kong (S.A.R.),2198.7166666666667,Bachelor's degree
57977,Hong Kong (S.A.R.),5996.5,Bachelor's degree
58019,Hong Kong (S.A.R.),1798.95,Bachelor's degree
58068,Hong Kong (S.A.R.),229.8658333333333,college/university without bachelor's degree
58212,Hong Kong (S.A.R.),2398.6,Bachelor's degree
59035,Hong Kong (S.A.R.),9994.166666666666,Bachelor's degree
59545,Hong Kong (S.A.R.),2198.7166666666667,Bachelor's degree
60767,Hong Kong (S.A.R.),4997.083333333333,Bachelor's degree
62250,Hong Kong (S.A.R.),4997.083333333333,Master's degree
