,Country,Monthly_Sal_EUR,YearsCodePro
5207,Hong Kong (S.A.R.),4997.083333333333,5
5427,Hong Kong (S.A.R.),5196.966666666666,4
5639,Hong Kong (S.A.R.),6596.15,8
5646,Hong Kong (S.A.R.),2298.6583333333333,1
6143,Hong Kong (S.A.R.),2698.425,2
6258,Hong Kong (S.A.R.),11993.0,15
6365,Hong Kong (S.A.R.),2498.5416666666665,1
6739,Hong Kong (S.A.R.),6995.916666666666,13
7083,Hong Kong (S.A.R.),1028.9994,4
7086,Hong Kong (S.A.R.),1099.3583333333333,1
7552,Hong Kong (S.A.R.),1699.0083333333334,3
8792,Hong Kong (S.A.R.),2398.6,2
9103,Hong Kong (S.A.R.),7223.5837833333335,16
9621,Hong Kong (S.A.R.),5097.025,16
10700,Hong Kong (S.A.R.),2298.6583333333333,6
15758,Hong Kong (S.A.R.),2698.425,4
19867,Hong Kong (S.A.R.),3098.1916666666666,9
21295,Hong Kong (S.A.R.),4197.549999999999,12
29126,Hong Kong (S.A.R.),3088.1975,10
30181,Hong Kong (S.A.R.),1998.8333333333333,3
30973,Hong Kong (S.A.R.),1998.8333333333333,2
30977,Hong Kong (S.A.R.),17489.791666666664,20
33766,Hong Kong (S.A.R.),299.825,5
33974,Hong Kong (S.A.R.),9994.166666666666,11
34627,Hong Kong (S.A.R.),6296.325000000001,8
36800,Hong Kong (S.A.R.),4997.083333333333,4
38446,Hong Kong (S.A.R.),4997.083333333333,2
45872,Hong Kong (S.A.R.),2298.6583333333333,1
45884,Hong Kong (S.A.R.),2298.6583333333333,1
53447,Hong Kong (S.A.R.),1798.95,2
56158,Hong Kong (S.A.R.),1699.0083333333334,1
57915,Hong Kong (S.A.R.),2198.7166666666667,2
57977,Hong Kong (S.A.R.),5996.5,14
58019,Hong Kong (S.A.R.),1798.95,1
58068,Hong Kong (S.A.R.),229.8658333333333,1
58212,Hong Kong (S.A.R.),2398.6,5
59035,Hong Kong (S.A.R.),9994.166666666666,30
59545,Hong Kong (S.A.R.),2198.7166666666667,3
60767,Hong Kong (S.A.R.),4997.083333333333,8
62250,Hong Kong (S.A.R.),4997.083333333333,9
