,Country,Monthly_Sal_EUR,EdLevel
681,Hungary,3071.4073,Master's degree
1201,Hungary,1619.0549999999998,Secondary school
2013,Hungary,4584.9239,Secondary school
2681,Hungary,2935.8864,Bachelor's degree
2948,Hungary,1428.3663,college/university without bachelor's degree
3513,Hungary,2332.6385,college/university without bachelor's degree
3871,Hungary,3214.124,Master's degree
3953,Hungary,2523.3271999999997,college/university without bachelor's degree
5746,Hungary,3094.194,Bachelor's degree
5914,Hungary,1404.3803,Bachelor's degree
6338,Hungary,1428.3663,college/university without bachelor's degree
6588,Hungary,16186.952099999999,Secondary school
6609,Hungary,3808.9768000000004,Bachelor's degree
7385,Hungary,3332.8547,Bachelor's degree
7893,Hungary,5237.3431,Master's degree
7988,Hungary,1285.6496,college/university without bachelor's degree
8087,Hungary,3424.9009749999996,Bachelor's degree
8199,Hungary,1904.4884000000002,Secondary school
8410,Hungary,4761.221,Bachelor's degree
8826,Hungary,1571.0829999999999,Master's degree
8926,Hungary,3082.201,Bachelor's degree
9157,Hungary,3669.858,Master's degree
9269,Hungary,4036.8437999999996,Master's degree
9441,Hungary,1904.4884000000002,college/university without bachelor's degree
9468,Hungary,3999.6655,Secondary school
10414,Hungary,3808.9768000000004,Bachelor's degree
10693,Hungary,2380.6105,Bachelor's degree
12271,Hungary,7705.902266666666,Master's degree
12469,Hungary,3903.7215,Secondary school
12818,Hungary,2404.5964999999997,Master's degree
12866,Hungary,1665.8277,Bachelor's degree
12918,Hungary,2380.6105,Master's degree
13172,Hungary,2380.6105,Bachelor's degree
13404,Hungary,2618.0719,Master's degree
13760,Hungary,2856.7326,Master's degree
13984,Hungary,4761.221,Master's degree
14529,Hungary,2951.4772999999996,Bachelor's degree
15245,Hungary,2380.6105,Associate degree
15365,Hungary,2642.0579,Master's degree
15507,Hungary,1665.8277,Bachelor's degree
16217,Hungary,2141.9498,college/university without bachelor's degree
16652,Hungary,3427.5994,Bachelor's degree
16938,Hungary,2856.7326,Master's degree
18055,Hungary,1237.6776,college/university without bachelor's degree
18334,Hungary,5626.515949999999,Bachelor's degree
18384,Hungary,3570.3161,Master's degree
18436,Hungary,4284.899016666666,college/university without bachelor's degree
18630,Hungary,4399.132341666666,college/university without bachelor's degree
18962,Hungary,3427.5994,Bachelor's degree
19411,Hungary,2856.7326,Bachelor's degree
19878,Hungary,2761.9879,Bachelor's degree
19987,Hungary,18988.916666666664,Professional degree
20373,Hungary,5216.955,Master's degree
20382,Hungary,2618.0719,college/university without bachelor's degree
21236,Hungary,4597.316666666667,college/university without bachelor's degree
21313,Hungary,1904.4884000000002,Associate degree
21383,Hungary,3804.479425,Master's degree
21966,Hungary,2774.2807249999996,college/university without bachelor's degree
22016,Hungary,3094.194,Bachelor's degree
22256,Hungary,2856.7326,Master's degree
22294,Hungary,2141.9498,Secondary school
22838,Hungary,3547.129633333333,Doctoral degree
22905,Hungary,5713.4652,Secondary school
22930,Hungary,2505.3377,college/university without bachelor's degree
22966,Hungary,1904.4884000000002,Bachelor's degree
23741,Hungary,4046.8379666666665,Bachelor's degree
24318,Hungary,3808.9768000000004,college/university without bachelor's degree
24700,Hungary,2618.0719,college/university without bachelor's degree
26213,Hungary,3808.9768000000004,Bachelor's degree
26248,Hungary,6605.044808333333,Master's degree
26447,Hungary,2201.9148,Master's degree
26670,Hungary,690.7968000000001,college/university without bachelor's degree
26698,Hungary,3570.3161,Bachelor's degree
26775,Hungary,2380.6105,Bachelor's degree
26880,Hungary,713.5835,college/university without bachelor's degree
27184,Hungary,4403.8296,Master's degree
27516,Hungary,2975.4633,Bachelor's degree
28489,Hungary,5121.011,Master's degree
29472,Hungary,1428.3663,Secondary school
29982,Hungary,4364.2527,college/university without bachelor's degree
30569,Hungary,4403.8296,Master's degree
31011,Hungary,1184.9084,Master's degree
31187,Hungary,2380.6105,Bachelor's degree
31375,Hungary,4285.0989,Bachelor's degree
31596,Hungary,2203.1141,Secondary school
31788,Hungary,1467.9432,Secondary school
32074,Hungary,4403.8296,Master's degree
32861,Hungary,3094.194,Master's degree
34163,Hungary,7617.953600000001,Master's degree
34960,Hungary,3997.6666666666665,Bachelor's degree
35159,Hungary,3570.3161,Master's degree
35573,Hungary,3332.8547,Secondary school
36071,Hungary,3094.194,Bachelor's degree
36097,Hungary,2714.0159,college/university without bachelor's degree
36784,Hungary,2380.6105,college/university without bachelor's degree
37596,Hungary,1665.8277,Secondary school
39198,Hungary,2285.8658,Master's degree
39329,Hungary,4998.6824,college/university without bachelor's degree
40056,Hungary,3332.8547,Master's degree
41105,Hungary,2380.6105,college/university without bachelor's degree
41191,Hungary,19519.8068,college/university without bachelor's degree
41393,Hungary,4189.1548999999995,Bachelor's degree
41953,Hungary,2935.586575,Secondary school
42406,Hungary,4998.6824,Master's degree
42750,Hungary,2571.2992,Master's degree
43300,Hungary,2095.1771,Bachelor's degree
43358,Hungary,2618.0719,Bachelor's degree
43459,Hungary,2189.9218,Master's degree
44141,Hungary,4285.0989,Bachelor's degree
44720,Hungary,3332.8547,Bachelor's degree
45093,Hungary,1571.0829999999999,Bachelor's degree
46423,Hungary,1665.8277,Master's degree
46509,Hungary,3666.2601,Master's degree
46607,Hungary,2190.0217416666665,Bachelor's degree
47345,Hungary,1904.4884000000002,Bachelor's degree
47845,Hungary,3808.9768000000004,Master's degree
48043,Hungary,713.5835,Bachelor's degree
48086,Hungary,1189.7056,Secondary school
48568,Hungary,3236.9107000000004,Bachelor's degree
48855,Hungary,1428.3663,Master's degree
49187,Hungary,3597.9,college/university without bachelor's degree
49261,Hungary,5504.287291666666,Bachelor's degree
50542,Hungary,1665.8277,Bachelor's degree
51377,Hungary,4046.4381999999996,Master's degree
51534,Hungary,1999.2331,Bachelor's degree
52022,Hungary,309.4194,Secondary school
52073,Hungary,3427.5994,Master's degree
52207,Hungary,1798.95,Secondary school
52365,Hungary,1904.4884000000002,Secondary school
52490,Hungary,3142.1659999999997,Master's degree
52495,Hungary,3486.2651583333336,college/university without bachelor's degree
52605,Hungary,4761.221,Bachelor's degree
52920,Hungary,1904.4884000000002,Master's degree
53396,Hungary,3451.785283333333,Master's degree
53703,Hungary,1904.4884000000002,Secondary school
54366,Hungary,1189.7056,college/university without bachelor's degree
54458,Hungary,3999.6655,Master's degree
54842,Hungary,3082.201,college/university without bachelor's degree
55068,Hungary,1428.3663,Associate degree
55161,Hungary,3449.1868,college/university without bachelor's degree
55521,Hungary,2856.7326,Master's degree
55842,Hungary,3967.484283333333,Secondary school
55934,Hungary,3523.5433999999996,Bachelor's degree
56491,Hungary,2141.9498,Secondary school
56536,Hungary,2380.6105,Primary/elementary school
56759,Hungary,2189.9218,college/university without bachelor's degree
56898,Hungary,2618.0719,Bachelor's degree
57150,Hungary,5594.7345,Bachelor's degree
57388,Hungary,4998.6824,Master's degree
57931,Hungary,3332.8547,Bachelor's degree
58557,Hungary,1309.6356,college/university without bachelor's degree
58661,Hungary,1619.0549999999998,Secondary school
58687,Hungary,2047.2051000000001,Doctoral degree
58844,Hungary,2856.7326,Bachelor's degree
59239,Hungary,3669.4582333333333,Master's degree
59434,Hungary,2141.9498,college/university without bachelor's degree
59771,Hungary,2348.2294,college/university without bachelor's degree
60064,Hungary,4761.021116666667,Secondary school
60357,Hungary,5713.4652,Master's degree
61060,Hungary,3094.194,Doctoral degree
61108,Hungary,2856.7326,Master's degree
61573,Hungary,1904.4884000000002,Bachelor's degree
62406,Hungary,10474.6862,Master's degree
62489,Hungary,2808.7606,Secondary school
62631,Hungary,1903.88875,Bachelor's degree
63661,Hungary,3332.8547,Bachelor's degree
63732,Hungary,1904.4884000000002,Master's degree
64167,Hungary,2082.3845666666666,Secondary school
64302,Hungary,1665.8277,Bachelor's degree
64363,Hungary,1079.37,Secondary school
64463,Hungary,4285.0989,Bachelor's degree
65337,Hungary,3451.5854,Bachelor's degree
65688,Hungary,3229.7149,Master's degree
66033,Hungary,1665.8277,college/university without bachelor's degree
66826,Hungary,4655.6826,Bachelor's degree
66953,Hungary,2856.7326,Bachelor's degree
69034,Hungary,5996.5,college/university without bachelor's degree
69375,Hungary,1971.6492,Bachelor's degree
69404,Hungary,2880.7186,Bachelor's degree
69884,Hungary,3523.5433999999996,Primary/elementary school
70320,Hungary,9024.7325,Master's degree
72139,Hungary,1547.097,Bachelor's degree
73372,Hungary,2935.8864,college/university without bachelor's degree
73886,Hungary,1428.3663,college/university without bachelor's degree
74316,Hungary,5237.3431,Master's degree
74430,Hungary,2856.7326,Master's degree
74794,Hungary,2380.6105,Associate degree
74937,Hungary,6796.033333333334,Master's degree
75329,Hungary,8570.1978,college/university without bachelor's degree
75483,Hungary,9540.631383333333,Bachelor's degree
75769,Hungary,6189.5873,Master's degree
76129,Hungary,1467.8432583333333,Master's degree
76518,Hungary,7338.5167,Master's degree
76535,Hungary,476.12210000000005,Secondary school
76829,Hungary,3229.7149,Master's degree
76843,Hungary,3669.858,college/university without bachelor's degree
76938,Hungary,12232.86,Master's degree
77004,Hungary,6115.83035,Bachelor's degree
77252,Hungary,11742.3463,Bachelor's degree
77255,Hungary,4770.8153999999995,Master's degree
77339,Hungary,7982.340916666666,college/university without bachelor's degree
77360,Hungary,6116.43,Master's degree
77371,Hungary,1476.3383,Master's degree
77635,Hungary,93.5454,Secondary school
77666,Hungary,3808.9768000000004,Secondary school
77875,Hungary,8562.102524999998,Master's degree
78473,Hungary,4761.021116666667,Master's degree
79081,Hungary,4761.221,Master's degree
79730,Hungary,3332.8547,Bachelor's degree
81168,Hungary,357.3914,college/university without bachelor's degree
81328,Hungary,35.679175,college/university without bachelor's degree
83313,Hungary,1428.3663,college/university without bachelor's degree
84842,Hungary,4285.0989,college/university without bachelor's degree
