,Country,Monthly_Sal_EUR,YearsCodePro
1340,Hungary,127.92533333333333,5
7004,Hungary,12472.720000000001,3
8442,Hungary,329.8075,18
13202,Hungary,7295.741666666667,13
13570,Hungary,999.4166666666666,11
15885,Hungary,5496.791666666666,8
16070,Hungary,10293.991666666667,22
17349,Hungary,12492.708333333332,14
21047,Hungary,19988.333333333332,3
21883,Hungary,7495.625,19
25902,Hungary,13292.241666666665,2
28211,Hungary,99.94166666666666,5
28341,Hungary,5996.5,3
29559,Hungary,14991.25,1
30885,Hungary,6396.266666666666,4
30898,Hungary,14991.25,3
34796,Hungary,299.825,3
38184,Hungary,3997.6666666666665,20
44103,Hungary,17989.5,2
44277,Hungary,409.7608333333333,4
45231,Hungary,199.88333333333333,3
49653,Hungary,8994.75,8
49807,Hungary,239.86,4
50598,Hungary,34.97958333333333,7
51413,Hungary,15990.666666666666,2
51883,Hungary,14991.25,2
58334,Hungary,699.5916666666667,3
59953,Hungary,12992.416666666666,1
59982,Hungary,51.76978333333333,35
60047,Hungary,12992.416666666666,1
