,Country,Monthly_Sal_EUR,EdLevel
320,India,2498.5416666666665,Bachelor's degree
622,India,2998.25,Bachelor's degree
751,India,2298.6583333333333,college/university without bachelor's degree
962,India,13991.833333333332,Bachelor's degree
1024,India,1499.125,No formal education
1065,India,2798.366666666667,Bachelor's degree
1520,India,2998.25,Bachelor's degree
1732,India,1748.9791666666665,Bachelor's degree
1757,India,1898.8916666666667,Master's degree
1858,India,5196.966666666666,college/university without bachelor's degree
2146,India,4997.083333333333,Bachelor's degree
2217,India,2498.5416666666665,Bachelor's degree
2288,India,159.90666666666667,Master's degree
2883,India,4797.2,Master's degree
3218,India,6995.916666666666,Bachelor's degree
3635,India,9994.166666666666,Bachelor's degree
4547,India,2498.5416666666665,college/university without bachelor's degree
4792,India,6995.916666666666,Bachelor's degree
5424,India,4997.083333333333,Bachelor's degree
5467,India,11493.291666666666,Bachelor's degree
5542,India,4397.433333333333,Master's degree
5603,India,599.65,Bachelor's degree
5615,India,8994.75,Bachelor's degree
5628,India,7495.625,Master's degree
5647,India,1898.8916666666667,Bachelor's degree
5706,India,699.5916666666667,Bachelor's degree
5719,India,14991.25,Bachelor's degree
5737,India,1998.8333333333333,Bachelor's degree
5749,India,1499.125,Master's degree
5752,India,7795.450000000001,Bachelor's degree
5784,India,999.4166666666666,Bachelor's degree
5785,India,0.9994166666666666,Bachelor's degree
5798,India,8594.983333333334,Bachelor's degree
5817,India,4197.549999999999,college/university without bachelor's degree
5830,India,4297.491666666667,Master's degree
5834,India,6995.916666666666,Bachelor's degree
5838,India,1199.3,Bachelor's degree
5893,India,1898.8916666666667,Master's degree
5916,India,1499.125,Bachelor's degree
5934,India,1199.3,Bachelor's degree
5940,India,778.7454666666667,No formal education
5953,India,1599.0666666666666,Bachelor's degree
5976,India,5201.164216666666,Bachelor's degree
5983,India,1898.8916666666667,Bachelor's degree
6001,India,4997.083333333333,college/university without bachelor's degree
6018,India,4597.316666666667,Bachelor's degree
6053,India,499.7083333333333,Bachelor's degree
6066,India,3497.958333333333,Bachelor's degree
6067,India,3997.6666666666665,Associate degree
6072,India,4497.375,Bachelor's degree
6073,India,4997.083333333333,Bachelor's degree
6075,India,3997.6666666666665,Bachelor's degree
6081,India,5496.791666666666,Bachelor's degree
6082,India,3997.6666666666665,Bachelor's degree
6086,India,4697.258333333333,Bachelor's degree
6088,India,4797.2,Master's degree
6094,India,7995.333333333333,Bachelor's degree
6112,India,1399.1833333333334,college/university without bachelor's degree
6134,India,8994.75,Master's degree
6137,India,4497.375,Bachelor's degree
6140,India,4797.2,Master's degree
6156,India,19988.333333333332,Professional degree
6158,India,4497.375,Bachelor's degree
6175,India,1299.2416666666666,Bachelor's degree
6176,India,1798.95,Bachelor's degree
6179,India,778.7454666666667,college/university without bachelor's degree
6189,India,3597.9,Master's degree
6190,India,1499.125,Master's degree
6191,India,989.4224999999999,Master's degree
6202,India,3497.958333333333,college/university without bachelor's degree
6221,India,7995.333333333333,Master's degree
6242,India,3997.6666666666665,Master's degree
6244,India,2498.5416666666665,Master's degree
6253,India,999.4166666666666,Bachelor's degree
6274,India,3997.6666666666665,Master's degree
6276,India,2498.5416666666665,Bachelor's degree
6284,India,2728.4075,Bachelor's degree
6285,India,3398.016666666667,Master's degree
6295,India,3497.958333333333,Master's degree
6296,India,2498.5416666666665,Doctoral degree
6300,India,19988.333333333332,Bachelor's degree
6311,India,3298.075,Master's degree
6332,India,6296.325000000001,Master's degree
6333,India,3597.9,Master's degree
6341,India,4097.608333333334,college/university without bachelor's degree
6345,India,5996.5,Master's degree
6347,India,9994.166666666666,Bachelor's degree
6351,India,4097.608333333334,Bachelor's degree
6386,India,2748.395833333333,Bachelor's degree
6391,India,1499.125,Master's degree
6394,India,3298.075,Bachelor's degree
6409,India,4997.083333333333,Master's degree
6429,India,2398.6,Master's degree
6430,India,2798.366666666667,Bachelor's degree
6444,India,7995.333333333333,Master's degree
6462,India,2798.366666666667,Bachelor's degree
6479,India,9494.458333333332,Bachelor's degree
6481,India,7495.625,Master's degree
6487,India,6895.974999999999,Bachelor's degree
6489,India,4397.433333333333,Master's degree
6495,India,7995.333333333333,Bachelor's degree
6507,India,3997.6666666666665,Master's degree
6535,India,9.994166666666667,Master's degree
6538,India,4297.491666666667,Master's degree
6540,India,19988.333333333332,Bachelor's degree
6543,India,1499.125,Bachelor's degree
6549,India,1499.125,Bachelor's degree
6555,India,3997.6666666666665,Bachelor's degree
6557,India,999.4166666666666,Bachelor's degree
6568,India,4847.170833333334,Bachelor's degree
6570,India,14391.6,Bachelor's degree
